Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß,10-yr yield,VIX Close,VIX % change
2012-02-21,56.365685,56.510525,56.121746,56.281830,37.087070,12840204,,,,,,,2.05,18.190001,0
2012-02-22,56.434296,56.784962,56.342815,56.510525,37.237762,8688517,0.004063,,,-0.003340,,1.156078,2.01,18.190001,0
2012-02-23,56.693481,57.173740,56.563889,57.028900,37.579353,9835284,0.009173,,,0.004272,,,1.99,16.799999,-0.0764157187237098
2012-02-24,57.234726,58.126637,57.173740,57.897942,38.152016,14767750,0.015239,,,0.001672,,,1.98,17.309999,0.0303571446641158
2012-02-27,57.852203,58.576405,57.707363,58.263855,38.393124,10564640,0.006320,,,0.001355,,,1.92,18.190001,0.0508377845660188
2012-02-28,58.515419,59.026173,58.240986,58.904202,38.815090,14028949,0.010991,,,0.003356,,,1.94,17.959999,-0.0126444193158648
2012-02-29,58.949940,59.247242,57.981796,58.355331,38.453407,15948493,-0.009318,,,-0.004737,,,1.98,18.43,0.0261693221697841
2012-03-01,58.782230,59.643646,58.705997,59.628403,39.292301,12182341,0.021816,,,0.006158,,,2.03,17.26,-0.0634834508952794
2012-03-02,59.399708,59.605534,59.003304,59.193882,39.005970,9302697,-0.007287,,,-0.003246,,,1.99,17.290001,0.00173818076477404
2012-03-05,58.888954,59.247242,58.530666,59.125271,38.960762,9240912,-0.001159,,,-0.003870,,,2,18.049999,0.0439559257399696
2012-03-06,58.164753,58.477303,57.882694,58.279102,38.403175,11580884,-0.014312,,,-0.015370,,,1.96,20.870001,0.156232806439491
2012-03-07,58.279102,59.079533,58.157131,58.713619,38.689507,9301516,0.007456,,,0.006901,,,1.98,19.07,-0.0862482469454601
2012-03-08,59.049042,59.193882,58.805099,58.866085,38.789963,8055840,0.002596,,,0.009818,,,2.03,17.950001,-0.0587309386470897
2012-03-09,58.873707,59.460693,58.759361,58.820347,38.759857,11161505,-0.000776,,,0.003631,,,2.04,17.110001,-0.0467966547745596
2012-03-12,58.827969,59.308228,58.683128,58.934692,38.835186,9714993,0.001943,0.009712,0.154179,0.000160,1.024092,,2.04,15.64,-0.0859147232077894
2012-03-13,59.216751,59.315849,58.728867,59.277737,39.061237,11394610,0.005821,0.009734,0.154519,0.018132,0.731776,,2.14,14.8,-0.0537084398976982
