Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,57.990002,58.494999,57.494999,57.825001,43.984276,6828600,,,,,,
2012-02-22,57.980000,58.755001,57.785000,57.830002,43.988098,5726800,0.000087,,,-0.003340,,1.161055
2012-02-23,57.924999,58.299999,57.250000,58.250000,44.307556,4004000,0.007262,,,0.004272,,
2012-02-24,58.330002,59.040001,58.095001,58.775002,44.706894,3351800,0.009013,,,0.001672,,
2012-02-27,58.665001,58.900002,57.810001,57.810001,43.972881,4582600,-0.016418,,,0.001355,,
2012-02-28,57.959999,58.599998,57.750000,58.305000,44.349400,4872000,0.008563,,,0.003356,,
2012-02-29,58.365002,58.599998,56.689999,56.930000,43.303505,6444600,-0.023583,,,-0.004737,,
2012-03-01,57.125000,58.505001,57.125000,58.455002,44.463486,5143200,0.026787,,,0.006158,,
2012-03-02,58.200001,58.389999,56.540001,56.950001,43.318714,4699200,-0.025746,,,-0.003246,,
2012-03-05,56.755001,56.810001,55.680000,56.599998,43.052498,3162600,-0.006146,,,-0.003870,,
2012-03-06,55.560001,56.404999,55.110001,56.360001,42.869942,5257800,-0.004240,,,-0.015370,,
2012-03-07,56.360001,56.834999,56.014999,56.570000,43.029675,3895400,0.003726,,,0.006901,,
2012-03-08,57.360001,57.660000,56.660000,57.205002,43.512691,3130000,0.011225,,,0.009818,,
2012-03-09,57.250000,57.875000,57.029999,57.490002,43.729458,2713400,0.004982,,,0.003631,,
2012-03-12,57.619999,57.619999,56.259998,56.865002,43.254063,2890600,-0.010871,0.014505,0.230262,0.000160,1.177556,
2012-03-13,56.924999,58.470001,56.509998,58.424999,44.440662,5206400,0.027433,0.016395,0.260262,0.018132,1.332922,
2012-03-14,58.404999,58.474998,57.040001,57.340000,43.615376,3395400,-0.018571,0.017059,0.270801,-0.001196,1.372291,
2012-03-15,57.419998,58.134998,57.025002,57.814999,43.976685,3907200,0.008284,0.017027,0.270296,0.005967,1.388558,
2012-03-16,58.180000,58.935001,57.895000,58.389999,44.414043,5474600,0.009945,0.016649,0.264299,0.001119,1.367982,
2012-03-19,58.325001,58.985001,58.055000,58.695000,44.646049,3386200,0.005224,0.016554,0.262783,0.003974,1.362127,
2012-03-20,58.070000,58.070000,57.075001,57.355000,43.626785,3449600,-0.022830,0.016470,0.261456,-0.003001,1.343492,
2012-03-21,57.355000,57.549999,56.535000,56.904999,43.284492,3303400,-0.007846,0.014755,0.234233,-0.001871,1.243039,
2012-03-22,56.180000,56.570000,54.930000,55.174999,41.968590,4562200,-0.030401,0.015375,0.244077,-0.007207,1.314356,
2012-03-23,55.240002,56.325001,55.080002,55.865002,42.493412,4599000,0.012505,0.015804,0.250888,0.003109,1.354076,
2012-03-26,56.380001,56.599998,55.805000,56.080002,42.656956,2741400,0.003849,0.015818,0.251096,0.013886,1.786759,
2012-03-27,56.230000,56.264999,55.459999,55.639999,42.322262,2920800,-0.007846,0.015897,0.252350,-0.002817,1.752657,
2012-03-28,55.369999,55.474998,54.250000,54.814999,41.694748,3495600,-0.014827,0.015872,0.251960,-0.004942,1.741665,
2012-03-29,54.244999,54.630001,53.575001,54.509998,41.462742,2885200,-0.005564,0.015717,0.249504,-0.001608,1.707536,
2012-03-30,54.740002,55.740002,54.380001,55.549999,42.253811,3541200,0.019079,0.016672,0.264666,0.003698,1.744380,
2012-04-02,55.494999,57.165001,55.160000,56.674999,43.109543,3899200,0.020252,0.015800,0.250819,0.007505,1.963795,
2012-04-03,56.314999,56.849998,56.084999,56.779999,43.189415,4647400,0.001853,0.015084,0.239457,-0.003989,1.748460,
2012-04-04,56.029999,56.195000,54.849998,55.259998,42.033222,3127600,-0.026770,0.016353,0.259599,-0.010203,1.847574,
2012-04-05,55.060001,55.735001,54.424999,54.590000,41.523590,4629800,-0.012125,0.016060,0.254949,-0.000629,1.825465,
2012-04-09,53.474998,54.014999,53.305000,53.720001,40.861843,5445200,-0.015937,0.016053,0.254829,-0.011358,1.649378,
2012-04-10,53.720001,53.860001,51.904999,52.000000,39.553528,6604200,-0.032018,0.016948,0.269047,-0.017081,1.606109,
2012-04-11,52.590000,52.759998,51.255001,51.474998,39.154194,6017200,-0.010096,0.016969,0.269379,0.007449,1.416839,
2012-04-12,51.500000,52.825001,51.470001,52.610001,40.083714,6345200,0.023740,0.017391,0.276071,0.013779,1.411979,
2012-04-13,52.365002,52.650002,51.549999,51.665001,39.363724,3018600,-0.017962,0.017188,0.272853,-0.012475,1.343726,
2012-04-16,51.930000,52.560001,50.915001,51.384998,39.150379,3074000,-0.005420,0.016985,0.269635,-0.000504,1.541975,
2012-04-17,51.959999,52.654999,51.764999,52.400002,39.923721,4108400,0.019753,0.018302,0.290536,0.015487,1.492778,
2012-04-18,52.195000,52.490002,51.785000,52.084999,39.683716,3813400,-0.006012,0.018051,0.286550,-0.004055,1.473096,
2012-04-19,52.150002,52.645000,51.654999,51.980000,39.603710,3121600,-0.002016,0.018043,0.286419,-0.005934,1.441998,
2012-04-20,52.445000,52.750000,51.395000,51.514999,39.249432,3376600,-0.008946,0.016909,0.268429,0.001169,1.367952,
2012-04-23,50.305000,51.884998,50.294998,51.799999,39.466572,3771600,0.005532,0.015619,0.247939,-0.008408,1.181098,
2012-04-24,52.055000,52.465000,51.700001,52.224998,39.790379,4512400,0.008205,0.015958,0.253331,0.003680,1.222378,
2012-04-25,52.689999,53.255001,52.294998,53.215000,40.544670,5718200,0.018957,0.015998,0.253959,0.013645,1.191521,
2012-04-26,53.209999,54.439999,53.005001,54.259998,41.340858,4686400,0.019637,0.016755,0.265978,0.006680,1.242123,
2012-04-27,54.505001,54.619999,54.049999,54.509998,41.531334,4275000,0.004607,0.016158,0.256505,0.002414,1.240500,
2012-04-30,54.439999,54.970001,53.919998,54.904999,41.832272,3000800,0.007246,0.013040,0.207010,-0.003884,1.003732,
2012-05-01,55.150002,56.119999,54.900002,55.615002,42.373226,3552800,0.012931,0.012557,0.199337,0.005658,1.128825,
2012-05-02,54.950001,54.950001,54.110001,54.639999,41.630379,4145600,-0.017531,0.012845,0.203915,-0.002497,1.141956,
2012-05-03,54.500000,54.970001,53.610001,53.855000,41.032284,3882200,-0.014367,0.012428,0.197288,-0.007659,1.140734,
2012-05-04,53.200001,53.599998,52.189999,52.645000,40.110374,4330600,-0.022468,0.014050,0.223039,-0.016147,1.202811,
2012-05-07,52.235001,52.924999,51.645000,52.384998,39.912281,3265000,-0.004939,0.013147,0.208703,0.000351,1.234354,
2012-05-08,51.810001,52.095001,50.205002,51.994999,39.615147,4339600,-0.007445,0.013203,0.209598,-0.004279,1.239549,
2012-05-09,51.904999,52.840000,50.380001,52.549999,40.037987,7535400,0.010674,0.013490,0.214147,-0.006702,1.139524,
2012-05-10,53.369999,53.665001,52.755001,53.255001,40.575130,5334600,0.013416,0.013563,0.215303,0.002517,1.209934,
2012-05-11,52.740002,53.275002,51.955002,52.115002,39.706581,4469800,-0.021406,0.014935,0.237087,-0.003387,1.414973,
2012-05-14,51.450001,51.450001,50.439999,50.520000,38.491341,3667400,-0.030606,0.016878,0.267928,-0.011113,1.580394,
2012-05-15,50.494999,50.849998,49.320000,49.605000,37.794193,3836800,-0.018112,0.016191,0.257028,-0.005746,1.771044,
2012-05-16,49.830002,50.799999,49.275002,49.474998,37.695148,3981400,-0.002621,0.014614,0.231995,-0.004404,1.629953,
2012-05-17,49.455002,49.660000,48.580002,48.669998,37.081821,3874400,-0.016271,0.014461,0.229563,-0.015051,1.445227,
2012-05-18,48.945000,49.310001,47.889999,48.154999,36.689438,4443200,-0.010582,0.013788,0.218878,-0.007388,1.403259,
2012-05-21,48.665001,50.130001,48.645000,50.099998,38.171329,4474000,0.040390,0.018374,0.291684,0.016036,1.745453,
2012-05-22,50.794998,51.735001,50.235001,50.665001,38.601807,5602000,0.011278,0.018747,0.297599,0.000486,1.825445,
2012-05-23,50.145000,50.895000,48.889999,50.849998,38.742752,5439800,0.003651,0.018689,0.296679,0.001694,1.794224,
2012-05-24,51.000000,51.195000,49.570000,50.395000,38.396072,3806200,-0.008948,0.017994,0.285644,0.001380,1.812012,
2012-05-25,50.279999,51.215000,50.279999,50.875000,38.761829,3559600,0.009526,0.018285,0.290262,-0.002166,1.851714,
