Date,Open,High,Low,Close,Adj Close,Volume,% change
2012-02-21,21.740000,22.025000,21.639999,21.905001,15.347086,6473600,
2012-02-22,21.940001,22.209999,21.740000,21.760000,15.245502,7642400,-0.006619
2012-02-23,21.700001,22.170000,21.650000,21.844999,15.305049,5967200,0.003906
2012-02-24,21.934999,22.000000,21.395000,21.430000,15.014293,5858400,-0.018997
2012-02-27,21.309999,21.570000,21.090000,21.305000,14.926716,9289800,-0.005833
2012-02-28,21.270000,21.295000,20.655001,20.834999,14.597428,15318400,-0.022060
2012-02-29,20.850000,21.219999,20.719999,20.775000,14.555387,10255600,-0.002880
2012-03-01,20.785000,21.410000,20.785000,21.360001,14.965254,10728800,0.028159
2012-03-02,21.264999,21.555000,20.985001,21.090000,14.776084,5396600,-0.012641
2012-03-05,21.135000,21.440001,20.850000,21.375000,14.975757,4690800,0.013513
2012-03-06,21.129999,21.360001,20.895000,20.995001,14.709528,5533200,-0.017777
2012-03-07,20.910000,21.629999,20.910000,21.275000,14.905700,5973600,0.013336
2012-03-08,21.549999,21.915001,21.275000,21.820000,15.287539,11870200,0.025617
2012-03-09,21.834999,22.000000,21.570000,21.950001,15.378617,5795400,0.005958
2012-03-12,21.875000,21.945000,21.525000,21.889999,15.336578,6024400,-0.002734
2012-03-13,21.955000,22.160000,21.815001,22.020000,15.427660,8265600,0.005939
2012-03-14,22.055000,22.184999,21.844999,21.955000,15.382124,5444800,-0.002952
2012-03-15,22.020000,22.209999,21.750000,21.950001,15.378617,5544400,-0.000228
2012-03-16,22.120001,22.200001,21.805000,22.094999,15.480205,7662200,0.006606
2012-03-19,22.055000,22.475000,22.045000,22.275000,15.606320,3862800,0.008147
2012-03-20,22.165001,22.165001,21.834999,21.895000,15.340077,4488800,-0.017060
2012-03-21,21.885000,22.010000,21.625000,21.840000,15.301551,5243400,-0.002511
2012-03-22,21.575001,21.850000,21.459999,21.684999,15.192952,6900000,-0.007097
2012-03-23,21.629999,22.180000,21.600000,22.000000,15.413648,4814800,0.014526
2012-03-26,22.379999,22.674999,22.219999,22.605000,15.837529,8456000,0.027500
2012-03-27,22.650000,22.695000,21.985001,22.000000,15.413648,6284800,-0.026764
2012-03-28,21.875000,21.959999,21.570000,21.780001,15.259517,7307800,-0.010000
2012-03-29,21.580000,21.740000,21.450001,21.620001,15.147414,5025000,-0.007346
2012-03-30,21.764999,21.995001,21.635000,21.680000,15.189450,7078400,0.002775
2012-04-02,21.695000,21.844999,21.504999,21.719999,15.217471,9149800,0.001845
2012-04-03,21.735001,21.780001,21.004999,21.200001,14.853155,12358200,-0.023941
2012-04-04,21.055000,21.330000,20.879999,21.295000,14.919714,7821400,0.004481
2012-04-05,21.135000,21.465000,20.895000,21.065001,14.758566,5284800,-0.010801
2012-04-09,20.805000,21.389999,20.805000,21.230000,14.874168,5659000,0.007833
2012-04-10,21.174999,21.315001,20.889999,20.915001,14.653479,7827800,-0.014837
2012-04-11,21.145000,21.160000,20.670000,20.754999,14.541378,6066800,-0.007650
2012-04-12,20.709999,21.305000,20.610001,20.879999,14.628952,12313400,0.006022
2012-04-13,20.850000,21.075001,20.735001,20.809999,14.579913,5088600,-0.003352
2012-04-16,20.389999,20.580000,19.985001,20.004999,14.015910,11498000,-0.038684
2012-04-17,20.115000,20.424999,19.995001,19.995001,14.008904,7423000,-0.000500
