Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,100.404839,100.826385,99.561745,100.031197,68.623535,3486520,,,,,,
2012-02-22,98.929420,99.638390,98.450394,98.929420,67.867676,3611773,-0.011015,,,-0.003340,,1.271583
2012-02-23,99.178520,100.366516,98.622841,100.280289,68.794449,3244573,0.013656,,,0.004272,,
2012-02-24,100.385674,100.462318,99.121033,99.504257,68.262085,3874699,-0.007738,,,0.001672,,
2012-02-27,99.015648,100.462318,98.680328,100.107841,68.676125,3267118,0.006065,,,0.001355,,
2012-02-28,100.261131,102.205994,100.165321,101.037155,69.313637,3744854,0.009283,,,0.003356,,
2012-02-29,100.960510,101.861092,99.686295,99.992867,68.597244,5175660,-0.010336,,,-0.004737,,
2012-03-01,100.404839,100.998833,99.140198,100.471901,68.925865,3827938,0.004791,,,0.006158,,
2012-03-02,100.117416,100.318611,99.350967,99.983292,68.590668,2931336,-0.004863,,,-0.003246,,
2012-03-05,99.753357,100.050354,98.153397,99.178520,68.038605,3279435,-0.008049,,,-0.003870,,
2012-03-06,97.224075,97.540230,96.179787,96.792946,66.402046,5206869,-0.024053,,,-0.015370,,
2012-03-07,96.639656,96.735458,95.518723,95.700752,66.005547,4584257,-0.005971,,,0.006901,,
2012-03-08,96.879173,97.262398,96.294754,96.630074,66.646523,2724669,0.009711,,,0.009818,,
2012-03-09,96.687561,97.540230,96.189369,96.476784,66.540764,2698052,-0.001587,,,0.003631,,
2012-03-12,96.170204,96.428879,93.995407,94.311569,65.047447,4023959,-0.022442,0.011524,0.182931,0.000160,1.223223,
2012-03-13,94.934303,95.796562,93.890022,95.786980,66.065025,3732224,0.015644,0.012401,0.196853,0.018132,1.135724,
2012-03-14,95.767822,96.198944,94.359467,94.771439,65.364601,2781763,-0.010602,0.011745,0.186444,-0.001196,1.112033,
2012-03-15,94.742691,95.557045,93.755890,94.752274,65.351379,2999808,-0.000202,0.011712,0.185928,0.005967,1.102314,
2012-03-16,95.097176,96.649239,94.915146,96.361816,66.461502,5023060,0.016987,0.012689,0.201428,0.001119,1.089370,
2012-03-19,96.725883,97.693520,95.882790,97.243233,67.069427,2760783,0.009147,0.012679,0.201278,0.003974,1.094376,
2012-03-20,96.313911,96.313911,93.784630,93.851700,64.730240,4452115,-0.034877,0.015304,0.242950,-0.003001,1.253353,
2012-03-21,93.775055,94.369049,93.420570,93.631340,64.578270,3378072,-0.002348,0.015106,0.239795,-0.001871,1.206890,
2012-03-22,92.462509,92.587059,91.015839,91.734383,63.269932,4155266,-0.020260,0.015681,0.248926,-0.007207,1.277261,
2012-03-23,91.801445,93.947502,91.494865,93.525955,64.505569,4475392,0.019530,0.017029,0.270323,0.003109,1.342659,
2012-03-26,94.742691,95.173820,93.890022,95.010948,65.529770,3817396,0.015878,0.016692,0.264980,0.013886,1.501050,
2012-03-27,95.547462,95.691177,94.234924,94.282822,65.027611,3421493,-0.007663,0.016738,0.265715,-0.002817,1.523627,
2012-03-28,92.836151,93.458893,90.747581,90.872124,62.675198,6229976,-0.036176,0.018853,0.299277,-0.004942,1.752922,
2012-03-29,90.057777,90.575127,87.997940,90.469742,62.397697,7084723,-0.004428,0.018838,0.299037,-0.001608,1.721865,
2012-03-30,90.939194,91.724800,90.230225,91.236191,62.926304,3622628,0.008472,0.018368,0.291581,0.003698,1.705964,
2012-04-02,91.044579,94.119957,90.546387,93.391830,64.413071,4848019,0.023627,0.019075,0.302806,0.007505,2.391935,
2012-04-03,93.401405,93.401405,91.331993,92.424187,63.745701,3442786,-0.010361,0.019066,0.302670,-0.003989,2.328610,
2012-04-04,91.331993,91.571510,89.818260,90.460159,62.391083,3076629,-0.021250,0.019763,0.313730,-0.010203,2.298103,
2012-04-05,89.971550,91.159546,89.367966,89.377548,61.644382,3999535,-0.011968,0.018997,0.301567,-0.000629,2.259086,
2012-04-09,87.183586,88.227875,86.953651,87.547653,60.382305,4515786,-0.020474,0.018927,0.300450,-0.011358,2.044636,
2012-04-10,87.499748,87.605133,85.650688,85.851883,59.212723,5776770,-0.019370,0.017596,0.279327,-0.017081,1.655834,
2012-04-11,86.991974,87.231491,84.960884,85.085434,58.684086,4771928,-0.008928,0.017573,0.278963,0.007449,1.467245,
2012-04-12,85.708176,87.365623,85.516563,87.298553,60.210510,4237411,0.026011,0.019105,0.303280,0.013779,1.535311,
2012-04-13,86.829109,87.049461,84.692627,84.855499,58.525509,5100299,-0.027985,0.018945,0.300737,-0.012475,1.513404,
2012-04-16,85.506981,85.938110,83.495056,83.600441,57.659885,6351263,-0.014791,0.017868,0.283652,-0.000504,1.530602,
2012-04-17,84.673470,85.238724,83.993248,85.008789,58.631226,4575281,0.016846,0.019158,0.304126,0.015487,1.488952,
2012-04-18,84.558502,85.075851,83.993248,84.280663,58.129040,3434018,-0.008565,0.017274,0.274219,-0.004055,1.414934,
2012-04-19,84.462692,85.631531,84.050728,84.520180,58.294235,3506143,0.002842,0.017409,0.276355,-0.005934,1.362995,
2012-04-20,84.874664,85.344109,83.954926,84.893822,58.551945,4524031,0.004421,0.017205,0.273126,0.001169,1.351469,
2012-04-23,83.475891,84.328568,82.843575,84.232758,58.095982,3388405,-0.007787,0.015106,0.239793,-0.008408,1.198338,
2012-04-24,84.529762,84.615982,83.523796,84.520180,58.294235,3405732,0.003413,0.015333,0.243412,0.003680,1.207214,
2012-04-25,85.363274,86.474625,84.453117,86.330917,59.543102,4497415,0.021424,0.016333,0.259272,0.013645,1.246104,
2012-04-26,85.966850,88.208717,85.085434,88.045845,60.725906,5863298,0.019865,0.017211,0.273223,0.006680,1.299584,
2012-04-27,88.572777,88.879356,87.633881,87.892555,60.620174,4483220,-0.001741,0.016278,0.258412,0.002414,1.264985,
2012-04-30,87.748848,87.873390,86.905754,87.394363,60.276592,3754457,-0.005668,0.015385,0.244237,-0.003884,1.353032,
2012-05-01,87.643456,89.847000,87.384781,88.994324,61.380089,3856433,0.018307,0.015700,0.249231,0.005658,1.492540,
2012-05-02,88.017105,88.697327,87.375198,88.505714,61.043098,3743706,-0.005490,0.014403,0.228639,-0.002497,1.444515,
2012-05-03,88.793129,88.821877,85.803978,86.053078,59.351482,4845096,-0.027712,0.014361,0.227968,-0.007659,1.474412,
2012-05-04,85.027954,85.411179,83.284279,84.194435,58.069557,5850982,-0.021599,0.015039,0.238742,-0.016147,1.395979,
2012-05-07,84.079468,84.596825,83.284279,84.021988,57.950653,3378176,-0.002048,0.014300,0.227005,0.000351,1.538208,
2012-05-08,83.198051,83.475891,80.879547,83.284279,57.441822,5857662,-0.008780,0.014309,0.227150,-0.004279,1.538395,
2012-05-09,81.674736,81.885513,80.046036,80.745415,55.690739,7969322,-0.030484,0.016299,0.258733,-0.006702,1.750829,
2012-05-10,81.981316,82.469925,81.234032,81.454384,56.179741,3970518,0.008781,0.016495,0.261843,0.002517,1.764223,
2012-05-11,80.620872,81.875931,80.074776,80.247223,55.347122,3900167,-0.014821,0.016762,0.266094,-0.003387,1.884142,
2012-05-14,78.848457,79.202934,78.024521,78.235298,53.959515,5426479,-0.025071,0.017590,0.279230,-0.011113,1.904638,
2012-05-15,78.350266,78.973000,76.242531,76.549110,52.796513,7194528,-0.021553,0.016256,0.258048,-0.005746,2.083784,
2012-05-16,77.315559,78.254456,75.830559,75.907204,52.353798,5599954,-0.008385,0.014081,0.223528,-0.004404,1.933576,
2012-05-17,75.552727,76.836525,75.140755,75.370689,51.983753,6196993,-0.007068,0.013898,0.220630,-0.015051,1.493816,
2012-05-18,75.926369,77.919136,75.801819,76.309593,52.631336,9599906,0.012457,0.015199,0.241281,-0.007388,1.383388,
2012-05-21,76.625755,77.631714,76.434143,77.478424,53.437469,5157498,0.015317,0.014794,0.234841,0.016036,1.081975,
2012-05-22,77.516747,79.040070,76.817368,77.449684,53.417667,4044208,-0.000371,0.014969,0.237628,0.000486,1.096698,
2012-05-23,76.702400,77.765846,74.815018,77.708359,53.596066,5440570,0.003340,0.014331,0.227498,0.001694,1.068184,
2012-05-24,78.388588,78.388588,76.970657,77.967041,53.774487,4139818,0.003329,0.013943,0.221335,0.001380,1.087442,
2012-05-25,78.082008,78.426910,77.401779,77.622139,53.536610,3107108,-0.004424,0.013914,0.220870,-0.002166,1.088047,
2012-05-29,78.599358,80.237640,78.599358,79.413712,54.772259,3988158,0.023080,0.015820,0.251133,0.011079,1.252590,
2012-05-30,78.082008,78.139488,76.271271,76.922752,53.054226,4844470,-0.031367,0.015938,0.253009,-0.014335,1.290427,
2012-05-31,76.769463,77.037720,74.853340,75.945526,52.380219,7035353,-0.012704,0.015714,0.249452,-0.002277,1.261649,
2012-06-01,74.604240,75.753914,73.377922,75.274887,51.917706,8482755,-0.008830,0.015502,0.246094,-0.024643,0.917529,
2012-06-04,75.849724,77.162270,74.939568,76.798203,52.968327,7414243,0.020236,0.015595,0.247555,0.000110,0.891805,
2012-06-05,76.999397,78.129906,76.644913,77.775429,53.642323,5701409,0.012725,0.014827,0.235370,0.005727,0.881375,
2012-06-06,78.551453,81.080734,78.493973,81.023254,56.256577,6340199,0.048735,0.019192,0.304659,0.023049,1.115877,
2012-06-07,82.115440,84.481857,81.051994,81.377739,56.502731,7739587,0.004376,0.018864,0.299464,-0.000106,1.157608,
2012-06-08,80.735832,81.962158,79.978966,81.483124,56.575871,4399614,0.001294,0.018813,0.298641,0.008114,1.187551,
2012-06-11,82.163345,82.575317,79.509514,79.672386,55.318661,4925154,-0.022222,0.019923,0.316273,-0.012620,1.320834,
2012-06-12,80.505898,81.032837,79.384972,80.074776,55.598034,5010743,0.005050,0.019913,0.316103,0.011651,1.239710,
2012-06-13,79.557419,80.649612,79.279587,79.777771,55.391804,3803096,-0.003709,0.019994,0.317388,-0.007023,1.230067,
2012-06-14,80.065193,80.831642,79.231682,79.978966,55.531498,4890396,0.002522,0.019992,0.317367,0.010815,1.162213,
2012-06-15,80.678352,81.674736,80.007706,81.665154,56.702267,5284004,0.021083,0.020471,0.324966,0.010338,1.181431,
2012-06-18,80.850800,80.908287,79.586159,80.295128,55.751026,6340721,-0.016776,0.020430,0.324322,0.001445,1.143484,
2012-06-19,80.956192,81.435219,80.007706,80.486740,55.884071,4450445,0.002386,0.018120,0.287641,0.009816,0.983096,
