Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,114.769997,115.000000,112.900002,113.760002,88.916039,1419700,,,,,,
2012-02-22,113.440002,114.959999,112.870003,113.699997,88.869133,1298500,-0.000528,,,-0.003340,,1.259338
2012-02-23,113.480003,114.949997,111.949997,114.699997,89.650742,1721500,0.008795,,,0.004272,,
2012-02-24,115.199997,117.910004,114.930000,116.239998,90.854431,2075200,0.013426,,,0.001672,,
2012-02-27,115.099998,115.489998,113.760002,113.900002,89.025436,1847500,-0.020131,,,0.001355,,
2012-02-28,114.180000,114.180000,110.989998,111.910004,87.470062,2101500,-0.017471,,,0.003356,,
2012-02-29,113.139999,113.410004,108.669998,109.639999,85.695801,3002000,-0.020284,,,-0.004737,,
2012-03-01,110.620003,112.129997,109.580002,111.900002,87.462196,1451000,0.020612,,,0.006158,,
2012-03-02,110.919998,111.510002,107.690002,108.400002,84.726608,1576500,-0.031277,,,-0.003246,,
2012-03-05,108.150002,108.150002,103.410004,106.160004,82.975807,2828600,-0.020664,,,-0.003870,,
2012-03-06,105.139999,105.139999,101.160004,103.269997,80.716942,2947100,-0.027223,,,-0.015370,,
2012-03-07,103.309998,106.209999,101.620003,105.339996,82.334846,1624400,0.020044,,,0.006901,,
2012-03-08,106.220001,108.150002,104.790001,107.699997,84.179459,1507500,0.022404,,,0.009818,,
2012-03-09,108.230003,109.800003,107.190002,108.550003,84.843857,1476800,0.007893,,,0.003631,,
2012-03-12,108.540001,108.639999,106.480003,106.959999,83.601074,1099300,-0.014648,0.019380,0.307645,0.000160,2.158436,
2012-03-13,108.059998,108.059998,105.269997,107.930000,84.359253,1068800,0.009069,0.019688,0.312532,0.018132,1.709541,
2012-03-14,107.690002,108.879997,105.809998,106.400002,83.163361,1002000,-0.014176,0.019538,0.310154,-0.001196,1.699782,
2012-03-15,106.739998,107.629997,105.269997,106.550003,83.280617,1204600,0.001410,0.018912,0.300217,0.005967,1.699010,
2012-03-16,107.209999,110.570000,107.209999,110.010002,85.984985,2267100,0.032473,0.021005,0.333444,0.001119,1.653877,
2012-03-19,109.430000,111.419998,108.839996,111.309998,87.001076,2385100,0.011817,0.020833,0.330710,0.003974,1.706475,
2012-03-20,109.839996,109.839996,105.570000,106.349998,83.124290,2684800,-0.044560,0.023477,0.372688,-0.003001,1.855123,
2012-03-21,106.099998,106.099998,103.129997,103.790001,81.123367,2261300,-0.024071,0.023215,0.368522,-0.001871,1.832960,
2012-03-22,102.190002,103.139999,99.820000,100.690002,78.700386,2468500,-0.029868,0.023095,0.366626,-0.007207,1.820313,
2012-03-23,100.730003,102.800003,100.470001,101.750000,79.528877,1881300,0.010527,0.022973,0.364683,0.003109,1.802729,
2012-03-26,103.000000,105.139999,102.750000,105.000000,82.069122,1947600,0.031941,0.023565,0.374076,0.013886,2.233365,
2012-03-27,104.879997,107.180000,104.389999,106.650002,83.358788,2664500,0.015714,0.023329,0.370335,-0.002817,1.907042,
2012-03-28,106.349998,106.559998,103.500000,105.360001,82.381409,2275400,-0.011725,0.022711,0.360521,-0.004942,1.784072,
2012-03-29,104.110001,105.389999,102.440002,105.199997,82.256287,1435000,-0.001519,0.022556,0.358072,-0.001608,1.734254,
2012-03-30,105.519997,112.580002,105.519997,111.589996,87.252647,4588400,0.060741,0.027708,0.439853,0.003698,1.857694,
2012-04-02,111.540001,113.510002,110.440002,112.099998,87.651413,2166800,0.004570,0.027664,0.439145,0.007505,2.748937,
2012-04-03,112.540001,112.540001,110.510002,111.930000,87.518494,2883600,-0.001516,0.027260,0.432734,-0.003989,2.584405,
2012-04-04,110.480003,110.480003,108.330002,109.629997,85.720116,2109000,-0.020549,0.028040,0.445128,-0.010203,2.647658,
2012-04-05,109.349998,111.339996,109.000000,109.599998,85.696678,1379800,-0.000273,0.026674,0.423433,-0.000629,2.580305,
2012-04-09,107.339996,108.080002,106.250000,107.480003,84.039040,1086800,-0.019343,0.026919,0.427321,-0.011358,2.405061,
2012-04-10,107.500000,108.379997,104.389999,105.120003,82.193741,1523900,-0.021958,0.024771,0.393225,-0.017081,2.034091,
2012-04-11,106.470001,106.650002,103.500000,103.639999,81.036522,1395700,-0.014079,0.024177,0.383798,0.007449,1.703202,
2012-04-12,103.989998,108.269997,103.820000,107.830002,84.312698,2039700,0.040428,0.024747,0.392849,0.013779,1.724947,
2012-04-13,107.449997,108.239998,106.550003,106.690002,83.421326,1082100,-0.010572,0.025039,0.397486,-0.012475,1.668672,
2012-04-16,107.269997,108.410004,103.849998,104.599998,81.787155,1521600,-0.019589,0.024347,0.386498,-0.000504,1.610739,
2012-04-17,106.000000,109.220001,105.809998,107.690002,84.203239,2058500,0.029541,0.025295,0.401538,0.015487,1.614248,
2012-04-18,107.129997,107.129997,104.660004,105.720001,82.662888,1967100,-0.018293,0.025608,0.406513,-0.004055,1.628628,
2012-04-19,106.339996,107.739998,104.959999,105.889999,82.795799,1301100,0.001608,0.025602,0.406422,-0.005934,1.595785,
2012-04-20,105.699997,106.940002,104.570000,104.980003,82.084282,1464400,-0.008594,0.018950,0.300820,0.001169,1.372860,
2012-04-23,102.550003,105.860001,102.349998,105.489998,82.483032,1062600,0.004858,0.018960,0.300985,-0.008408,1.322588,
2012-04-24,105.559998,107.339996,104.720001,106.709999,83.436966,1547000,0.011565,0.019418,0.308247,0.003680,1.358178,
2012-04-25,107.820000,114.269997,107.209999,113.610001,88.832092,3630000,0.064661,0.025858,0.410491,0.013645,1.744723,
2012-04-26,113.199997,115.949997,112.870003,115.639999,90.419373,1433300,0.017868,0.026143,0.415002,0.006680,1.750853,
2012-04-27,115.739998,116.129997,113.760002,115.639999,90.419373,1256000,0.000000,0.025303,0.401676,0.002414,1.726893,
2012-04-30,114.870003,116.129997,112.550003,115.820000,90.560112,1786200,0.001557,0.024089,0.382408,-0.003884,1.813391,
2012-05-01,116.190002,117.050003,114.720001,116.160004,90.825943,1636000,0.002935,0.023351,0.370679,0.005658,1.942964,
2012-05-02,114.510002,115.370003,111.930000,112.639999,88.073654,2391100,-0.030303,0.023545,0.373766,-0.002497,1.945751,
2012-05-03,114.150002,117.629997,109.750000,110.860001,86.681847,3843400,-0.015803,0.023823,0.378182,-0.007659,2.209669,
2012-05-04,108.790001,109.279999,105.769997,106.930000,83.608963,2110100,-0.035450,0.025311,0.401797,-0.016147,2.160187,
2012-05-07,106.059998,107.349998,104.660004,105.470001,82.467407,1637500,-0.013654,0.024290,0.385595,0.000351,2.306000,
2012-05-08,104.589996,104.629997,100.430000,103.879997,81.224174,1915600,-0.015075,0.024131,0.383066,-0.004279,2.293462,
2012-05-09,102.019997,102.620003,99.430000,102.190002,79.902756,2527200,-0.016269,0.024454,0.388192,-0.006702,2.390917,
2012-05-10,104.080002,106.190002,103.059998,104.230003,81.497841,2069600,0.019963,0.025069,0.397950,0.002517,2.481302,
2012-05-11,103.010002,105.050003,101.779999,101.949997,79.715088,1351800,-0.021875,0.025663,0.407382,-0.003387,2.791160,
2012-05-14,100.000000,100.629997,98.570000,98.760002,77.220810,1389900,-0.031290,0.026447,0.419830,-0.011113,2.762767,
2012-05-15,98.550003,99.699997,97.010002,97.949997,76.587494,1966600,-0.008201,0.017192,0.272922,-0.005746,2.005725,
2012-05-16,98.220001,99.949997,97.580002,97.660004,76.360733,2556900,-0.002961,0.015362,0.243862,-0.004404,1.829054,
2012-05-17,98.099998,99.199997,96.690002,96.720001,75.625755,1833400,-0.009625,0.015000,0.238119,-0.015051,1.377554,
2012-05-18,97.790001,98.930000,94.800003,95.360001,74.562347,2565700,-0.014061,0.014438,0.229203,-0.007388,1.334818,
2012-05-21,95.360001,99.919998,95.339996,99.839996,78.065285,1552700,0.046980,0.021441,0.340358,0.016036,2.030668,
2012-05-22,99.989998,102.370003,98.440002,100.680000,78.722084,2255100,0.008413,0.021191,0.336403,0.000486,2.126376,
2012-05-23,99.589996,99.639999,94.870003,99.300003,77.643066,3100000,-0.013707,0.021138,0.335550,0.001694,2.004377,
2012-05-24,99.989998,100.000000,96.089996,98.029999,76.650032,2222300,-0.012790,0.019659,0.312083,0.001380,1.899937,
2012-05-25,97.820000,99.540001,97.820000,99.209999,77.572685,1198900,0.012037,0.020085,0.318847,-0.002166,1.967912,
2012-05-29,100.220001,103.169998,99.879997,102.709999,80.309357,1832800,0.035279,0.022363,0.355001,0.011079,2.084449,
2012-05-30,100.889999,100.889999,97.260002,98.349998,76.900246,2087800,-0.042450,0.024744,0.392797,-0.014335,2.216556,
2012-05-31,98.230003,98.690002,94.570000,96.699997,75.610100,2713700,-0.016777,0.024125,0.382966,-0.002277,2.159930,
