Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,72.599998,73.370003,72.599998,72.900002,38.759098,2102819,,,,,,
2012-02-22,72.529999,73.000000,72.440002,72.809998,38.711231,2754015,-0.001235,,,-0.003340,,0.938126
2012-02-23,73.290001,73.839996,72.910004,73.709999,39.189758,1820475,0.012361,,,0.004272,,
2012-02-24,73.919998,74.080002,73.449997,73.540001,39.099369,1818849,-0.002306,,,0.001672,,
2012-02-27,72.930000,73.680000,72.870003,73.339996,38.993023,1436408,-0.002720,,,0.001355,,
2012-02-28,73.199997,73.959999,73.180000,73.790001,39.232277,2302599,0.006136,,,0.003356,,
2012-02-29,73.900002,74.089996,72.949997,73.089996,38.860130,2408886,-0.009486,,,-0.004737,,
2012-03-01,72.949997,73.750000,72.919998,73.620003,39.141903,2679512,0.007251,,,0.006158,,
2012-03-02,72.900002,73.000000,72.510002,72.750000,38.679333,1868333,-0.011818,,,-0.003246,,
2012-03-05,72.610001,72.720001,72.139999,72.529999,38.562370,1492854,-0.003024,,,-0.003870,,
2012-03-06,71.169998,71.269997,70.669998,70.879997,37.685104,2521594,-0.022749,,,-0.015370,,
2012-03-07,70.790001,71.180000,70.589996,70.949997,37.722324,1461188,0.000988,,,0.006901,,
2012-03-08,72.239998,72.754997,71.947998,72.750000,38.679333,2351837,0.025370,,,0.009818,,
2012-03-09,71.580002,71.900002,71.430000,71.489998,38.009430,2013606,-0.017319,,,0.003631,,
2012-03-12,71.160004,71.550003,71.010002,71.449997,37.988167,1814872,-0.000559,0.012192,0.193541,0.000160,1.356132,
2012-03-13,71.370003,72.180000,71.269997,72.180000,38.376289,2026436,0.010217,0.012579,0.199691,0.018132,1.121855,
2012-03-14,71.739998,72.059998,71.197800,71.230003,37.871185,2401582,-0.013162,0.012413,0.197052,-0.001196,1.119148,
2012-03-15,71.010002,71.589996,70.830002,71.459999,37.993481,1885465,0.003229,0.012503,0.198481,0.005967,1.120857,
2012-03-16,71.559998,72.400002,71.360001,71.480003,38.004128,2198645,0.000280,0.012515,0.198671,0.001119,1.117855,
2012-03-19,71.400002,72.059998,71.349998,71.989998,38.275269,1215171,0.007135,0.012566,0.199484,0.003974,1.122820,
2012-03-20,71.260002,71.290001,70.820000,71.089996,37.796757,1896843,-0.012502,0.012735,0.202162,-0.003001,1.154089,
2012-03-21,70.889999,71.190002,70.720001,70.830002,37.658539,1455413,-0.003657,0.012463,0.197836,-0.001871,1.118823,
2012-03-22,70.070000,70.500000,70.000000,70.279999,37.366108,1403428,-0.007765,0.012280,0.194935,-0.007207,1.051002,
2012-03-23,70.209999,70.610001,70.010002,70.559998,37.514961,1315276,0.003984,0.012394,0.196755,0.003109,1.090775,
2012-03-26,71.430000,72.199997,71.419998,72.169998,38.370975,2632388,0.022818,0.012479,0.198100,0.013886,1.229606,
2012-03-27,71.260002,71.389999,70.739998,70.739998,37.610687,1949107,-0.019814,0.013705,0.217563,-0.002817,1.362723,
2012-03-28,71.410004,71.470001,70.180000,70.699997,37.589413,2586205,-0.000566,0.011582,0.183865,-0.004942,1.068615,
2012-03-29,69.629997,70.279999,69.135002,70.180000,37.312931,2190599,-0.007355,0.010850,0.172241,-0.001608,1.121922,
2012-03-30,69.980003,70.339996,69.769997,70.129997,37.286350,1490448,-0.000712,0.010849,0.172230,0.003698,1.123787,
2012-04-02,69.620003,71.500000,69.550003,71.190002,37.849934,2453067,0.015115,0.011317,0.179660,0.007505,1.576908,
2012-04-03,71.029999,71.050003,69.680000,70.010002,37.222538,1523223,-0.016576,0.011634,0.184680,-0.003989,1.612280,
2012-04-04,69.160004,69.440002,68.690002,69.059998,36.717464,2111388,-0.013569,0.012005,0.190580,-0.010203,1.531009,
2012-04-05,68.389999,69.120003,68.379997,68.809998,36.584549,3011053,-0.003620,0.011984,0.190247,-0.000629,1.529943,
2012-04-09,68.379997,68.989998,68.150002,68.669998,36.510101,1391096,-0.002035,0.011655,0.185011,-0.011358,1.213303,
2012-04-10,68.129997,68.480003,66.870003,66.949997,35.595631,4187208,-0.025047,0.012838,0.203803,-0.017081,1.228936,
2012-04-11,68.599998,68.750000,67.720001,67.750000,36.020966,5967636,0.011949,0.013547,0.215053,0.007449,1.258021,
2012-04-12,66.980003,68.180000,66.599998,67.860001,36.079460,10557606,0.001624,0.013530,0.214782,0.013779,1.080358,
2012-04-13,68.239998,68.389999,67.059998,67.239998,35.749813,4049859,-0.009137,0.013507,0.214418,-0.012475,1.007751,
2012-04-16,67.830002,68.160004,67.379997,67.839996,36.068821,2620831,0.008923,0.011844,0.188024,-0.000504,0.877813,
2012-04-17,68.690002,69.300003,68.519897,68.940002,36.653667,2414249,0.016215,0.012135,0.192640,0.015487,0.903151,
2012-04-18,69.089996,69.360001,68.769997,68.849998,36.605812,1971897,-0.001306,0.012131,0.192576,-0.004055,0.910030,
2012-04-19,68.889999,68.970001,67.910004,68.220001,36.270878,2182559,-0.009150,0.012203,0.193722,-0.005934,0.917311,
2012-04-20,68.459999,69.120003,68.440002,68.709999,36.531380,3326847,0.007182,0.012445,0.197559,0.001169,0.944558,
2012-04-23,67.599998,68.419998,67.180000,68.279999,36.302753,2111050,-0.006258,0.011543,0.183241,-0.008408,0.877730,
2012-04-24,68.339996,68.839996,68.209999,68.400002,36.366570,1607290,0.001758,0.010896,0.172966,0.003680,0.854529,
2012-04-25,69.160004,69.339996,67.830002,68.860001,36.611134,3023619,0.006725,0.010525,0.167086,0.013645,0.767188,
2012-04-26,70.639999,71.730003,70.379997,71.500000,38.014748,3430853,0.038338,0.014635,0.232316,0.006680,0.904134,
2012-04-27,71.260002,71.500000,70.940002,71.309998,37.913727,2625767,-0.002657,0.014651,0.232583,0.002414,0.953951,
2012-04-30,70.550003,71.540001,70.540001,71.540001,38.036022,2007591,0.003226,0.012274,0.194841,-0.003884,0.754589,
2012-05-01,71.589996,72.070000,71.260002,71.709999,38.126404,1507934,0.002376,0.012112,0.192264,0.005658,0.720427,
2012-05-02,70.370003,70.800003,69.940002,70.709999,37.594723,2048767,-0.013945,0.013039,0.206985,-0.002497,0.948365,
2012-05-03,70.830002,70.930000,70.440002,70.739998,37.610687,1366887,0.000425,0.012596,0.199954,-0.007659,0.903605,
2012-05-04,70.010002,70.150002,68.930000,69.169998,36.775948,1598174,-0.022194,0.014242,0.226084,-0.016147,1.045114,
2012-05-07,68.860001,69.839996,68.760002,69.769997,37.094948,1671386,0.008674,0.013777,0.218701,0.000351,1.113908,
2012-05-08,68.610001,68.779999,67.020798,68.169998,36.244263,2549378,-0.022933,0.015189,0.241111,-0.004279,1.200018,
2012-05-09,65.720001,66.650002,65.660500,66.150002,35.619648,3637169,-0.017233,0.015684,0.248976,-0.006702,1.251688,
2012-05-10,66.129997,66.970001,66.110001,66.339996,35.721958,3684991,0.002872,0.015549,0.246832,0.002517,1.233375,
2012-05-11,66.059998,66.800003,65.900002,65.949997,35.511955,2445796,-0.005879,0.015540,0.246695,-0.003387,1.289478,
2012-05-14,64.830002,65.199997,64.559998,64.739998,34.860413,2080884,-0.018347,0.016138,0.256175,-0.011113,1.335199,
2012-05-15,64.209999,64.559998,63.755001,63.840000,34.375786,2805509,-0.013902,0.016133,0.256105,-0.005746,1.731360,
2012-05-16,64.070000,64.430000,63.509998,63.720001,34.311165,2073766,-0.001880,0.010562,0.167671,-0.004404,1.154546,
2012-05-17,62.939999,63.259998,62.509998,62.570000,33.691940,3876570,-0.018047,0.010845,0.172165,-0.015051,1.144802,
2012-05-18,63.099998,63.150002,62.040001,62.220001,33.503479,2603677,-0.005594,0.010367,0.164577,-0.007388,1.094777,
2012-05-21,62.750000,63.410000,62.610001,63.270000,34.068867,2158544,0.016876,0.012158,0.193001,0.016036,1.128001,
2012-05-22,63.549999,63.930000,62.900002,63.200001,34.031158,1319099,-0.001107,0.012154,0.192939,0.000486,1.149973,
2012-05-23,62.490002,62.779999,61.630001,63.200001,34.031158,2121244,0.000000,0.012134,0.192629,0.001694,1.194075,
2012-05-24,63.410000,63.580002,62.619999,63.020000,33.934242,1463322,-0.002848,0.011354,0.180233,0.001380,1.194636,
2012-05-25,62.689999,63.240002,62.669998,62.830002,33.831947,1389889,-0.003015,0.010624,0.168654,-0.002166,1.153004,
2012-05-29,63.340000,63.570000,62.639999,62.980000,33.912708,2274507,0.002387,0.009730,0.154452,0.011079,1.000509,
2012-05-30,61.799999,61.950001,61.419998,61.799999,33.277313,2475155,-0.018736,0.009886,0.156929,-0.014335,0.974802,
2012-05-31,62.209999,62.559601,61.160000,62.180000,33.481930,2845158,0.006149,0.010117,0.160608,-0.002277,0.964170,
2012-06-01,61.080002,61.439999,60.619999,61.160000,32.932690,3193654,-0.016404,0.010602,0.168297,-0.024643,0.815954,
2012-06-04,61.549999,61.700001,61.000000,61.340000,33.029629,1567920,0.002944,0.010105,0.160405,0.000110,0.790525,
2012-06-05,61.810001,61.900002,61.150002,61.549999,33.142700,1717558,0.003423,0.009829,0.156033,0.005727,0.771537,
2012-06-06,62.020000,63.419998,62.000000,63.369999,34.122711,2369137,0.029569,0.013060,0.207314,0.023049,0.892554,
2012-06-07,64.470001,64.470001,63.250000,63.320000,34.095783,1755031,-0.000789,0.012031,0.190986,-0.000106,0.863305,
2012-06-08,62.279999,63.240002,62.250000,63.220001,34.041943,1509735,-0.001579,0.011911,0.189083,0.008114,0.836415,
2012-06-11,63.720001,63.860001,63.119999,63.169998,34.015026,3024830,-0.000791,0.011026,0.175034,-0.012620,0.740340,
2012-06-12,63.830002,64.250000,63.230000,64.230003,34.585796,2618102,0.016780,0.011897,0.188859,0.011651,0.780768,
2012-06-13,64.480003,65.169998,64.019997,64.320000,34.634254,3094154,0.001401,0.011892,0.188777,-0.007023,0.761214,
2012-06-14,64.519997,65.220001,64.320000,64.970001,34.984253,2620944,0.010106,0.012045,0.191216,0.010815,0.762381,
2012-06-15,66.169998,66.629997,65.930000,66.519997,35.818886,3240405,0.023857,0.013226,0.209953,0.010338,0.810756,
2012-06-18,66.699997,66.750000,66.000000,66.209999,35.651958,2589435,-0.004660,0.013431,0.213214,0.001445,0.856642,
2012-06-19,67.360001,68.059998,67.080002,67.570000,36.384281,3569096,0.020541,0.012460,0.197793,0.009816,0.815842,
2012-06-20,67.680000,68.339996,67.279999,67.760002,36.486576,3694499,0.002812,0.012498,0.198403,-0.001686,0.825238,
2012-06-21,67.029999,67.150002,65.320000,65.360001,35.194256,3075211,-0.035419,0.015756,0.250114,-0.022262,1.115749,
2012-06-22,65.610001,66.000000,65.160004,65.970001,35.522728,3063319,0.009333,0.015788,0.250628,0.007175,1.115589,
