Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß,10-yr yield,VIX Close,VIX % change
2012-02-21,86.040001,86.779999,86.040001,86.570000,53.252918,15481300,,,,,,,2.05,18.190001,0
2012-02-22,86.839996,87.250000,86.650002,86.919998,53.468220,11983200,0.004043,,,-0.003340,,0.888207,2.01,18.190001,0
2012-02-23,86.580002,87.169998,86.470001,87.019997,53.529724,12404600,0.001150,,,0.004272,,,1.99,16.799999,-0.0764157187237098
2012-02-24,87.370003,87.470001,87.010002,87.339996,53.726585,10767100,0.003678,,,0.001672,,,1.98,17.309999,0.0303571446641158
2012-02-27,87.150002,87.830002,86.779999,87.230003,53.658924,13323500,-0.001259,,,0.001355,,,1.92,18.190001,0.0508377845660188
2012-02-28,87.230003,87.440002,86.550003,87.139999,53.603558,14317600,-0.001032,,,0.003356,,,1.94,17.959999,-0.0126444193158648
2012-02-29,87.449997,87.489998,86.209999,86.500000,53.209866,18293200,-0.007345,,,-0.004737,,,1.98,18.43,0.0261693221697841
2012-03-01,86.470001,87.180000,86.410004,86.830002,53.412849,12638500,0.003815,,,0.006158,,,2.03,17.26,-0.0634834508952794
2012-03-02,86.660004,86.750000,85.849998,86.330002,53.105297,11343400,-0.005758,,,-0.003246,,,1.99,17.290001,0.00173818076477404
2012-03-05,86.169998,87.089996,85.910004,87.010002,53.523571,12803100,0.007876,,,-0.003870,,,2,18.049999,0.0439559257399696
2012-03-06,86.239998,86.480003,85.419998,85.860001,52.816139,16507900,-0.013217,,,-0.015370,,,1.96,20.870001,0.156232806439491
2012-03-07,86.010002,86.120003,85.190002,85.830002,52.797710,14767700,-0.000349,,,0.006901,,,1.98,19.07,-0.0862482469454601
2012-03-08,85.000000,85.470001,84.629997,84.830002,52.182571,19032000,-0.011651,,,0.009818,,,2.03,17.950001,-0.0587309386470897
2012-03-09,85.059998,85.129997,84.050003,84.300003,51.856533,17042500,-0.006248,,,0.003631,,,2.04,17.110001,-0.0467966547745596
2012-03-12,84.500000,85.750000,84.129997,85.550003,52.625465,19014000,0.014828,0.007634,0.121185,0.000160,0.196725,,2.04,15.64,-0.0859147232077894
2012-03-13,85.889999,86.930000,85.610001,86.860001,53.431301,16853300,0.015313,0.008705,0.138190,0.018132,0.468802,,2.14,14.8,-0.0537084398976982
2012-03-14,86.589996,86.830002,85.739998,86.019997,52.914585,16187300,-0.009671,0.009067,0.143930,-0.001196,0.495428,,2.29,15.31,0.0344594594594595
2012-03-15,85.889999,86.199997,85.250000,86.089996,52.957649,14523600,0.000814,0.008990,0.142715,0.005967,0.493439,,2.29,15.42,0.00718484650555193
2012-03-16,86.199997,86.889999,85.919998,86.440002,53.172947,30991300,0.004065,0.009090,0.144301,0.001119,0.488427,,2.31,14.47,-0.0616083009079118
2012-03-19,86.080002,87.180000,86.029999,86.989998,53.511265,10770400,0.006363,0.009277,0.147263,0.003974,0.503945,,2.39,15.04,0.0393918451969592
2012-03-20,86.459999,87.099998,86.320000,86.599998,53.271385,13613800,-0.004483,0.009135,0.145011,-0.003001,0.485020,,2.38,15.58,0.0359042553191489
2012-03-21,86.589996,86.589996,85.769997,86.010002,52.908432,14212400,-0.006813,0.009245,0.146763,-0.001871,0.495922,,2.31,15.13,-0.0288831835686778
2012-03-22,85.480003,85.940002,85.099998,85.330002,52.490143,13884400,-0.007906,0.009354,0.148488,-0.007207,0.507595,,2.29,15.57,0.0290812954395241
2012-03-23,85.360001,85.980003,85.019997,85.550003,52.625465,12557700,0.002578,0.009079,0.144131,0.003109,0.584910,,2.25,14.82,-0.0481695568400771
