Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,58.730000,58.840000,57.950001,58.139999,46.449455,2308100,,,,,,
2012-02-22,57.939999,58.639999,57.709999,58.529999,46.761040,2777400,0.006708,,,-0.003340,,1.087590
2012-02-23,58.570000,59.549999,58.459999,59.410000,47.464088,3683300,0.015035,,,0.004272,,
2012-02-24,59.029999,60.000000,59.029999,59.650002,47.655834,2763100,0.004040,,,0.001672,,
2012-02-27,59.130001,59.910000,59.130001,59.660000,47.663830,2186600,0.000168,,,0.001355,,
2012-02-28,59.830002,59.830002,59.110001,59.759998,47.743717,2142300,0.001676,,,0.003356,,
2012-02-29,59.759998,59.830002,59.430000,59.540001,47.567947,2257500,-0.003682,,,-0.004737,,
2012-03-01,59.810001,59.910000,59.450001,59.680000,47.679798,2571300,0.002351,,,0.006158,,
2012-03-02,59.540001,59.700001,59.130001,59.599998,47.615887,2397000,-0.001340,,,-0.003246,,
2012-03-05,59.580002,61.000000,59.580002,60.880001,48.638512,5433100,0.021477,,,-0.003870,,
2012-03-06,60.279999,60.590000,59.369999,59.459999,47.504040,4029600,-0.023325,,,-0.015370,,
2012-03-07,59.630001,59.900002,59.070000,59.610001,47.623871,2575200,0.002523,,,0.006901,,
2012-03-08,60.119999,60.500000,59.820000,60.270000,48.151165,1806500,0.011072,,,0.009818,,
2012-03-09,60.720001,61.119999,60.310001,60.860001,48.622524,2206200,0.009789,,,0.003631,,
2012-03-12,60.910000,61.230000,60.450001,61.150002,48.854233,2590500,0.004765,0.010289,0.163333,0.000160,0.897207,
2012-03-13,61.380001,62.439999,61.200001,62.410000,49.860859,3818000,0.020605,0.011233,0.178313,0.018132,0.937818,
2012-03-14,62.360001,62.750000,62.259998,62.610001,50.020649,2595900,0.003205,0.010829,0.171911,-0.001196,0.906597,
2012-03-15,62.549999,63.669998,62.250000,63.630001,50.835545,3290100,0.016291,0.011333,0.179902,0.005967,0.944971,
2012-03-16,63.790001,63.990002,63.130001,63.619999,50.827560,6566400,-0.000157,0.011343,0.180065,0.001119,0.946116,
2012-03-19,63.340000,63.669998,63.110001,63.410000,50.659794,2993700,-0.003301,0.011520,0.182880,0.003974,0.929986,
2012-03-20,63.090000,63.240002,62.669998,63.080002,50.396145,3239700,-0.005204,0.011608,0.184278,-0.003001,0.946907,
2012-03-21,63.389999,64.269997,63.389999,63.750000,50.931423,3394800,0.010621,0.011717,0.186004,-0.001871,0.938031,
2012-03-22,63.169998,63.610001,62.700001,63.520000,50.747662,4804800,-0.003608,0.011824,0.187694,-0.007207,0.927592,
2012-03-23,64.010002,64.900002,63.200001,64.879997,51.834198,6655500,0.021411,0.011816,0.187579,0.003109,1.092262,
2012-03-26,64.980003,65.889999,64.769997,65.889999,52.641129,4204900,0.015568,0.008970,0.142395,0.013886,0.808796,
2012-03-27,65.129997,65.500000,64.680000,65.459999,52.297581,5455200,-0.006526,0.009649,0.153168,-0.002817,0.922078,
