Date,Open,High,Low,Close,Adj Close,Volume
2012-02-21,8.030000,8.200000,8.000000,8.110000,6.650894,333407700
2012-02-22,8.060000,8.130000,7.950000,7.950000,6.519681,228867800
2012-02-23,7.970000,8.050000,7.900000,8.020000,6.577090,144231800
2012-02-24,8.050000,8.090000,7.880000,7.880000,6.462276,163128200
2012-02-27,7.790000,8.050000,7.670000,8.040000,6.593490,298930800
2012-02-28,8.050000,8.150000,8.000000,8.120000,6.659097,193443200
2012-02-29,8.160000,8.240000,7.970000,7.970000,6.544143,266720500
2012-03-01,8.090000,8.170000,8.050000,8.120000,6.667308,197850100
2012-03-02,8.110000,8.210000,8.100000,8.130000,6.675519,143887500
2012-03-05,8.090000,8.130000,7.950000,7.970000,6.544143,196328300
2012-03-06,7.780000,7.790000,7.660000,7.710000,6.330657,262871200
2012-03-07,7.810000,8.020000,7.770000,8.020000,6.585200,328331900
2012-03-08,8.070000,8.120000,8.000000,8.060000,6.618041,160282000
2012-03-09,8.120000,8.190000,8.010000,8.050000,6.609831,195281400
2012-03-12,8.010000,8.060000,7.910000,7.990000,6.560565,165298900
2012-03-13,8.070000,8.500000,8.050000,8.490000,6.971112,385984100
2012-03-14,8.660000,8.900000,8.560000,8.840000,7.258495,488077000
2012-03-15,8.980000,9.250000,8.850000,9.240000,7.586934,489593000
2012-03-16,9.410000,9.800000,9.330000,9.800000,8.046751,582294100
2012-03-19,9.780000,10.100000,9.510000,9.530000,7.825053,669479900
2012-03-20,9.630000,9.970000,9.590000,9.810000,8.054959,451213900
2012-03-21,9.960000,10.030000,9.740000,9.820000,8.063171,326573800
2012-03-22,9.660000,9.770000,9.520000,9.600000,7.882531,264520500
2012-03-23,9.470000,9.850000,9.400000,9.850000,8.087805,283110900
2012-03-26,10.010000,10.040000,9.850000,9.930000,8.153491,241605700
2012-03-27,9.870000,9.900000,9.580000,9.600000,7.882531,250069600
2012-03-28,9.620000,9.780000,9.580000,9.750000,8.005693,234021500
2012-03-29,9.630000,9.680000,9.430000,9.530000,7.825053,253625800
2012-03-30,9.610000,9.640000,9.350000,9.570000,7.857899,250234500
2012-04-02,9.540000,9.780000,9.410000,9.680000,7.948221,179229000
2012-04-03,9.670000,9.670000,9.410000,9.490000,7.792210,190453400
2012-04-04,9.350000,9.360000,9.150000,9.200000,7.554092,228560600
2012-04-05,9.140000,9.400000,9.110000,9.230000,7.578724,180868100
2012-04-09,9.040000,9.040000,8.830000,8.930000,7.332397,211427600
2012-04-10,8.970000,9.090000,8.500000,8.540000,7.012170,377220000
2012-04-11,8.780000,8.910000,8.720000,8.860000,7.274920,252563700
2012-04-12,8.930000,9.180000,8.910000,9.170000,7.529460,223979900
2012-04-13,9.080000,9.080000,8.680000,8.680000,7.127123,282354600
2012-04-16,8.870000,8.930000,8.620000,8.790000,7.217443,217284500
2012-04-17,8.970000,9.000000,8.870000,8.920000,7.324185,193424400
2012-04-18,8.880000,9.000000,8.840000,8.920000,7.324185,160064100
2012-04-19,9.160000,9.170000,8.670000,8.770000,7.201020,348804500
2012-04-20,8.780000,8.780000,8.330000,8.360000,6.864372,277965300
2012-04-23,8.020000,8.300000,7.950000,8.180000,6.716574,256073900
2012-04-24,8.250000,8.270000,8.100000,8.210000,6.741206,192443800
2012-04-25,8.300000,8.350000,8.170000,8.260000,6.782261,164902400
2012-04-26,8.190000,8.400000,8.170000,8.270000,6.790473,131586300
2012-04-27,8.340000,8.340000,8.190000,8.250000,6.774051,120948200
2012-04-30,8.220000,8.240000,8.040000,8.110000,6.659095,137422300
2012-05-01,8.110000,8.400000,8.080000,8.310000,6.823315,177953400
2012-05-02,8.210000,8.230000,8.120000,8.160000,6.700152,136208900
2012-05-03,8.180000,8.180000,7.910000,8.000000,6.568777,204584500
2012-05-04,7.900000,7.920000,7.700000,7.740000,6.355290,194857200
2012-05-07,7.710000,8.000000,7.660000,7.960000,6.535932,167662600
2012-05-08,7.870000,7.900000,7.690000,7.790000,6.396345,180627900
