Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,32.970001,33.529999,32.910000,33.360001,26.167940,45487500,,,,,,
2012-02-22,32.970001,33.090000,32.279999,32.360001,25.383535,38321200,-0.029976,,,-0.003340,,1.357908
2012-02-23,32.400002,32.919998,32.080002,32.709999,25.658072,34682100,0.010816,,,0.004272,,
2012-02-24,32.810001,32.980000,32.200001,32.349998,25.375689,26596200,-0.011006,,,0.001672,,
2012-02-27,32.049999,33.029999,31.930000,32.930000,25.830648,36057200,0.017929,,,0.001355,,
2012-02-28,32.970001,33.610001,32.939999,33.480000,26.262072,38179400,0.016702,,,0.003356,,
2012-02-29,33.520000,34.000000,33.259998,33.320000,26.136568,43322100,-0.004779,,,-0.004737,,
2012-03-01,33.520000,34.450001,33.520000,34.130001,26.771944,47853800,0.024310,,,0.006158,,
2012-03-02,34.250000,34.480000,34.080002,34.099998,26.748409,32112000,-0.000879,,,-0.003246,,
2012-03-05,33.939999,34.000000,33.410000,33.680000,26.418964,33306000,-0.012316,,,-0.003870,,
2012-03-06,32.759998,32.950001,31.770000,32.119999,25.195276,49832100,-0.046319,,,-0.015370,,
2012-03-07,32.480000,33.360001,32.320000,33.240002,26.073820,34763400,0.034869,,,0.006901,,
2012-03-08,33.680000,34.020000,33.209999,34.000000,26.669973,35951400,0.022864,,,0.009818,,
2012-03-09,34.310001,34.889999,34.090000,34.200001,26.826851,42006000,0.005882,,,0.003631,,
2012-03-12,33.919998,34.310001,33.540001,34.290001,26.897453,38513800,0.002632,0.022121,0.351162,0.000160,2.876510,
2012-03-13,34.970001,36.720001,34.869999,36.450001,28.591770,91242400,0.062992,0.025428,0.403654,0.018132,2.864447,
2012-03-14,35.250000,36.099998,34.880001,35.209999,27.619106,113680500,-0.034019,0.027866,0.442354,-0.001196,2.989453,
2012-03-15,35.470001,36.590000,35.080002,36.270000,28.450575,61559900,0.030105,0.028142,0.446743,0.005967,3.033197,
2012-03-16,36.490002,36.799999,36.270000,36.689999,28.780024,46028600,0.011580,0.028031,0.444973,0.001119,3.035260,
2012-03-19,36.779999,38.400002,36.540001,37.169998,29.156553,72146000,0.013083,0.027962,0.443883,0.003974,3.024969,
2012-03-20,36.849998,38.389999,36.720001,38.080002,29.870359,58269900,0.024482,0.028038,0.445094,-0.003001,2.902290,
2012-03-21,38.209999,38.320000,37.320000,37.799999,29.650724,46300300,-0.007353,0.028068,0.445560,-0.001871,2.913125,
2012-03-22,37.279999,37.500000,36.549999,36.900002,28.944761,51433700,-0.023809,0.029250,0.464330,-0.007207,2.983674,
2012-03-23,36.759998,37.389999,36.660000,37.130001,29.125172,34154700,0.006233,0.028770,0.456715,0.003109,2.961618,
2012-03-26,37.599998,37.689999,37.180000,37.430000,29.360489,27895100,0.008080,0.024285,0.385511,0.013886,2.395985,
2012-03-27,37.400002,37.720001,36.770000,36.779999,28.850618,31146600,-0.017366,0.024391,0.387192,-0.002817,2.409540,
2012-03-28,36.709999,37.240002,36.520000,37.060001,29.070269,36305600,0.007613,0.023990,0.380837,-0.004942,2.217461,
2012-03-29,36.630001,36.779999,35.930000,36.509998,28.638840,32684100,-0.014841,0.024657,0.391425,-0.001608,2.288889,
2012-03-30,36.700001,36.799999,36.250000,36.549999,28.670218,23966200,0.001096,0.024672,0.391656,0.003698,2.270431,
2012-04-02,36.400002,37.139999,36.160000,36.869999,28.921227,23825400,0.008755,0.018267,0.289972,0.007505,1.411380,
2012-04-03,36.700001,36.840000,36.000000,36.369999,28.529030,30799800,-0.013561,0.015919,0.252711,-0.003989,1.334552,
2012-04-04,35.880001,35.889999,34.820000,35.040001,27.485752,45697800,-0.036569,0.016945,0.268994,-0.010203,1.524794,
2012-04-05,34.730000,35.279999,34.529999,34.790001,27.289642,31465700,-0.007135,0.016496,0.261862,-0.000629,1.496794,
2012-04-09,34.000000,34.270000,33.580002,33.970001,26.646437,34335400,-0.023570,0.016542,0.262596,-0.011358,1.446356,
2012-04-10,33.950001,34.400002,32.700001,32.860001,25.775738,58489800,-0.032676,0.015378,0.244114,-0.017081,1.501428,
2012-04-11,33.590000,33.990002,33.279999,33.590000,26.348352,30680500,0.022215,0.017681,0.280678,0.007449,1.657070,
2012-04-12,33.799999,34.869999,33.610001,34.630001,27.164145,36908700,0.030962,0.019895,0.315824,0.013779,1.760150,
2012-04-13,34.619999,34.660000,33.160000,33.410000,26.207165,41220900,-0.035230,0.021241,0.337185,-0.012475,1.811031,
2012-04-16,34.169998,34.700001,33.759998,34.000000,26.669973,59668700,0.017660,0.021918,0.347935,-0.000504,2.075838,
2012-04-17,34.820000,35.410000,34.430000,35.080002,27.517130,52307900,0.031764,0.023907,0.379517,0.015487,2.044570,
2012-04-18,34.889999,35.990002,34.889999,35.080002,27.517130,41510700,0.000000,0.023731,0.376712,-0.004055,2.078780,
2012-04-19,35.439999,35.500000,34.459999,34.849998,27.336710,40303900,-0.006557,0.023533,0.373569,-0.005934,2.049311,
2012-04-20,34.959999,35.029999,33.799999,33.889999,26.583687,37359200,-0.027546,0.024374,0.386918,0.001169,2.017006,
2012-04-23,32.840000,33.310001,32.459999,33.250000,26.081661,39887900,-0.018885,0.024284,0.385491,-0.008408,2.055578,
2012-04-24,33.369999,33.910000,33.000000,33.419998,26.215010,30282900,0.005113,0.024413,0.387541,0.003680,2.043049,
2012-04-25,34.040001,34.080002,33.209999,33.680000,26.418964,32379600,0.007780,0.022939,0.364138,0.013645,1.759491,
2012-04-26,33.419998,34.139999,33.349998,33.880001,26.575832,28828900,0.005938,0.023005,0.365190,0.006680,1.736862,
2012-04-27,34.040001,34.090000,33.389999,33.500000,26.277756,28829900,-0.011216,0.022326,0.354414,0.002414,1.720479,
2012-04-30,33.349998,33.410000,32.730000,33.040001,25.916933,26263300,-0.013731,0.020762,0.329591,-0.003884,1.775044,
2012-05-01,32.919998,33.910000,32.750000,33.599998,26.356207,35450300,0.016949,0.020385,0.323596,0.005658,1.748588,
2012-05-02,33.290001,33.330002,32.660000,32.700001,25.650242,32805100,-0.026786,0.019508,0.309681,-0.002497,1.692849,
2012-05-03,32.779999,32.910000,32.209999,32.480000,25.485456,31713200,-0.006424,0.017350,0.275429,-0.007659,1.416981,
2012-05-04,32.340000,32.549999,31.570000,31.600000,24.794970,34461400,-0.027093,0.017600,0.279386,-0.016147,1.410587,
2012-05-07,31.139999,31.980000,31.059999,31.670000,24.849892,36302400,0.002215,0.014309,0.227156,0.000351,1.142851,
2012-05-08,31.080000,31.610001,31.000000,31.320000,24.575262,27727300,-0.011052,0.014188,0.225234,-0.004279,1.183410,
2012-05-09,30.879999,31.000000,30.200001,30.450001,23.892620,47974900,-0.027778,0.015130,0.240189,-0.006702,1.317345,
2012-05-10,31.100000,31.450001,30.459999,30.650000,24.049540,36923000,0.006568,0.014737,0.233935,0.002517,1.424000,
2012-05-11,29.360001,29.969999,29.120001,29.350000,23.029499,59709500,-0.042414,0.017310,0.274783,-0.003387,1.532505,
2012-05-14,28.889999,29.170000,28.059999,28.139999,22.080069,51814200,-0.041227,0.018827,0.298875,-0.011113,1.661982,
2012-05-15,28.379999,28.600000,27.650000,27.790001,21.805445,60977400,-0.012438,0.017947,0.284894,-0.005746,1.860883,
2012-05-16,28.100000,28.440001,26.910000,26.920000,21.122801,54396100,-0.031306,0.017607,0.279497,-0.004404,1.883177,
2012-05-17,26.969999,27.400000,26.330000,26.410000,20.722628,68419000,-0.018945,0.017562,0.278789,-0.015051,1.623260,
2012-05-18,26.469999,26.549999,25.830000,26.010000,20.408762,60358300,-0.015146,0.017548,0.278563,-0.007388,1.600781,
2012-05-21,26.200001,26.740000,25.750000,26.250000,20.597080,47884900,0.009227,0.016496,0.261867,0.016036,1.169264,
2012-05-22,26.650000,27.700001,26.520000,26.920000,21.122801,50788200,0.025524,0.019785,0.314083,0.000486,1.395734,
2012-05-23,26.530001,27.170000,26.080000,27.150000,21.303272,48579300,0.008544,0.020591,0.326865,0.001694,1.522388,
2012-05-24,27.260000,27.430000,26.309999,26.660000,20.918791,40744800,-0.018048,0.020237,0.321254,0.001380,1.551578,
2012-05-25,26.370001,26.930000,26.350000,26.469999,20.769705,25276300,-0.007127,0.019888,0.315707,-0.002166,1.516934,
2012-05-29,26.840000,27.070000,26.670000,27.020000,21.201260,27076800,0.020778,0.021799,0.346048,0.011079,1.674046,
2012-05-30,26.530001,26.610001,25.980000,26.000000,20.400921,33578900,-0.037750,0.022564,0.358200,-0.014335,1.690415,
2012-05-31,26.200001,26.780001,25.860001,26.510000,20.801088,37222100,0.019615,0.023591,0.374498,-0.002277,1.654355,
2012-06-01,25.860001,26.080000,25.250000,25.389999,19.922283,41527800,-0.042248,0.023574,0.374221,-0.024643,1.570918,
2012-06-04,25.459999,25.530001,24.610001,24.820000,19.475029,38793800,-0.022450,0.022154,0.351687,0.000110,1.426954,
2012-06-05,24.750000,25.879999,24.740000,25.750000,20.204762,36086100,0.037470,0.025298,0.401599,0.005727,1.594987,
2012-06-06,26.309999,27.150000,26.010000,27.139999,21.295420,47077900,0.053980,0.028568,0.453506,0.023049,1.717966,
2012-06-07,27.770000,27.950001,26.680000,26.910000,21.114950,44148600,-0.008475,0.028141,0.446723,-0.000106,1.778492,
2012-06-08,26.639999,27.790001,26.360001,27.770000,21.789753,36994900,0.031959,0.028780,0.456864,0.008114,1.823841,
