Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,116.220001,117.910004,115.930000,116.629997,93.960022,5320400,,,,,,
2012-02-22,116.220001,117.139999,114.290001,114.360001,92.131264,4508500,-0.019463,,,-0.003340,,1.205510
2012-02-23,114.620003,115.820000,113.220001,115.800003,93.291382,5609600,0.012592,,,0.004272,,
2012-02-24,116.320000,116.970001,115.110001,115.870003,93.347778,4877500,0.000605,,,0.001672,,
2012-02-27,114.519997,116.650002,113.940002,116.230003,93.637772,4370200,0.003107,,,0.001355,,
2012-02-28,116.000000,118.660004,115.250000,117.110001,94.631714,6448200,0.010615,,,0.003356,,
2012-02-29,116.510002,118.129997,115.139999,115.139999,93.039795,6650700,-0.016822,,,-0.004737,,
2012-03-01,115.970001,121.239998,115.839996,121.129997,97.880074,10485800,0.052024,,,0.006158,,
2012-03-02,121.410004,122.180000,119.860001,119.959999,96.934654,7044100,-0.009659,,,-0.003246,,
2012-03-05,119.599998,119.949997,117.510002,118.629997,95.859940,5612700,-0.011087,,,-0.003870,,
2012-03-06,116.120003,116.239998,113.110001,113.669998,91.851959,8161100,-0.041811,,,-0.015370,,
2012-03-07,114.660004,116.730003,114.290001,116.400002,94.057968,5595000,0.024017,,,0.006901,,
2012-03-08,117.730003,118.680000,116.080002,117.169998,94.680161,4784100,0.006615,,,0.009818,,
2012-03-09,117.620003,118.489998,116.239998,117.290001,94.777145,5000600,0.001024,,,0.003631,,
2012-03-12,117.699997,117.870003,116.279999,116.989998,94.534714,4060000,-0.002558,0.021902,0.347683,0.000160,2.682460,
2012-03-13,118.400002,124.849998,118.400002,124.540001,100.635567,11884700,0.064536,0.026901,0.427043,0.018132,2.870669,
2012-03-14,124.519997,124.870003,119.820000,120.370003,97.265976,14837200,-0.033483,0.028866,0.458232,-0.001196,2.974305,
2012-03-15,121.730003,123.550003,120.120003,123.059998,99.439636,7245600,0.022348,0.029288,0.464929,0.005967,2.997031,
2012-03-16,123.099998,123.500000,121.059998,122.930000,99.334587,7425700,-0.001056,0.029329,0.465578,0.001119,3.000138,
2012-03-19,122.930000,126.000000,122.199997,124.300003,100.441620,8020700,0.011144,0.029337,0.465716,0.003974,2.997695,
