Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,57.790001,57.939999,57.209999,57.520000,51.644428,2203800,,,,,,
2012-02-22,59.080002,62.330002,58.380001,60.919998,54.697121,6631300,0.059110,,,-0.003340,,1.282663
2012-02-23,59.080002,60.000000,58.529999,58.680000,52.685940,6261100,-0.036769,,,0.004272,,
2012-02-24,58.730000,59.169998,58.029999,58.060001,52.129272,2519000,-0.010566,,,0.001672,,
2012-02-27,57.709999,58.279999,57.549999,57.889999,51.976639,1783400,-0.002928,,,0.001355,,
2012-02-28,57.990002,58.220001,57.459999,57.779999,51.877872,1621400,-0.001900,,,0.003356,,
2012-02-29,57.790001,58.009998,57.459999,57.840000,51.931728,2588900,0.001038,,,-0.004737,,
2012-03-01,58.230000,58.349998,57.720001,57.939999,52.021523,2281200,0.001729,,,0.006158,,
2012-03-02,57.889999,57.930000,57.180000,57.270000,51.419956,1426600,-0.011564,,,-0.003246,,
2012-03-05,57.130001,57.410000,56.439999,56.869999,51.060814,1441600,-0.006984,,,-0.003870,,
2012-03-06,56.509998,57.070000,55.939999,56.080002,50.351513,1661000,-0.013891,,,-0.015370,,
2012-03-07,56.439999,57.500000,56.259998,57.130001,51.294273,2840500,0.018724,,,0.006901,,
2012-03-08,57.369999,57.529999,57.070000,57.220001,51.375088,1678300,0.001576,,,0.009818,,
2012-03-09,57.619999,58.169998,57.150002,58.169998,52.228020,1604300,0.016602,,,0.003631,,
2012-03-12,58.299999,58.750000,58.160000,58.619999,52.632050,1065700,0.007736,0.021490,0.341140,0.000160,0.172600,
2012-03-13,58.779999,59.820000,58.490002,59.810001,53.700497,1486400,0.020300,0.015027,0.238547,0.018132,0.836052,
2012-03-14,59.630001,59.869999,59.439999,59.689999,53.592758,1555400,-0.002006,0.011043,0.175296,-0.001196,0.946248,
2012-03-15,59.669998,60.209999,59.169998,60.180000,54.032700,1569000,0.008209,0.010626,0.168683,0.005967,0.954338,
2012-03-16,60.049999,60.560001,59.900002,60.139999,53.996796,2709700,-0.000664,0.010552,0.167510,0.001119,0.953384,
2012-03-19,59.820000,60.759998,59.820000,60.330002,54.167389,1109600,0.003159,0.010466,0.166140,0.003974,0.959248,
2012-03-20,59.880001,60.119999,59.650002,60.040001,53.907013,929000,-0.004807,0.010671,0.169392,-0.003001,1.014874,
2012-03-21,60.040001,60.279999,59.770000,60.119999,53.978828,1125100,0.001332,0.010674,0.169446,-0.001871,1.033148,
2012-03-22,58.570000,59.070000,57.660000,57.730000,51.832966,4433800,-0.039754,0.015249,0.242073,-0.007207,1.295837,
2012-03-23,57.860001,58.029999,56.970001,57.709999,51.815022,2836900,-0.000346,0.015095,0.239624,0.003109,1.286497,
2012-03-26,58.259998,58.869999,57.990002,58.730000,52.730812,1944400,0.017674,0.015032,0.238624,0.013886,1.536610,
2012-03-27,58.950001,59.650002,58.500000,59.480000,53.404221,2587000,0.012771,0.014645,0.232476,-0.002817,1.302056,
2012-03-28,59.209999,59.540001,58.910000,59.509998,53.431149,2208400,0.000504,0.014655,0.232646,-0.004942,1.333940,
2012-03-29,59.299999,59.939999,58.910000,59.830002,53.718468,2255900,0.005377,0.014147,0.224572,-0.001608,1.265134,
2012-03-30,60.150002,60.410000,59.709999,60.160000,54.014748,2475000,0.005515,0.014091,0.223689,0.003698,1.286676,
2012-04-02,60.070000,60.919998,59.730000,60.619999,54.427769,1809200,0.007646,0.013201,0.209560,0.007505,1.415592,
2012-04-03,60.389999,60.410000,59.799999,60.330002,54.167389,1570500,-0.004784,0.013271,0.210672,-0.003989,1.396026,
2012-04-04,59.810001,59.980000,59.060001,59.380001,53.314423,986200,-0.015747,0.013783,0.218800,-0.010203,1.393156,
2012-04-05,58.990002,59.860001,58.880001,59.770000,53.800499,1410800,0.009117,0.014040,0.222873,-0.000629,1.391044,
2012-04-09,58.900002,59.310001,58.599998,59.110001,53.206409,1410400,-0.011042,0.014292,0.226872,-0.011358,1.327898,
2012-04-10,58.840000,59.220001,58.369999,58.590000,52.738354,2174600,-0.008797,0.014409,0.228732,-0.017081,1.081542,
2012-04-11,58.939999,60.060001,58.650002,60.029999,54.034519,2575100,0.024577,0.016007,0.254099,0.007449,1.217752,
2012-04-12,60.119999,60.660000,59.970001,60.599998,54.547585,1586100,0.009495,0.011260,0.178748,0.013779,0.892274,
2012-04-13,60.160000,60.849998,59.770000,60.340000,54.313560,2292400,-0.004290,0.011418,0.181249,-0.012475,0.884938,
2012-04-16,60.570000,60.610001,59.840000,60.310001,54.286583,2169800,-0.000497,0.010683,0.169587,-0.000504,0.880663,
2012-04-17,60.740002,61.700001,60.599998,61.540001,55.393715,2098300,0.020394,0.011435,0.181522,0.015487,0.911069,
2012-04-18,61.500000,61.820000,61.040001,61.430000,55.294701,1559400,-0.001787,0.011485,0.182312,-0.004055,0.919275,
2012-04-19,61.299999,61.779999,60.410000,60.900002,54.817657,2065300,-0.008627,0.011821,0.187650,-0.005934,0.941019,
2012-04-20,57.889999,58.990002,55.959999,57.250000,51.532188,13193100,-0.059935,0.020135,0.319629,0.001169,0.819907,
2012-04-23,56.709999,56.880001,56.099998,56.750000,51.082111,4490600,-0.008734,0.019933,0.316430,-0.008408,0.795214,
2012-04-24,56.689999,56.759998,56.080002,56.290001,50.668068,3182400,-0.008105,0.019959,0.316835,0.003680,0.756794,
2012-04-25,56.919998,57.770000,56.669998,57.400002,51.667198,2775000,0.019719,0.020669,0.328112,0.013645,0.834705,
2012-04-26,57.299999,57.810001,57.160000,57.599998,51.847229,1790300,0.003484,0.020489,0.325258,0.006680,0.836970,
2012-04-27,57.660000,58.220001,57.650002,57.980000,52.189266,1749200,0.006597,0.020462,0.324823,0.002414,0.859341,
2012-04-30,57.919998,58.180000,57.549999,57.970001,52.180271,2084300,-0.000172,0.020344,0.322958,-0.003884,0.996529,
2012-05-01,58.119999,58.869999,57.799999,58.250000,52.432301,1597000,0.004830,0.019115,0.303437,0.005658,0.898318,
2012-05-02,57.830002,58.709999,57.240002,58.639999,52.783356,1756500,0.006695,0.019000,0.301613,-0.002497,0.849486,
