Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,38.650002,38.970001,38.410000,38.459999,27.506886,22804200,,,,,,
2012-02-22,38.299999,38.389999,37.900002,38.070000,27.227968,23416900,-0.010140,,,-0.003340,,1.138978
2012-02-23,38.060001,38.520000,37.750000,38.490002,27.528349,31361400,0.011032,,,0.004272,,
2012-02-24,38.660000,38.680000,38.189999,38.279999,27.378159,17586400,-0.005456,,,0.001672,,
2012-02-27,38.070000,39.230000,37.790001,39.060001,27.936022,34030400,0.020376,,,0.001355,,
2012-02-28,39.130001,39.549999,38.849998,39.209999,28.043283,37900900,0.003840,,,0.003356,,
2012-02-29,39.330002,39.939999,39.020000,39.240002,28.064754,41187700,0.000766,,,-0.004737,,
2012-03-01,39.509998,40.450001,39.470001,40.369999,28.872932,44376700,0.028797,,,0.006158,,
2012-03-02,40.430000,40.880001,40.230000,40.630001,29.058891,34897900,0.006441,,,-0.003246,,
2012-03-05,40.700001,40.709999,40.000000,40.400002,28.894400,30806900,-0.005661,,,-0.003870,,
2012-03-06,39.450001,39.869999,39.119999,39.320000,28.121973,33927500,-0.026733,,,-0.015370,,
2012-03-07,39.459999,40.060001,39.380001,39.950001,28.572544,22875100,0.016022,,,0.006901,,
2012-03-08,40.470001,40.750000,40.220001,40.439999,28.922981,22052300,0.012265,,,0.009818,,
2012-03-09,40.750000,41.439999,40.500000,41.029999,29.344971,33494200,0.014590,,,0.003631,,
2012-03-12,40.860001,40.980000,40.200001,40.540001,28.994516,30763800,-0.011943,0.014820,0.235255,0.000160,1.698805,
2012-03-13,41.020000,43.730000,40.820000,43.389999,31.032873,77277600,0.070301,0.022548,0.357943,0.018132,2.304921,
2012-03-14,43.619999,44.000000,43.070000,43.580002,31.168766,68028700,0.004379,0.022586,0.358545,-0.001196,2.308863,
2012-03-15,43.639999,44.919998,42.930000,44.700001,31.969793,57117700,0.025700,0.022572,0.358322,0.005967,2.331236,
2012-03-16,44.869999,44.919998,44.220001,44.570000,31.876806,48844500,-0.002909,0.022715,0.360585,0.001119,2.349221,
2012-03-19,44.439999,45.349998,44.209999,45.000000,32.184357,41509300,0.009648,0.022652,0.359595,0.003974,2.352291,
2012-03-20,44.529999,45.599998,44.369999,45.380001,32.456127,34796200,0.008444,0.022501,0.357191,-0.003001,2.348207,
2012-03-21,45.529999,45.669998,44.860001,45.119999,32.270168,27267900,-0.005730,0.022252,0.353235,-0.001871,2.330700,
2012-03-22,44.720001,45.099998,44.410000,44.650002,31.934019,27457200,-0.010417,0.022804,0.361996,-0.007207,2.350743,
2012-03-23,44.450001,45.250000,44.439999,45.160000,32.298779,30639300,0.011422,0.022530,0.357646,0.003109,2.351795,
2012-03-26,45.480000,46.169998,45.400002,46.169998,33.021152,33529400,0.022365,0.020390,0.323689,0.013886,2.340292,
2012-03-27,45.919998,46.490002,45.830002,45.889999,32.820889,33026400,-0.006065,0.020881,0.331474,-0.002817,2.369008,
2012-03-28,45.759998,46.310001,45.360001,46.270000,33.092659,29755800,0.008280,0.020877,0.331412,-0.004942,2.346902,
2012-03-29,45.919998,46.020000,45.270000,45.669998,32.663548,32262300,-0.012967,0.021681,0.344167,-0.001608,2.409120,
2012-03-30,46.080002,46.130001,45.500000,45.980000,32.885246,25945800,0.006787,0.020927,0.332207,0.003698,2.352470,
2012-04-02,45.750000,46.349998,45.459999,46.130001,32.992535,27669300,0.003263,0.011362,0.180373,0.007505,1.285770,
2012-04-03,45.740002,45.990002,44.970001,45.419998,32.697372,31036400,-0.008946,0.011913,0.189112,-0.003989,1.368506,
