Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,39.544998,40.078999,39.401001,39.955002,37.300690,11588000,,,,,,
2012-02-22,39.798000,40.854000,39.798000,40.682999,37.980316,10087000,0.018220,,,-0.003340,,1.193469
2012-02-23,40.679001,40.777000,40.423000,40.610001,37.912167,8216000,-0.001794,,,0.004272,,
2012-02-24,40.832001,41.875999,40.618999,41.561001,38.799992,12869000,0.023418,,,0.001672,,
2012-02-27,41.233002,42.208000,41.097000,42.139999,39.340527,8754000,0.013931,,,0.001355,,
2012-02-28,42.146999,42.599998,42.000999,42.396999,39.580448,9691000,0.006099,,,0.003356,,
2012-02-29,42.412998,42.856998,41.761002,42.000000,39.209805,10991000,-0.009364,,,-0.004737,,
2012-03-01,42.249001,42.327999,41.700001,42.042999,39.249969,8726000,0.001024,,,0.006158,,
2012-03-02,41.650002,41.946999,41.268002,41.278000,38.535793,9652000,-0.018196,,,-0.003246,,
2012-03-05,41.452000,41.930000,41.213001,41.762001,38.987633,8318000,0.011725,,,-0.003870,,
2012-03-06,41.097000,41.213001,40.627998,40.834000,38.121288,9358000,-0.022221,,,-0.015370,,
2012-03-07,41.131001,41.499001,41.064999,41.174000,38.438702,8394000,0.008326,,,0.006901,,
2012-03-08,41.445999,41.893002,41.355000,41.726002,38.954025,7095000,0.013406,,,0.009818,,
2012-03-09,41.817001,42.106998,41.550999,41.952000,39.165020,7354000,0.005417,,,0.003631,,
2012-03-12,41.806999,42.362999,41.752998,41.986000,39.196754,6463000,0.000810,0.013187,0.209336,0.000160,1.068992,
2012-03-13,42.200001,42.334000,41.680000,42.321999,39.510426,7528000,0.008002,0.012586,0.199802,0.018132,0.885455,
2012-03-14,42.242001,42.612999,41.866001,42.141998,39.342384,6175000,-0.004253,0.012674,0.201189,-0.001196,0.920370,
2012-03-15,42.141998,42.299000,41.799999,41.955002,39.167831,5888000,-0.004437,0.011285,0.179149,0.005967,0.873295,
2012-03-16,41.868999,42.137001,41.807999,42.016998,39.225685,7608000,0.001477,0.010637,0.168861,0.001119,0.880787,
2012-03-19,41.977001,42.810001,41.922001,42.508999,39.685009,8011000,0.011710,0.010991,0.174475,0.003974,0.895882,
2012-03-20,42.318001,42.391998,41.764000,41.897999,39.114609,5960000,-0.014373,0.011402,0.180995,-0.003001,0.929496,
2012-03-21,42.005001,42.297001,41.789001,41.793999,39.017517,5995000,-0.002482,0.011413,0.181179,-0.001871,0.939336,
2012-03-22,41.744999,42.132999,41.500999,41.683998,38.914818,6306000,-0.002632,0.010240,0.162560,-0.007207,0.813064,
2012-03-23,41.622002,42.636002,41.622002,42.401001,39.584202,6644000,0.017201,0.010782,0.171161,0.003109,0.935785,
2012-03-26,42.729000,43.756001,42.500999,43.568001,40.673660,10460000,0.027523,0.010688,0.169662,0.013886,0.973731,
2012-03-27,43.550999,43.590000,43.066002,43.066002,40.205006,7299000,-0.011522,0.011457,0.181879,-0.002817,1.052447,
2012-03-28,43.380001,43.473999,42.480999,42.751999,39.911869,6837000,-0.007291,0.011385,0.180724,-0.004942,1.038273,
2012-03-29,42.462002,42.832001,42.158001,42.821999,39.977222,5092000,0.001637,0.011337,0.179966,-0.001608,1.014261,
2012-03-30,42.862999,42.870998,42.000000,42.054001,39.260235,10180000,-0.017935,0.012477,0.198074,0.003698,0.962145,
2012-04-02,42.183998,43.433998,41.900002,43.205002,40.334782,8944000,0.027370,0.014345,0.227713,0.007505,1.618447,
2012-04-03,43.171001,44.060001,42.903999,43.801998,40.892105,11526000,0.013817,0.014591,0.231626,-0.003989,1.380248,
2012-04-04,43.438999,43.650002,42.612999,43.094002,40.258717,9824000,-0.015489,0.015298,0.242851,-0.010203,1.576379,
2012-04-05,43.048000,44.220001,42.868999,43.985001,41.091106,8506000,0.020676,0.016081,0.255281,-0.000629,1.571615,
2012-04-09,43.293999,44.287998,43.215000,43.929001,41.038784,8574000,-0.001273,0.015942,0.253064,-0.011358,1.344590,
2012-04-10,43.929001,44.095001,42.418999,42.473000,39.678589,12612000,-0.033144,0.018113,0.287532,-0.017081,1.548771,
2012-04-11,42.957001,43.242001,42.722000,43.004002,40.174644,5751000,0.012502,0.018322,0.290846,0.007449,1.500675,
2012-04-12,43.050999,43.422001,42.970001,43.397999,40.542709,5312000,0.009162,0.018351,0.291316,0.013779,1.308373,
2012-04-13,43.362999,44.380001,43.098999,44.046001,41.148090,10572000,0.014932,0.018227,0.289338,-0.012475,1.028703,
2012-04-16,44.087002,44.146999,42.901001,43.265999,40.419422,7687000,-0.017708,0.017527,0.278225,-0.000504,0.869742,
2012-04-17,43.481998,43.924000,43.448002,43.842999,40.958427,5232000,0.013335,0.017562,0.278784,0.015487,0.818286,
2012-04-18,43.730999,44.097000,43.597000,43.669998,40.796829,5208000,-0.003945,0.017456,0.277102,-0.004055,0.808998,
2012-04-19,43.717999,44.078999,43.234001,43.681999,40.808037,6880000,0.000275,0.017460,0.277169,-0.005934,0.799483,
2012-04-20,44.000999,44.328999,43.748001,44.043999,41.146206,9070000,0.008287,0.016586,0.263301,0.001169,0.899522,
2012-04-23,43.601002,43.743000,42.075001,43.026001,40.195198,12354000,-0.023113,0.016482,0.261638,-0.008408,0.869852,
2012-04-24,43.023998,43.587002,42.667999,43.029999,40.198921,6525000,0.000093,0.015990,0.253829,0.003680,0.867095,
2012-04-25,43.467999,44.506001,43.174000,44.506001,41.577808,9781000,0.034302,0.017959,0.285095,0.013645,1.017177,
2012-04-26,44.449001,45.648998,44.449001,45.397999,42.411133,10407000,0.020043,0.017911,0.284322,0.006680,1.068349,
2012-04-27,45.811001,46.234001,45.550999,45.757999,42.747456,11799000,0.007930,0.017934,0.284692,0.002414,1.157020,
2012-04-30,45.939999,46.030998,45.133999,45.227001,42.251392,9794000,-0.011605,0.015322,0.243231,-0.003884,0.957135,
