Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,5.090000,5.110000,5.060000,5.080000,5.080000,731600,,,,,,
2012-02-22,5.080000,5.110000,5.060000,5.070000,5.070000,750700,-0.001969,,,-0.003340,,0.820472
2012-02-23,5.050000,5.090000,5.040000,5.080000,5.080000,554200,0.001972,,,0.004272,,
2012-02-24,5.120000,5.180000,5.120000,5.170000,5.170000,1066000,0.017717,,,0.001672,,
2012-02-27,5.100000,5.150000,5.080000,5.140000,5.140000,1099200,-0.005803,,,0.001355,,
2012-02-28,5.190000,5.250000,5.190000,5.250000,5.250000,1781900,0.021401,,,0.003356,,
2012-02-29,5.230000,5.240000,5.110000,5.110000,5.110000,1475400,-0.026667,,,-0.004737,,
2012-03-01,5.120000,5.250000,5.090000,5.160000,5.160000,4157000,0.009785,,,0.006158,,
2012-03-02,5.070000,5.100000,5.050000,5.060000,5.060000,1189100,-0.019380,,,-0.003246,,
2012-03-05,5.040000,5.080000,5.000000,5.030000,5.030000,717400,-0.005929,,,-0.003870,,
2012-03-06,4.950000,4.990000,4.900000,4.940000,4.940000,1801300,-0.017893,,,-0.015370,,
2012-03-07,5.020000,5.020000,4.950000,4.990000,4.990000,1172000,0.010121,,,0.006901,,
2012-03-08,5.100000,5.120000,5.060000,5.110000,5.110000,1205900,0.024048,,,0.009818,,
2012-03-09,5.130000,5.180000,5.120000,5.150000,5.150000,1825200,0.007828,,,0.003631,,
2012-03-12,5.120000,5.120000,5.040000,5.080000,5.080000,742700,-0.013592,0.015879,0.252064,0.000160,1.758631,
2012-03-13,5.120000,5.210000,5.110000,5.200000,5.200000,3942300,0.023622,0.017050,0.270657,0.018132,1.602231,
2012-03-14,5.200000,5.230000,5.140000,5.170000,5.170000,1958400,-0.005769,0.017174,0.272627,-0.001196,1.621489,
2012-03-15,5.170000,5.180000,5.130000,5.140000,5.140000,2246200,-0.005803,0.016595,0.263433,0.005967,1.557693,
2012-03-16,5.220000,5.240000,5.210000,5.220000,5.220000,1867500,0.015564,0.017025,0.270271,0.001119,1.538955,
2012-03-19,5.280000,5.360000,5.260000,5.320000,5.320000,1719400,0.019157,0.016830,0.267176,0.003974,1.544013,
2012-03-20,5.260000,5.290000,5.240000,5.260000,5.260000,1854300,-0.011278,0.015313,0.243089,-0.003001,1.435111,
2012-03-21,5.170000,5.180000,5.130000,5.150000,5.150000,2091100,-0.020913,0.016306,0.258845,-0.001871,1.496015,
2012-03-22,5.110000,5.150000,5.110000,5.150000,5.150000,1440600,0.000000,0.015329,0.243335,-0.007207,1.305836,
2012-03-23,5.100000,5.110000,5.060000,5.110000,5.110000,503300,-0.007767,0.015404,0.244525,0.003109,1.286300,
2012-03-26,5.140000,5.150000,5.070000,5.140000,5.140000,2308700,0.005871,0.014411,0.228763,0.013886,1.231441,
2012-03-27,5.220000,5.220000,5.140000,5.150000,5.150000,1315100,0.001946,0.014262,0.226402,-0.002817,1.145984,
2012-03-28,5.160000,5.180000,5.100000,5.130000,5.130000,2540900,-0.003883,0.012880,0.204464,-0.004942,0.955786,
2012-03-29,5.060000,5.060000,5.000000,5.050000,5.050000,807200,-0.015595,0.013348,0.211886,-0.001608,0.997284,
2012-03-30,5.030000,5.030000,4.980000,4.980000,4.980000,1182700,-0.013861,0.013367,0.212191,0.003698,0.932925,
2012-04-02,5.110000,5.160000,5.070000,5.160000,5.160000,933800,0.036145,0.015426,0.244878,0.007505,1.056731,
2012-04-03,5.070000,5.080000,4.970000,5.020000,5.020000,1603500,-0.027132,0.016972,0.269429,-0.003989,1.269508,
2012-04-04,4.890000,4.910000,4.840000,4.890000,4.890000,1182300,-0.025896,0.018132,0.287831,-0.010203,1.546849,
2012-04-05,4.870000,4.880000,4.840000,4.860000,4.860000,830200,-0.006135,0.017294,0.274529,-0.000629,1.504557,
2012-04-09,4.770000,4.780000,4.760000,4.760000,4.760000,545800,-0.020576,0.016262,0.258154,-0.011358,1.324575,
2012-04-10,4.800000,4.810000,4.690000,4.700000,4.700000,2651600,-0.012605,0.016288,0.258563,-0.017081,1.032865,
2012-04-11,4.770000,4.850000,4.770000,4.830000,4.830000,3489800,0.027660,0.018343,0.291188,0.007449,1.260147,
2012-04-12,4.750000,4.830000,4.730000,4.830000,4.830000,1845100,0.000000,0.018343,0.291188,0.013779,1.132566,
2012-04-13,4.910000,4.920000,4.790000,4.850000,4.850000,1625200,0.004141,0.018452,0.292910,-0.012475,0.957867,
2012-04-16,4.830000,4.840000,4.770000,4.780000,4.780000,691400,-0.014433,0.018451,0.292897,-0.000504,1.034609,
2012-04-17,4.790000,4.860000,4.790000,4.820000,4.820000,1566900,0.008368,0.018715,0.297093,0.015487,0.965030,
2012-04-18,4.800000,4.870000,4.790000,4.850000,4.850000,1432200,0.006224,0.018937,0.300611,-0.004055,0.947381,
2012-04-19,4.890000,4.900000,4.840000,4.850000,4.850000,2137100,0.000000,0.018648,0.296032,-0.005934,0.915185,
2012-04-20,4.850000,4.870000,4.840000,4.840000,4.840000,1114600,-0.002062,0.018371,0.291625,0.001169,0.973105,
2012-04-23,4.720000,4.750000,4.690000,4.750000,4.750000,1357700,-0.018595,0.015208,0.241426,-0.008408,0.792705,
2012-04-24,4.720000,4.740000,4.700000,4.720000,4.720000,929600,-0.006316,0.013925,0.221047,0.003680,0.738477,
2012-04-25,4.780000,4.780000,4.710000,4.750000,4.750000,1012400,0.006356,0.012690,0.201455,0.013645,0.621301,
2012-04-26,4.750000,4.810000,4.730000,4.810000,4.810000,474600,0.012632,0.013201,0.209556,0.006680,0.661345,
2012-04-27,4.810000,4.810000,4.760000,4.790000,4.790000,299100,-0.004158,0.011967,0.189966,0.002414,0.551122,
2012-04-30,4.770000,4.790000,4.740000,4.760000,4.760000,925700,-0.006263,0.011544,0.183263,-0.003884,0.530430,
2012-05-01,4.620000,4.720000,4.620000,4.690000,4.690000,1707600,-0.014706,0.009355,0.148498,0.005658,0.339807,
2012-05-02,4.600000,4.660000,4.600000,4.650000,4.650000,1746700,-0.008529,0.009487,0.150601,-0.002497,0.391598,
2012-05-03,4.610000,4.650000,4.580000,4.600000,4.600000,1515700,-0.010753,0.009500,0.150806,-0.007659,0.664905,
