Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß,10-yr yield,VIX Close,VIX % change
2012-02-21,12.870000,12.920000,12.780000,12.830000,11.094954,8987400,,,,,,,2.05,18.190001,0
2012-02-22,12.840000,12.850000,12.720000,12.770000,11.043066,8041400,-0.004677,,,-0.003340,,1.233606,2.01,18.190001,0
2012-02-23,12.740000,13.260000,12.680000,13.210000,11.423564,16033600,0.034456,,,0.004272,,,1.99,16.799999,-0.0764157187237098
2012-02-24,13.230000,13.550000,13.170000,13.520000,11.691642,26103100,0.023467,,,0.001672,,,1.98,17.309999,0.0303571446641158
2012-02-27,13.500000,13.520000,13.150000,13.480000,11.657049,16369800,-0.002959,,,0.001355,,,1.92,18.190001,0.0508377845660188
2012-02-28,13.500000,13.790000,13.370000,13.740000,11.881889,20249300,0.019288,,,0.003356,,,1.94,17.959999,-0.0126444193158648
2012-02-29,13.830000,14.070000,13.750000,13.880000,12.002956,23655900,0.010189,,,-0.004737,,,1.98,18.43,0.0261693221697841
2012-03-01,13.960000,14.000000,13.830000,13.910000,12.028900,12307300,0.002161,,,0.006158,,,2.03,17.26,-0.0634834508952794
2012-03-02,13.910000,13.940000,13.770000,13.820000,11.951071,6070500,-0.006470,,,-0.003246,,,1.99,17.290001,0.00173818076477404
2012-03-05,13.790000,13.850000,13.630000,13.830000,11.959718,7800000,0.000724,,,-0.003870,,,2,18.049999,0.0439559257399696
2012-03-06,13.710000,13.710000,13.480000,13.570000,11.734878,16094300,-0.018800,,,-0.015370,,,1.96,20.870001,0.156232806439491
2012-03-07,13.580000,14.020000,13.580000,13.800000,11.933774,10249500,0.016949,,,0.006901,,,1.98,19.07,-0.0862482469454601
2012-03-08,14.000000,14.150000,13.670000,13.920000,12.037548,8134300,0.008696,,,0.009818,,,2.03,17.950001,-0.0587309386470897
2012-03-09,13.940000,14.140000,13.830000,14.130000,12.219146,8766700,0.015086,,,0.003631,,,2.04,17.110001,-0.0467966547745596
2012-03-12,14.150000,14.240000,14.050000,14.100000,12.193207,7490200,-0.002123,0.014092,0.223711,0.000160,1.327575,,2.04,15.64,-0.0859147232077894
2012-03-13,14.160000,14.580000,14.110000,14.570000,12.599642,11718400,0.033333,0.015309,0.243016,0.018132,1.312846,,2.14,14.8,-0.0537084398976982
2012-03-14,14.580000,14.690000,14.280000,14.640000,12.660176,11276000,0.004804,0.013551,0.215118,-0.001196,1.245982,,2.29,15.31,0.0344594594594595
2012-03-15,14.670000,15.400000,14.630000,15.300000,13.230923,23167800,0.045082,0.016440,0.260969,0.005967,1.398601,,2.29,15.42,0.00718484650555193
2012-03-16,15.370000,15.470000,15.120000,15.320000,13.248216,16027300,0.001307,0.016239,0.257789,0.001119,1.397373,,2.31,14.47,-0.0616083009079118
2012-03-19,15.500000,15.530000,15.240000,15.310000,13.239574,15155800,-0.000652,0.016170,0.256695,0.003974,1.354645,,2.39,15.04,0.0393918451969592
2012-03-20,15.240000,15.480000,15.120000,15.380000,13.300106,18438800,0.004572,0.016178,0.256820,-0.003001,1.428198,,2.38,15.58,0.0359042553191489
2012-03-21,15.420000,15.460000,15.260000,15.260000,13.196335,15149100,-0.007802,0.016642,0.264190,-0.001871,1.528982,,2.31,15.13,-0.0288831835686778
2012-03-22,15.230000,15.230000,14.690000,14.880000,12.867723,18577100,-0.024902,0.018406,0.292180,-0.007207,1.664551,,2.29,15.57,0.0290812954395241
2012-03-23,14.940000,15.060000,14.760000,15.020000,12.988790,13041600,0.009409,0.018380,0.291781,0.003109,1.693846,,2.25,14.82,-0.0481695568400771
2012-03-26,15.200000,15.240000,15.050000,15.230000,13.170388,10954700,0.013981,0.017005,0.269951,0.013886,1.659228,,2.26,14.26,-0.0377867746288799
2012-03-27,15.230000,15.280000,14.830000,14.920000,12.902311,15653800,-0.020355,0.018428,0.292528,-0.002817,1.790229,,2.2,15.59,0.0932678821879383
2012-03-28,14.910000,14.980000,14.300000,14.480000,12.521817,32546600,-0.029490,0.020649,0.327798,-0.004942,2.104666,,2.21,15.47,-0.00769724182168056
2012-03-29,14.420000,14.440000,14.170000,14.270000,12.340214,24678500,-0.014503,0.020833,0.330707,-0.001608,2.124575,,2.18,15.48,0.000646412411118293
2012-03-30,14.400000,14.520000,14.220000,14.370000,12.426689,21267800,0.007008,0.020873,0.331355,0.003698,2.129634,,2.23,15.5,0.00129198966408269
2012-04-02,14.380000,14.610000,14.280000,14.550000,12.582348,18693800,0.012526,0.019102,0.303242,0.007505,2.310975,,2.22,15.64,0.00903225806451613
2012-04-03,14.480000,14.800000,14.350000,14.760000,12.763947,25482800,0.014433,0.019456,0.308856,-0.003989,2.066660,,2.3,15.66,0.00127877237851662
