Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,14.450000,14.510000,14.260000,14.330000,10.520298,3342200,,,,,,
2012-02-22,14.100000,14.130000,13.900000,13.940000,10.233980,3193500,-0.027216,,,-0.003340,,1.146000
2012-02-23,14.020000,14.250000,13.940000,14.250000,10.461566,3156300,0.022238,,,0.004272,,
2012-02-24,14.340000,14.410000,14.230000,14.300000,10.498273,2913500,0.003509,,,0.001672,,
2012-02-27,13.980000,14.260000,13.920000,14.200000,10.424858,2423900,-0.006993,,,0.001355,,
2012-02-28,13.990000,14.240000,13.960000,14.190000,10.417518,3900400,-0.000704,,,0.003356,,
2012-02-29,14.270000,14.310000,13.970000,14.030000,10.300055,3454900,-0.011276,,,-0.004737,,
2012-03-01,13.920000,14.020000,13.810000,13.930000,10.226639,7985000,-0.007128,,,0.006158,,
2012-03-02,14.000000,14.020000,13.800000,13.860000,10.175248,4645100,-0.005025,,,-0.003246,,
2012-03-05,13.850000,13.860000,13.720000,13.830000,10.153225,4482800,-0.002164,,,-0.003870,,
2012-03-06,13.360000,13.390000,13.050000,13.100000,9.617299,4470100,-0.052784,,,-0.015370,,
2012-03-07,13.260000,13.495000,13.220000,13.460000,9.881592,4350600,0.027481,,,0.006901,,
2012-03-08,13.780000,13.820000,13.630000,13.780000,10.116518,4423200,0.023774,,,0.009818,,
2012-03-09,13.620000,13.660000,13.430000,13.470000,9.888933,4259300,-0.022496,,,0.003631,,
2012-03-12,13.620000,13.650000,13.490000,13.560000,9.955007,2615300,0.006682,0.021426,0.340135,0.000160,2.481004,
2012-03-13,13.800000,14.100000,13.760000,14.070000,10.329419,4835300,0.037610,0.022912,0.363713,0.018132,2.285908,
2012-03-14,14.200000,14.230000,13.950000,14.010000,10.285370,4310400,-0.004264,0.022094,0.350735,-0.001196,2.227649,
2012-03-15,14.050000,14.370000,13.980000,14.350000,10.534980,4418500,0.024268,0.023093,0.366590,0.005967,2.297934,
2012-03-16,14.500000,14.530000,14.400000,14.440000,10.601054,3479100,0.006272,0.023034,0.365654,0.001119,2.286871,
2012-03-19,14.310000,14.650000,14.310000,14.510000,10.652444,2917100,0.004848,0.023042,0.365779,0.003974,2.292150,
2012-03-20,14.350000,14.450000,14.261000,14.390000,10.564346,2742300,-0.008270,0.022924,0.363907,-0.003001,2.306798,
2012-03-21,14.280000,14.320000,14.150000,14.170000,10.402834,2720500,-0.015288,0.023277,0.369503,-0.001871,2.443466,
2012-03-22,13.990000,14.178000,13.980000,14.150000,10.388152,5034400,-0.001411,0.023219,0.368588,-0.007207,2.285228,
2012-03-23,14.070000,14.240000,13.950000,14.240000,10.454225,5151000,0.006360,0.023221,0.368615,0.003109,2.340796,
2012-03-26,14.320000,14.490000,14.260000,14.480000,10.630419,3615800,0.016854,0.017175,0.272651,0.013886,1.735275,
2012-03-27,14.520000,14.540000,14.280000,14.300000,10.498273,3419200,-0.012431,0.016881,0.267973,-0.002817,1.719434,
2012-03-28,14.200000,14.270000,13.940000,14.120000,10.366127,4430200,-0.012587,0.016474,0.261510,-0.004942,1.662901,
2012-03-29,13.860000,13.940000,13.740000,13.910000,10.211956,3571500,-0.014873,0.015715,0.249466,-0.001608,1.787033,
2012-03-30,14.030000,14.050000,13.860000,14.020000,10.292714,2259600,0.007908,0.015744,0.249926,0.003698,1.809715,
2012-04-02,13.830000,14.160000,13.760000,14.070000,10.329419,3103100,0.003566,0.012115,0.192313,0.007505,1.530571,
2012-04-03,13.940000,13.960000,13.560000,13.660000,10.028420,3908700,-0.029140,0.014406,0.228694,-0.003989,1.752516,
2012-04-04,13.340000,13.450000,13.170000,13.270000,9.742105,4121100,-0.028550,0.013990,0.222088,-0.010203,1.671647,
2012-04-05,13.040000,13.220000,12.990000,13.110000,9.624640,3893700,-0.012057,0.013659,0.216837,-0.000629,1.650786,
2012-04-09,12.900000,12.930000,12.720000,12.900000,9.470471,4826000,-0.016018,0.013428,0.213167,-0.011358,1.454126,
2012-04-10,12.750000,12.820000,12.340000,12.350000,9.066689,5308200,-0.042636,0.016267,0.258231,-0.017081,1.617755,
2012-04-11,12.840000,12.850000,12.610000,12.650000,9.286934,3636200,0.024292,0.018676,0.296474,0.007449,1.783615,
2012-04-12,12.740000,13.040000,12.720000,13.010000,9.551227,3582800,0.028459,0.021033,0.333888,0.013779,1.962831,
2012-04-13,12.710000,12.720000,12.470000,12.480000,9.162129,3990900,-0.040738,0.022647,0.359515,-0.012475,2.022791,
2012-04-16,12.530000,12.575000,12.310000,12.480000,9.162129,4886000,0.000000,0.021582,0.342607,-0.000504,2.147728,
2012-04-17,12.830000,12.960000,12.690000,12.890000,9.463129,3373400,0.032853,0.024448,0.388105,0.015487,2.169417,
2012-04-18,12.550000,12.690000,12.505000,12.520000,9.191496,3043100,-0.028704,0.025097,0.398402,-0.004055,2.212821,
2012-04-19,12.470000,12.610000,12.330000,12.410000,9.110739,3580400,-0.008786,0.025026,0.397279,-0.005934,2.173992,
2012-04-20,12.530000,12.640000,12.495000,12.500000,9.176811,3042600,0.007252,0.024995,0.396785,0.001169,2.176823,
2012-04-23,12.190000,12.360000,12.100000,12.360000,9.074032,3083900,-0.011200,0.024786,0.393466,-0.008408,2.194595,
2012-04-24,12.300000,12.470000,12.265000,12.420000,9.118081,4653400,0.004854,0.024314,0.385974,0.003680,2.165515,
2012-04-25,12.580000,12.695000,12.480000,12.560000,9.220860,4881600,0.011272,0.023861,0.378782,0.013645,1.967294,
2012-04-26,12.450000,12.640000,12.430000,12.600000,9.250227,3036100,0.003185,0.023796,0.377746,0.006680,1.928936,
2012-04-27,12.790000,12.790000,12.590000,12.700000,9.323641,3054200,0.007936,0.023615,0.374870,0.002414,2.028320,
2012-04-30,12.570000,12.570000,12.330000,12.370000,9.081373,3411900,-0.025984,0.021689,0.344303,-0.003884,2.072527,
2012-05-01,12.470000,12.710000,12.390000,12.670000,9.301618,4219800,0.024252,0.021686,0.344249,0.005658,2.065968,
2012-05-02,12.960000,12.990000,12.810000,12.860000,9.441104,8142400,0.014996,0.020615,0.327245,-0.002497,1.947435,
2012-05-03,12.690000,12.780000,12.360000,12.440000,9.132764,4510900,-0.032659,0.019488,0.309357,-0.007659,1.893043,
2012-05-04,12.630000,12.630000,12.270000,12.430000,9.125424,5957700,-0.000804,0.019489,0.309373,-0.016147,1.370467,
2012-05-07,12.380000,12.440000,12.320000,12.400000,9.103396,3509700,-0.002414,0.017024,0.270241,0.000351,1.152428,
2012-05-08,12.290000,12.330000,12.090000,12.260000,9.000618,3602400,-0.011290,0.015544,0.246748,-0.004279,1.087143,
2012-05-09,11.900000,12.040000,11.730000,11.970000,8.787715,6791500,-0.023654,0.016563,0.262925,-0.006702,1.186266,
2012-05-10,12.370000,12.470000,12.225000,12.280000,9.015299,6271200,0.025898,0.018083,0.287052,0.002517,1.272396,
2012-05-11,12.100000,12.380000,12.090000,12.180000,8.941886,4012800,-0.008143,0.017970,0.285258,-0.003387,1.286171,
2012-05-14,11.930000,11.940000,11.730000,11.760000,8.633546,2928400,-0.034483,0.019966,0.316946,-0.011113,1.504019,
2012-05-15,11.830000,11.900000,11.630000,11.640000,8.545448,9190400,-0.010204,0.019547,0.310299,-0.005746,1.799789,
2012-05-16,11.660000,11.760000,11.350000,11.350000,8.332546,6898400,-0.024914,0.020051,0.318306,-0.004404,2.065941,
