Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,28.815001,29.000000,28.462500,28.549999,26.211620,10819600,,,,,,
2012-02-22,28.447500,29.187500,28.325001,29.090000,26.707392,14381200,0.018914,,,-0.003340,,1.077181
2012-02-23,29.090000,29.200001,28.915001,29.120001,26.734930,10890800,0.001031,,,0.004272,,
2012-02-24,29.122499,29.442499,28.975000,29.385000,26.978230,11094000,0.009100,,,0.001672,,
2012-02-27,29.267500,29.325001,29.075001,29.215000,26.822155,15812800,-0.005785,,,0.001355,,
2012-02-28,29.290001,29.742500,29.262501,29.737499,27.301861,11937200,0.017885,,,0.003356,,
2012-02-29,29.754999,29.840000,29.002501,29.092501,26.709692,15217600,-0.021690,,,-0.004737,,
2012-03-01,29.362499,29.497499,29.137501,29.295000,26.895603,11174000,0.006960,,,0.006158,,
2012-03-02,29.127501,29.242500,28.900000,29.040001,26.661488,12213600,-0.008705,,,-0.003246,,
2012-03-05,29.040001,29.207500,28.975000,29.059999,26.679857,10153600,0.000689,,,-0.003870,,
2012-03-06,28.805000,28.875000,28.385000,28.709999,26.358517,13302000,-0.012044,,,-0.015370,,
2012-03-07,28.930000,29.025000,28.740000,28.910000,26.542133,10694000,0.006966,,,0.006901,,
2012-03-08,29.170000,29.545000,29.010000,29.492500,27.076931,9520400,0.020149,,,0.009818,,
2012-03-09,29.517500,29.597500,29.252501,29.292500,26.893303,8457600,-0.006782,,,0.003631,,
2012-03-12,29.254999,29.387501,29.017500,29.132500,26.746418,7709200,-0.005462,0.012506,0.198532,0.000160,1.024239,
2012-03-13,29.227501,29.352501,28.920000,29.317499,26.916260,12785600,0.006350,0.011578,0.183799,0.018132,0.882294,
2012-03-14,29.327499,29.472500,29.117500,29.187500,26.796906,14996000,-0.004434,0.011655,0.185019,-0.001196,0.894336,
2012-03-15,29.155001,29.367500,29.075001,29.250000,26.854298,13293200,0.002142,0.011393,0.180860,0.005967,0.886450,
2012-03-16,29.357500,29.375000,29.067499,29.170000,26.780844,16006400,-0.002735,0.011308,0.179515,0.001119,0.884793,
2012-03-19,29.110001,29.930000,29.037500,29.709999,27.276615,15918400,0.018512,0.011386,0.180745,0.003974,0.896639,
2012-03-20,29.537500,29.650000,29.000000,29.129999,26.744116,10588000,-0.019522,0.011079,0.175871,-0.003001,0.862561,
2012-03-21,29.272499,29.412500,29.145000,29.187500,26.796906,8427200,0.001974,0.010922,0.173383,-0.001871,0.823796,
2012-03-22,29.037500,29.375000,29.000000,29.320000,26.918545,9368000,0.004539,0.010701,0.169869,-0.007207,0.685391,
2012-03-23,29.377501,29.750000,29.225000,29.695000,27.262840,10151200,0.012790,0.011175,0.177392,0.003109,0.726179,
2012-03-26,29.840000,30.174999,29.312500,30.014999,27.556627,16363600,0.010776,0.010684,0.169611,0.013886,0.712773,
2012-03-27,29.995001,30.070000,29.887501,29.952499,27.499250,10662000,-0.002082,0.010715,0.170094,-0.002817,0.707137,
2012-03-28,29.920000,30.075001,29.627501,29.837500,27.393675,8992000,-0.003839,0.009545,0.151515,-0.004942,0.568919,
2012-03-29,29.635000,29.795000,29.387501,29.750000,27.313345,8691200,-0.002932,0.009361,0.148597,-0.001608,0.600350,
2012-03-30,29.772499,29.799999,29.400000,29.500000,27.083818,12002000,-0.008403,0.009552,0.151626,0.003698,0.558566,
2012-04-02,29.500000,29.975000,29.275000,29.745001,27.308752,11777600,0.008305,0.009651,0.153197,0.007505,0.784172,
2012-04-03,29.709999,30.147499,29.592501,30.090000,27.625492,15691600,0.011598,0.009894,0.157067,-0.003989,0.606322,
2012-04-04,29.872499,29.920000,29.549999,29.745001,27.308752,10308800,-0.011465,0.010549,0.167468,-0.010203,0.760581,
2012-04-05,29.580000,30.287500,29.517500,30.252501,27.774681,13395600,0.017062,0.011276,0.178999,-0.000629,0.763634,
2012-04-09,29.915001,30.087500,29.677500,29.875000,27.428097,13295600,-0.012478,0.010963,0.174035,-0.011358,0.754416,
2012-04-10,29.870001,29.942499,29.147499,29.184999,26.794611,10679200,-0.023096,0.011493,0.182443,-0.017081,0.920384,
2012-04-11,29.504999,29.737499,29.242500,29.344999,26.941509,14171200,0.005482,0.011573,0.183709,0.007449,0.878906,
2012-04-12,29.367500,30.290001,29.297501,30.254999,27.776970,17164000,0.031010,0.014165,0.224858,0.013779,1.122911,
2012-04-13,30.100000,30.920000,30.077499,30.790001,28.268152,21497200,0.017683,0.014499,0.230163,-0.012475,0.844444,
2012-04-16,30.760000,30.762501,30.010000,30.207500,27.733370,18308400,-0.018918,0.015370,0.243996,-0.000504,0.894186,
2012-04-17,30.407499,30.625000,30.312500,30.520000,28.020273,10328800,0.010345,0.015563,0.247059,0.015487,0.801120,
2012-04-18,30.402500,30.620001,30.330000,30.445000,27.951408,8480000,-0.002458,0.015531,0.246554,-0.004055,0.798456,
2012-04-19,30.317499,30.565001,30.127501,30.297501,27.815989,8522400,-0.004845,0.015582,0.247361,-0.005934,0.804822,
2012-04-20,30.455000,30.537500,30.145000,30.252501,27.774681,7841200,-0.001485,0.015355,0.243753,0.001169,0.849030,
2012-04-23,30.062500,30.202499,29.120001,29.525000,27.106758,17347200,-0.024048,0.016695,0.265019,-0.008408,0.950405,
2012-04-24,29.587500,29.809999,29.372499,29.732500,27.297262,9430800,0.007028,0.016485,0.261697,0.003680,0.973727,
2012-04-25,29.934999,30.600000,29.889999,30.447500,27.953709,12150800,0.024048,0.017412,0.276410,0.013645,1.037079,
2012-04-26,30.472500,30.875000,30.377501,30.797501,28.275045,11107600,0.011495,0.017098,0.271419,0.006680,1.052591,
2012-04-27,30.934999,31.052500,30.715000,30.879999,28.350786,9787200,0.002679,0.016624,0.263897,0.002414,1.043769,
