Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,31.139999,31.469999,30.809999,30.959999,21.881447,29334500,,,,,,
2012-02-22,30.799999,30.910000,30.500000,30.590000,21.619942,29074600,-0.011951,,,-0.003340,,1.161571
2012-02-23,30.650000,30.680000,30.280001,30.650000,21.662350,23327000,0.001962,,,0.004272,,
2012-02-24,30.440001,30.660000,30.020000,30.180000,21.330170,21604000,-0.015334,,,0.001672,,
2012-02-27,30.049999,31.129999,29.990000,31.030001,21.930929,36242500,0.028165,,,0.001355,,
2012-02-28,31.010000,31.459999,30.980000,31.370001,22.171217,30734800,0.010957,,,0.003356,,
2012-02-29,31.420000,31.900000,31.219999,31.290001,22.114687,33656100,-0.002550,,,-0.004737,,
2012-03-01,31.559999,31.750000,31.309999,31.540001,22.291372,27218100,0.007989,,,0.006158,,
2012-03-02,31.639999,31.719999,31.219999,31.280001,22.107615,22716500,-0.008243,,,-0.003246,,
2012-03-05,31.150000,31.160000,30.700001,30.969999,21.888514,21920400,-0.009911,,,-0.003870,,
2012-03-06,30.510000,30.559999,29.990000,30.110001,21.280703,29644200,-0.027768,,,-0.015370,,
2012-03-07,30.270000,30.740000,30.180000,30.410000,21.492727,23750200,0.009963,,,0.006901,,
2012-03-08,30.860001,31.490000,30.709999,31.400000,22.192419,28442300,0.032555,,,0.009818,,
2012-03-09,31.490000,31.900000,31.290001,31.660000,22.376184,24042700,0.008281,,,0.003631,,
2012-03-12,31.600000,31.650000,31.080000,31.510000,22.270166,23677000,-0.004738,0.016469,0.261438,0.000160,1.886288,
2012-03-13,31.840000,33.580002,31.680000,33.330002,23.556486,62583800,0.057760,0.021802,0.346097,0.018132,2.242094,
2012-03-14,33.369999,33.450001,32.610001,33.369999,23.584745,53025300,0.001200,0.021815,0.346300,-0.001196,2.264162,
2012-03-15,33.500000,34.080002,33.110001,34.070000,24.079489,45009500,0.020977,0.021193,0.336435,0.005967,2.276605,
2012-03-16,34.130001,34.130001,33.630001,33.889999,23.952272,39886400,-0.005283,0.020735,0.329162,0.001119,2.301152,
2012-03-19,33.740002,34.590000,33.509998,34.250000,24.206705,36658700,0.010622,0.020730,0.329078,0.003974,2.297455,
2012-03-20,34.060001,34.509998,33.740002,34.320000,24.256186,34156500,0.002044,0.020612,0.327203,-0.003001,2.311070,
2012-03-21,34.500000,34.520000,34.000000,34.020000,24.044147,29346900,-0.008742,0.021020,0.333678,-0.001871,2.383477,
2012-03-22,33.470001,33.799999,33.230000,33.360001,23.647192,30065600,-0.016509,0.021549,0.342074,-0.007207,2.372936,
2012-03-23,33.389999,33.689999,33.290001,33.529999,23.767694,25470400,0.005096,0.021117,0.335222,0.003109,2.353090,
2012-03-26,33.910000,34.389999,33.689999,34.389999,24.377308,27043300,0.025649,0.019271,0.305921,0.013886,2.457536,
2012-03-27,34.400002,34.470001,33.919998,34.000000,24.100859,24979000,-0.011340,0.020091,0.318937,-0.002817,2.535100,
2012-03-28,33.900002,34.470001,33.900002,34.470001,24.434017,29445400,0.013823,0.018950,0.300821,-0.004942,2.187532,
2012-03-29,34.360001,34.419998,33.540001,33.939999,24.058323,31559500,-0.015376,0.019865,0.315352,-0.001608,2.259923,
2012-03-30,34.180000,34.180000,33.759998,34.139999,24.200098,26891100,0.005893,0.019651,0.311954,0.003698,2.232556,
2012-04-02,33.830002,34.590000,33.799999,34.509998,24.462372,24606100,0.010838,0.013066,0.207420,0.007505,1.615065,
2012-04-03,34.349998,34.540001,34.119999,34.480000,24.441105,26009000,-0.000869,0.013097,0.207910,-0.003989,1.569274,
2012-04-04,34.090000,34.290001,33.619999,33.880001,24.015797,26655600,-0.017401,0.012977,0.206011,-0.010203,1.478545,
2012-04-05,33.779999,34.020000,33.630001,33.730000,23.909472,19563100,-0.004427,0.012953,0.205626,-0.000629,1.499424,
2012-04-09,33.060001,33.730000,32.980000,33.419998,23.689726,22890500,-0.009191,0.012779,0.202856,-0.011358,1.331792,
2012-04-10,33.380001,33.669998,32.849998,32.919998,23.335299,34674500,-0.014961,0.013220,0.209862,-0.017081,1.186588,
2012-04-11,33.509998,33.910000,33.419998,33.619999,23.831495,29673900,0.021264,0.014529,0.230643,0.007449,1.291550,
2012-04-12,33.689999,34.160000,33.520000,34.020000,24.115032,31469600,0.011898,0.014104,0.223899,0.013779,1.133377,
2012-04-13,33.730000,33.869999,32.799999,32.840000,23.278589,41933000,-0.034686,0.017027,0.270296,-0.012475,1.315669,
2012-04-16,33.180000,33.450001,32.669998,33.150002,23.498337,30129800,0.009440,0.015536,0.246624,-0.000504,1.248354,
2012-04-17,33.320000,33.779999,33.279999,33.680000,23.874029,23724900,0.015988,0.016049,0.254769,0.015487,1.170704,
2012-04-18,33.459999,33.740002,33.330002,33.570000,23.796057,19718500,-0.003266,0.015512,0.246249,-0.004055,1.224423,
2012-04-19,33.700001,33.770000,32.889999,33.119999,23.477068,25355100,-0.013405,0.015388,0.244272,-0.005934,1.238826,
2012-04-20,33.230000,33.320000,32.900002,33.000000,23.392010,23511000,-0.003623,0.015239,0.241913,0.001169,1.225221,
2012-04-23,32.650002,32.770000,32.430000,32.689999,23.172266,27262400,-0.009394,0.014850,0.235740,-0.008408,1.206118,
2012-04-24,32.799999,33.150002,32.740002,33.070000,23.441631,19978200,0.011624,0.015402,0.244505,0.003680,1.243711,
2012-04-25,33.299999,33.470001,32.869999,33.349998,23.640102,20489000,0.008467,0.015073,0.239273,0.013645,1.128151,
2012-04-26,33.299999,33.849998,33.209999,33.840000,23.987450,23413600,0.014693,0.015597,0.247601,0.006680,1.156890,
2012-04-27,33.910000,33.980000,33.610001,33.770000,23.937824,19831300,-0.002069,0.015377,0.244102,0.002414,1.195228,
2012-04-30,33.750000,33.770000,33.099998,33.419998,23.689726,20361100,-0.010364,0.015059,0.239055,-0.003884,1.362288,
2012-05-01,33.549999,34.299999,33.400002,34.090000,24.164656,25970300,0.020048,0.014937,0.237123,0.005658,1.346118,
2012-05-02,33.700001,33.790001,33.290001,33.570000,23.950619,19156700,-0.008857,0.014812,0.235138,-0.002497,1.453372,
2012-05-03,33.790001,33.790001,33.240002,33.389999,23.822197,18647800,-0.005362,0.011229,0.178251,-0.007659,1.116811,
2012-05-04,33.240002,33.419998,32.759998,33.029999,23.565350,27154400,-0.010782,0.011456,0.181859,-0.016147,0.995475,
2012-05-07,32.790001,33.650002,32.779999,33.500000,23.900677,28211800,0.014230,0.011279,0.179044,0.000351,1.038300,
2012-05-08,33.130001,33.549999,32.849998,33.150002,23.650969,27069000,-0.010448,0.011604,0.184209,-0.004279,1.066387,
2012-05-09,32.810001,32.910000,32.459999,32.630001,23.279976,27552100,-0.015686,0.011815,0.187561,-0.006702,1.083340,
2012-05-10,33.209999,33.500000,32.900002,33.189999,23.679504,24902300,0.017162,0.012672,0.201169,0.002517,1.158624,
2012-05-11,32.669998,33.599998,32.520000,33.310001,23.765125,36384600,0.003616,0.012328,0.195703,-0.003387,1.126657,
2012-05-14,32.880001,32.950001,32.380001,32.410000,23.123007,29761900,-0.027019,0.014167,0.224890,-0.011113,1.280821,
2012-05-15,32.279999,32.720001,32.099998,32.240002,23.001724,28625200,-0.005245,0.013943,0.221334,-0.005746,1.628500,
2012-05-16,32.439999,32.720001,31.969999,31.969999,22.809090,28226100,-0.008375,0.013178,0.209191,-0.004404,1.648171,
2012-05-17,31.959999,32.160000,31.430000,31.440001,22.430964,46067300,-0.016578,0.013619,0.216192,-0.015051,1.663912,
2012-05-18,31.469999,31.580000,30.650000,30.940001,22.074244,53576100,-0.015903,0.013879,0.220319,-0.007388,1.715583,
2012-05-21,30.930000,31.469999,30.520000,31.400000,22.402416,30865500,0.014867,0.013214,0.209771,0.016036,1.194252,
2012-05-22,31.549999,32.450001,31.370001,31.670000,22.595066,30213700,0.008600,0.013670,0.217003,0.000486,1.248095,
2012-05-23,31.500000,31.799999,30.980000,31.740000,22.644995,30587800,0.002210,0.013764,0.218500,0.001694,1.248755,
