Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,66.739998,67.260002,66.400002,67.059998,49.604164,1023000,,,,,,
2012-02-22,67.250000,67.400002,66.449997,67.070000,49.611572,1380700,0.000149,,,-0.003340,,0.768111
2012-02-23,67.139999,68.000000,66.669998,67.830002,50.173744,1218300,0.011331,,,0.004272,,
2012-02-24,67.830002,68.000000,67.260002,67.910004,50.232922,840000,0.001179,,,0.001672,,
2012-02-27,67.599998,67.629997,66.709999,66.989998,49.552406,1069400,-0.013547,,,0.001355,,
2012-02-28,66.949997,67.489998,65.480003,67.330002,49.803905,1646700,0.005075,,,0.003356,,
2012-02-29,67.459999,68.269997,66.989998,67.320000,49.796501,1250900,-0.000149,,,-0.004737,,
2012-03-01,67.470001,67.730003,66.820000,67.370003,49.833481,852800,0.000743,,,0.006158,,
2012-03-02,67.430000,67.610001,66.620003,67.160004,49.678154,1027000,-0.003117,,,-0.003246,,
2012-03-05,67.040001,67.480003,66.510002,67.129997,49.655949,970400,-0.000447,,,-0.003870,,
2012-03-06,66.180000,66.180000,64.589996,65.059998,48.124779,1521200,-0.030836,,,-0.015370,,
2012-03-07,65.059998,65.989998,64.699997,65.820000,48.686958,1282000,0.011682,,,0.006901,,
2012-03-08,66.120003,67.070000,66.000000,66.620003,49.278713,1208800,0.012154,,,0.009818,,
2012-03-09,66.519997,67.019997,66.169998,66.370003,49.093792,747300,-0.003753,,,0.003631,,
2012-03-12,66.370003,66.889999,66.250000,66.489998,49.182545,760700,0.001808,0.011086,0.175986,0.000160,1.300090,
2012-03-13,66.959999,67.739998,66.760002,67.730003,50.099789,881700,0.018650,0.012221,0.193997,0.018132,1.233465,
2012-03-14,67.949997,67.989998,66.930000,67.110001,49.641151,930700,-0.009154,0.012084,0.191835,-0.001196,1.228687,
2012-03-15,67.220001,68.029999,67.139999,67.930000,50.247726,1346500,0.012219,0.012567,0.199489,0.005967,1.262552,
2012-03-16,68.290001,68.449997,67.949997,67.980003,50.284698,1031600,0.000736,0.011938,0.189510,0.001119,1.252642,
2012-03-19,68.180000,68.419998,67.379997,67.510002,49.937054,808000,-0.006914,0.012061,0.191470,0.003974,1.224411,
2012-03-20,67.309998,68.349998,67.250000,68.120003,50.388252,1082400,0.009035,0.012285,0.195022,-0.003001,1.200325,
2012-03-21,68.000000,68.360001,67.570000,67.930000,50.247726,780500,-0.002789,0.012325,0.195657,-0.001871,1.224665,
2012-03-22,67.580002,67.930000,66.629997,67.050003,49.596786,1038400,-0.012955,0.012828,0.203631,-0.007207,1.256972,
2012-03-23,67.220001,67.519997,66.699997,67.239998,49.737320,940000,0.002834,0.012849,0.203979,0.003109,1.299218,
2012-03-26,67.410004,68.400002,67.279999,68.050003,50.336494,1156800,0.012047,0.009578,0.152052,0.013886,1.009209,
2012-03-27,67.830002,68.139999,67.290001,67.389999,49.848278,954200,-0.009699,0.009833,0.156093,-0.002817,1.031234,
2012-03-28,67.269997,67.599998,66.720001,67.209999,49.715137,1223600,-0.002671,0.009413,0.149431,-0.004942,0.950758,
2012-03-29,66.910004,67.309998,66.449997,67.209999,49.715137,1173400,0.000000,0.009331,0.148120,-0.001608,0.952871,
2012-03-30,67.750000,68.489998,67.339996,68.440002,50.624966,1346000,0.018301,0.010426,0.165504,0.003698,0.997727,
2012-04-02,68.410004,69.790001,68.400002,69.730003,51.579178,1814400,0.018849,0.010450,0.165891,0.007505,1.186363,
2012-04-03,69.510002,69.720001,68.190002,68.779999,50.876465,1635800,-0.013624,0.010881,0.172728,-0.003989,1.246202,
2012-04-04,68.040001,68.370003,67.690002,68.169998,50.425251,1084700,-0.008869,0.010789,0.171264,-0.010203,1.125016,
2012-04-05,68.430000,68.660004,67.730003,68.459999,50.639767,1380800,0.004254,0.010840,0.172084,-0.000629,1.125156,
2012-04-09,67.699997,67.739998,67.080002,67.470001,49.907459,864100,-0.014461,0.011413,0.181174,-0.011358,1.256125,
2012-04-10,67.639999,68.010002,66.709999,66.820000,49.426647,888800,-0.009634,0.011369,0.180475,-0.017081,1.072140,
2012-04-11,67.629997,68.000000,67.290001,67.709999,50.084999,736600,0.013320,0.012006,0.190583,0.007449,1.102328,
2012-04-12,67.690002,68.669998,67.550003,68.410004,50.602776,943200,0.010338,0.011707,0.185844,0.013779,0.971014,
2012-04-13,68.500000,68.610001,67.610001,67.989998,50.292126,746600,-0.006139,0.011873,0.188475,-0.012475,0.934362,
2012-04-16,68.010002,68.379997,67.220001,67.400002,49.855686,1119700,-0.008678,0.011661,0.185105,-0.000504,0.980211,
2012-04-17,67.599998,67.669998,66.529999,67.510002,49.937054,1563800,0.001632,0.011372,0.180521,0.015487,0.767270,
2012-04-18,67.529999,67.930000,66.809998,67.820000,50.166359,917200,0.004592,0.011397,0.180921,-0.004055,0.752759,
2012-04-19,67.940002,67.940002,66.480003,66.730003,49.360077,1533100,-0.016072,0.012251,0.194478,-0.005934,0.795595,
2012-04-20,66.870003,66.919998,66.190002,66.250000,49.005028,1334100,-0.007193,0.011090,0.176055,0.001169,0.723003,
2012-04-23,66.019997,66.150002,65.440002,65.570000,48.502026,1796200,-0.010264,0.009433,0.149741,-0.008408,0.624869,
2012-04-24,65.570000,66.730003,65.519997,66.250000,49.005028,1340200,0.010371,0.009790,0.155409,0.003680,0.657955,
2012-04-25,67.070000,67.660004,66.559998,67.440002,49.885273,1322700,0.017962,0.011023,0.174983,0.013645,0.743678,
2012-04-26,64.500000,66.040001,63.619999,65.690002,48.590786,4396500,-0.025949,0.012790,0.203037,0.006680,0.615249,
2012-04-27,65.150002,65.449997,64.129997,64.500000,47.710548,2196800,-0.018115,0.013079,0.207620,0.002414,0.564074,
2012-04-30,64.559998,64.720001,64.180000,64.500000,47.710548,1032900,0.000000,0.012963,0.205786,-0.003884,0.612470,
2012-05-01,64.760002,66.120003,64.589996,65.629997,48.546410,1628700,0.017519,0.013397,0.212676,0.005658,0.610607,
2012-05-02,65.540001,65.589996,64.959999,65.000000,48.080414,977700,-0.009599,0.013023,0.206735,-0.002497,0.557931,
2012-05-03,65.190002,65.300003,64.540001,64.769997,47.910271,1450600,-0.003539,0.013002,0.206402,-0.007659,0.595379,
2012-05-04,64.599998,64.849998,63.880001,64.510002,47.717941,1070100,-0.004014,0.012915,0.205025,-0.016147,0.434483,
2012-05-07,64.000000,64.650002,63.570000,63.669998,47.096596,1351200,-0.013021,0.013099,0.207946,0.000351,0.470080,
2012-05-08,63.750000,64.629997,63.369999,64.559998,47.754948,1498800,0.013979,0.013800,0.219064,-0.004279,0.428712,
2012-05-09,64.000000,65.209999,63.470001,64.760002,47.902889,1377800,0.003098,0.013393,0.212611,-0.006702,0.302521,
2012-05-10,64.989998,65.190002,64.260002,64.419998,47.651379,1098400,-0.005250,0.013346,0.211860,0.002517,0.299313,
2012-05-11,63.540001,64.339996,63.150002,63.180000,46.734154,1383400,-0.019249,0.013979,0.221914,-0.003387,0.297497,
2012-05-14,62.230000,63.000000,62.119999,62.520000,46.245937,1185200,-0.010447,0.013600,0.215898,-0.011113,0.273540,
2012-05-15,62.310001,62.410000,61.160000,61.490002,45.484055,1381700,-0.016475,0.012373,0.196411,-0.005746,-0.193777,
2012-05-16,61.529999,62.259998,61.060001,61.279999,45.328728,875100,-0.003415,0.011043,0.175300,-0.004404,0.210438,
2012-05-17,61.020000,61.689999,60.560001,60.599998,45.009350,895600,-0.007046,0.010401,0.165113,-0.015051,0.417203,
2012-05-18,60.610001,61.060001,59.639999,59.779999,44.400299,1093800,-0.013532,0.010617,0.168538,-0.007388,0.438651,
2012-05-21,59.740002,60.790001,59.660000,60.619999,45.024204,751900,0.014052,0.010076,0.159954,0.016036,0.446385,
2012-05-22,60.860001,60.930000,59.639999,59.970001,44.541428,853700,-0.010723,0.010117,0.160606,0.000486,0.414671,
2012-05-23,61.320000,61.570000,60.029999,60.590000,45.001930,1380200,0.010339,0.010958,0.173959,0.001694,0.505625,
2012-05-24,60.549999,60.779999,60.099998,60.490002,44.927654,771300,-0.001651,0.010983,0.174351,0.001380,0.632008,
2012-05-25,60.490002,61.080002,60.320000,61.060001,45.351013,781600,0.009423,0.011238,0.178392,-0.002166,0.685676,
2012-05-29,61.700001,62.310001,61.279999,61.840000,45.930336,1534200,0.012774,0.011104,0.176277,0.011079,0.806405,
2012-05-30,61.150002,61.220001,59.860001,60.020000,44.578575,1390300,-0.029431,0.013029,0.206835,-0.014335,1.025594,
2012-05-31,60.040001,60.040001,59.310001,59.500000,44.192345,996300,-0.008664,0.013065,0.207407,-0.002277,1.050460,
2012-06-01,58.799999,58.880001,58.000000,58.220001,43.241665,1056400,-0.021512,0.013264,0.210558,-0.024643,0.938515,
2012-06-04,58.189999,58.320000,57.099998,57.830002,42.951984,796600,-0.006699,0.013193,0.209432,0.000110,0.937767,
2012-06-05,57.720001,58.459999,57.490002,58.320000,43.315922,1124600,0.008473,0.013235,0.210102,0.005727,0.943064,
2012-06-06,58.799999,60.009998,58.549999,60.000000,44.563728,963700,0.028807,0.015788,0.250627,0.023049,1.014265,
2012-06-07,60.619999,60.689999,59.810001,59.990002,44.556290,809400,-0.000167,0.015695,0.249158,-0.000106,1.093977,
2012-06-08,59.700001,59.700001,59.020000,59.310001,44.051235,758100,-0.011335,0.015567,0.247115,0.008114,1.012904,
2012-06-11,59.650002,59.860001,58.330002,58.340000,43.330791,950300,-0.016355,0.015509,0.246194,-0.012620,1.024270,
2012-06-12,58.490002,59.099998,58.230000,58.830002,43.694717,903200,0.008399,0.015582,0.247362,0.011651,1.012204,
2012-06-13,58.840000,58.919998,58.209999,58.389999,43.367912,517300,-0.007479,0.015287,0.242677,-0.007023,0.996581,
2012-06-14,58.349998,58.540001,57.970001,58.389999,43.367912,765600,0.000000,0.015301,0.242894,0.010815,0.953473,
2012-06-15,58.369999,58.400002,57.759998,58.139999,43.182236,944400,-0.004281,0.014919,0.236834,0.010338,0.929645,
2012-06-18,57.759998,58.400002,57.730000,58.279999,43.286209,621400,0.002408,0.014300,0.226998,0.001445,0.900512,
2012-06-19,58.500000,59.240002,58.500000,59.029999,43.843273,1031900,0.012869,0.012948,0.205536,0.009816,0.839844,
2012-06-20,59.150002,62.049999,59.029999,60.959999,45.276745,2800700,0.032695,0.015548,0.246825,-0.001686,0.751649,
2012-06-21,61.080002,61.110001,59.419998,59.560001,44.236916,1196900,-0.022966,0.015720,0.249554,-0.022262,0.796018,
2012-06-22,59.700001,59.820000,59.060001,59.320000,44.058659,1949100,-0.004030,0.015626,0.248056,0.007175,0.764612,
2012-06-25,59.080002,59.130001,58.470001,58.830002,43.694717,1080500,-0.008260,0.015727,0.249656,-0.015955,0.711604,
2012-06-26,58.880001,59.700001,58.740002,59.500000,44.192345,840900,0.011389,0.013921,0.220982,0.004773,0.575644,
2012-06-27,59.810001,60.619999,59.349998,60.480000,44.920223,769500,0.016471,0.014643,0.232457,0.008985,0.629107,
2012-06-28,60.160000,61.320000,59.790001,61.279999,45.514408,936900,0.013228,0.014564,0.231201,-0.002110,0.686987,
2012-06-29,61.630001,63.169998,61.630001,62.740002,46.598789,1232000,0.023825,0.014536,0.230747,0.024920,0.650598,
2012-07-02,62.790001,63.009998,62.250000,62.650002,46.531948,908400,-0.001434,0.014612,0.231959,0.002459,0.664292,
2012-07-03,62.790001,64.550003,62.660000,64.300003,47.757442,740600,0.026337,0.015243,0.241969,0.006232,0.665057,
2012-07-05,63.930000,64.290001,62.950001,63.240002,46.970169,1160400,-0.016485,0.016418,0.260626,-0.004687,0.787416,
2012-07-06,62.570000,62.849998,61.830002,62.299999,46.271992,859400,-0.014864,0.017147,0.272204,-0.009433,0.931095,
2012-07-09,62.299999,62.299999,60.750000,60.820000,45.172752,931800,-0.023756,0.018807,0.298549,-0.001639,0.961917,
2012-07-10,61.009998,61.490002,60.849998,61.360001,45.573826,771200,0.008879,0.018679,0.296521,-0.008126,0.905487,
2012-07-11,61.650002,62.310001,61.520000,62.200001,46.197720,863500,0.013690,0.016961,0.269250,-0.000015,0.925243,
2012-07-12,61.639999,61.880001,60.970001,61.759998,45.870911,851900,-0.007074,0.015676,0.248843,-0.004987,0.892376,
2012-07-13,61.990002,62.820000,61.860001,62.770000,46.621086,666500,0.016354,0.015946,0.253134,0.016497,0.925178,
2012-07-16,62.509998,62.740002,61.880001,61.930000,45.997177,570700,-0.013383,0.016308,0.258876,-0.002314,1.040691,
2012-07-17,62.279999,62.340000,61.180000,61.770000,45.878345,753000,-0.002583,0.016235,0.257719,0.007410,0.984685,
2012-07-18,61.799999,63.709999,61.610001,63.549999,47.200397,964100,0.028816,0.017333,0.275145,0.006680,1.024550,
2012-07-19,63.720001,63.990002,62.959999,63.450001,47.126125,706700,-0.001574,0.017156,0.272343,0.002717,1.076992,
2012-07-20,63.060001,63.259998,62.380001,63.090000,46.858742,751000,-0.005674,0.016133,0.256103,-0.010062,1.145151,
2012-07-23,62.150002,62.980000,61.830002,62.840000,46.673061,853700,-0.003963,0.016171,0.256700,-0.008909,1.101398,
2012-07-24,62.730000,62.730000,61.660000,61.980000,46.034306,966400,-0.013686,0.014691,0.233206,-0.009041,0.970885,
2012-07-25,62.230000,62.619999,61.660000,61.770000,45.878345,1051700,-0.003388,0.014140,0.224461,-0.000314,0.926974,
2012-07-26,61.799999,65.099998,61.779999,64.809998,48.136230,2073200,0.049215,0.019035,0.302170,0.016541,1.365986,
2012-07-27,64.860001,65.639999,64.860001,65.370003,48.552185,1335900,0.008641,0.017435,0.276776,0.019081,1.043875,
2012-07-30,65.620003,66.529999,65.589996,66.430000,49.339466,1179700,0.016215,0.017660,0.280339,-0.000483,1.131341,
2012-07-31,66.169998,66.459999,65.360001,65.769997,48.849251,1605200,-0.009936,0.017977,0.285371,-0.004317,1.182960,
2012-08-01,66.300003,70.199997,65.860001,66.230003,49.190922,8797800,0.006994,0.017693,0.280860,-0.002900,1.136160,
2012-08-02,65.459999,65.879997,64.410004,65.010002,48.284786,1748600,-0.018421,0.018424,0.292471,-0.007504,1.301360,
2012-08-03,65.910004,66.459999,65.269997,65.410004,48.581867,1495700,0.006153,0.017846,0.283296,0.019040,1.011367,
2012-08-06,65.510002,65.830002,65.169998,65.370003,48.552185,1073300,-0.000611,0.017797,0.282522,0.002329,1.058213,
2012-08-07,65.839996,66.150002,64.860001,64.870003,48.180801,1351900,-0.007649,0.016541,0.262586,0.005107,0.952482,
2012-08-08,64.419998,65.290001,64.419998,64.750000,48.091656,1870200,-0.001850,0.016546,0.262653,0.000621,0.957845,
2012-08-09,65.070000,65.199997,64.699997,64.930000,48.225372,1654700,0.002780,0.016414,0.260571,0.000414,0.997323,
2012-08-10,64.800003,65.190002,64.709999,64.970001,48.255070,829100,0.000616,0.016328,0.259200,0.002188,1.056097,
2012-08-13,64.559998,65.230003,64.559998,64.830002,48.151096,667100,-0.002155,0.015728,0.249679,-0.001252,1.024129,
2012-08-14,65.209999,65.250000,64.449997,64.610001,47.987701,857500,-0.003393,0.015728,0.249682,-0.000128,1.024406,
2012-08-15,64.410004,64.680000,64.120003,64.480003,47.891144,786000,-0.002012,0.008555,0.135811,0.001140,0.491386,
2012-08-16,64.360001,65.300003,64.000000,65.129997,48.373920,1739900,0.010081,0.008679,0.137778,0.007101,0.568386,
2012-08-17,64.910004,65.050003,64.389999,64.620003,48.194904,659200,-0.003701,0.007299,0.115873,0.001872,0.638689,
2012-08-20,64.790001,65.309998,64.220001,65.059998,48.523071,805700,0.006809,0.007209,0.114432,-0.000021,0.547382,
2012-08-21,65.000000,65.879997,64.940002,65.599998,48.925819,895200,0.008300,0.007320,0.116201,-0.003498,0.517360,
2012-08-22,65.500000,65.519997,65.110001,65.459999,48.821392,753700,-0.002134,0.005223,0.082907,0.000226,0.209161,
2012-08-23,65.129997,65.550003,64.650002,64.680000,48.239666,759200,-0.011915,0.005977,0.094878,-0.008072,0.539820,
2012-08-24,64.410004,64.629997,63.959999,64.419998,48.045750,649400,-0.004020,0.006051,0.096058,0.006455,0.364463,
2012-08-27,64.440002,64.639999,63.930000,64.220001,47.896572,544400,-0.003105,0.005767,0.091544,-0.000489,0.580776,
2012-08-28,64.199997,64.480003,63.790001,64.120003,47.822010,692700,-0.001557,0.005762,0.091463,-0.000808,0.584930,
2012-08-29,64.120003,64.720001,63.840000,64.370003,48.008465,726700,0.003899,0.005816,0.092333,0.000844,0.593837,
2012-08-30,64.169998,64.169998,63.360001,63.439999,47.314846,551200,-0.014448,0.006921,0.109870,-0.007806,0.856991,
2012-08-31,63.730000,64.089996,63.470001,63.650002,47.471474,422600,0.003310,0.007027,0.111558,0.005073,0.852503,
2012-09-04,64.110001,64.220001,63.180000,63.660000,47.478924,574700,0.000157,0.006998,0.111093,-0.001166,0.840955,
2012-09-05,63.970001,64.410004,63.470001,63.869999,47.635548,922900,0.003299,0.007067,0.112192,-0.001068,0.833458,
2012-09-06,64.239998,64.919998,64.000000,64.080002,47.792175,739300,0.003288,0.006506,0.103287,0.020436,0.363308,
2012-09-07,64.459999,65.239998,64.000000,65.080002,48.537991,821800,0.015605,0.007776,0.123446,0.004050,0.435561,
2012-09-10,64.980003,65.589996,64.919998,65.029999,48.500694,491200,-0.000768,0.007567,0.120122,-0.006148,0.422127,
2012-09-11,65.029999,65.599998,64.900002,65.510002,48.858700,673200,0.007381,0.007493,0.118947,0.003135,0.504864,
2012-09-12,65.839996,66.430000,65.650002,65.900002,49.149570,968900,0.005953,0.007632,0.121158,0.002093,0.509668,
2012-09-13,65.669998,66.900002,65.349998,66.529999,49.619438,764900,0.009560,0.007082,0.112425,0.016310,0.423874,
2012-09-14,66.839996,67.410004,66.599998,66.889999,49.887924,758600,0.005411,0.006908,0.109657,0.003959,0.463322,
2012-09-17,66.750000,67.360001,66.510002,66.949997,49.932674,830700,0.000897,0.006729,0.106819,-0.003125,0.440459,
2012-09-18,66.730003,67.269997,65.769997,67.180000,50.104221,1058100,0.003436,0.006600,0.104771,-0.001280,0.418510,
2012-09-19,67.410004,67.709999,66.080002,66.230003,49.395695,1057000,-0.014141,0.008081,0.128277,0.001186,0.448545,
2012-09-20,66.000000,66.169998,65.449997,65.709999,49.007854,1028100,-0.007852,0.007187,0.114083,-0.000541,0.318640,
2012-09-21,66.000000,66.180000,64.959999,65.010002,48.485786,1271300,-0.010653,0.007995,0.126911,-0.000075,0.364137,
2012-09-24,65.180000,65.699997,64.750000,65.419998,48.791573,928400,0.006307,0.008081,0.128286,-0.002233,0.321086,
2012-09-25,65.559998,66.410004,65.449997,66.070000,49.276363,1183400,0.009936,0.008355,0.132626,-0.010502,0.158380,
2012-09-26,66.059998,66.199997,64.900002,65.779999,49.060070,945100,-0.004389,0.008545,0.135655,-0.005737,0.302569,
2012-09-27,65.809998,67.709999,65.769997,67.300003,50.193718,1403800,0.023107,0.009636,0.152969,0.009649,0.495497,
2012-09-28,66.970001,67.459999,66.550003,67.050003,50.007256,959300,-0.003715,0.009743,0.154670,-0.004478,0.528384,
