Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,382.799988,387.000000,380.140015,383.579987,383.579987,687400,,,,,,
2012-02-22,383.000000,386.730011,381.119995,384.950012,384.950012,403500,0.003572,,,-0.003340,,0.909681
2012-02-23,383.649994,387.750000,383.500000,386.799988,386.799988,332200,0.004806,,,0.004272,,
2012-02-24,387.760010,387.989990,384.850006,387.420013,387.420013,311200,0.001603,,,0.001672,,
2012-02-27,385.940002,390.410004,385.209991,388.890015,388.890015,344600,0.003794,,,0.001355,,
2012-02-28,389.600006,392.350006,387.510010,391.959991,391.959991,356600,0.007894,,,0.003356,,
2012-02-29,390.899994,392.000000,387.339996,390.220001,390.220001,355100,-0.004439,,,-0.004737,,
2012-03-01,391.850006,394.750000,388.000000,394.100006,394.100006,387700,0.009943,,,0.006158,,
2012-03-02,393.500000,394.790009,391.980011,394.390015,394.390015,303000,0.000736,,,-0.003246,,
2012-03-05,394.290009,396.640015,391.579987,392.980011,392.980011,376800,-0.003575,,,-0.003870,,
2012-03-06,388.399994,389.489990,386.440002,387.299988,387.299988,531600,-0.014454,,,-0.015370,,
2012-03-07,389.480011,393.480011,387.089996,392.100006,392.100006,299400,0.012394,,,0.006901,,
2012-03-08,393.000000,399.559998,392.230011,398.179993,398.179993,345800,0.015506,,,0.009818,,
2012-03-09,399.100006,400.000000,396.510010,398.119995,398.119995,362400,-0.000151,,,0.003631,,
2012-03-12,398.980011,401.369995,395.660004,397.519989,397.519989,367000,-0.001507,0.007641,0.121304,0.000160,1.029982,
2012-03-13,400.070007,400.070007,396.440002,400.049988,400.049988,307200,0.006364,0.007705,0.122320,0.018132,0.762188,
2012-03-14,400.880005,401.519989,397.649994,400.000000,400.000000,271600,-0.000125,0.007718,0.122526,-0.001196,0.762532,
2012-03-15,400.750000,408.309998,399.589996,407.079987,407.079987,554500,0.017700,0.008720,0.138427,0.005967,0.816692,
2012-03-16,409.769989,410.950012,405.529999,410.910004,410.910004,531700,0.009409,0.008859,0.140630,0.001119,0.811150,
2012-03-19,410.290009,414.230011,407.149994,413.920013,413.920013,376700,0.007325,0.008841,0.140343,0.003974,0.810472,
2012-03-20,411.000000,414.450012,409.269989,412.869995,412.869995,358500,-0.002537,0.008716,0.138361,-0.003001,0.802976,
2012-03-21,413.250000,417.179993,412.970001,416.109985,416.109985,398700,0.007847,0.008625,0.136915,-0.001871,0.761161,
2012-03-22,414.450012,418.809998,413.529999,418.130005,418.130005,477000,0.004855,0.008578,0.136170,-0.007207,0.688906,
2012-03-23,416.709991,417.570007,411.970001,415.510010,415.510010,459900,-0.006266,0.008793,0.139591,0.003109,0.644270,
2012-03-26,417.489990,425.579987,417.000000,424.700012,424.700012,444600,0.022117,0.008300,0.131751,0.013886,0.598471,
2012-03-27,424.820007,426.570007,421.000000,421.369995,421.369995,527500,-0.007841,0.008956,0.142172,-0.002817,0.666705,
2012-03-28,422.239990,424.399994,416.720001,420.089996,420.089996,364300,-0.003038,0.008680,0.137797,-0.004942,0.629356,
2012-03-29,419.109985,421.029999,415.000000,420.619995,420.619995,342000,0.001262,0.008638,0.137127,-0.001608,0.644079,
