Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,74.260002,74.800003,73.400002,73.739998,59.841976,259800,,,,,,
2012-02-22,73.760002,74.110001,73.419998,73.720001,59.825748,360000,-0.000271,,,-0.003340,,0.760932
2012-02-23,73.940002,74.199997,72.959999,73.940002,60.004292,484400,0.002984,,,0.004272,,
2012-02-24,74.269997,74.449997,73.629997,74.019997,60.069214,378200,0.001082,,,0.001672,,
2012-02-27,73.849998,74.389999,73.410004,74.169998,60.190956,315000,0.002027,,,0.001355,,
2012-02-28,74.190002,75.959999,74.150002,75.180000,61.010578,592700,0.013617,,,0.003356,,
2012-02-29,75.480003,75.639999,73.480003,73.599998,59.728367,1020200,-0.021016,,,-0.004737,,
2012-03-01,74.089996,75.970001,73.849998,75.900002,61.594879,892200,0.031250,,,0.006158,,
2012-03-02,75.779999,75.980003,74.849998,75.589996,61.343292,459600,-0.004085,,,-0.003246,,
2012-03-05,75.209999,75.500000,74.360001,74.699997,60.621037,383400,-0.011774,,,-0.003870,,
2012-03-06,73.570000,74.269997,72.160004,72.559998,58.884369,450000,-0.028648,,,-0.015370,,
2012-03-07,73.050003,73.080002,72.089996,73.040001,59.273914,262900,0.006615,,,0.006901,,
2012-03-08,73.709999,74.809998,72.360001,74.779999,60.685978,249800,0.023823,,,0.009818,,
2012-03-09,74.790001,75.110001,73.610001,74.949997,60.823914,290800,0.002273,,,0.003631,,
2012-03-12,74.570000,75.099998,74.570000,74.970001,60.840160,359500,0.000267,0.015657,0.248552,0.000160,2.019884,
2012-03-13,75.129997,76.860001,75.099998,76.860001,62.373928,674900,0.025210,0.016893,0.268173,0.018132,1.786759,
2012-03-14,76.699997,76.800003,75.629997,75.709999,61.440712,635500,-0.014962,0.017571,0.278937,-0.001196,1.840235,
2012-03-15,75.919998,75.919998,74.550003,75.419998,61.205357,357700,-0.003831,0.017637,0.279971,0.005967,1.773662,
2012-03-16,75.589996,75.760002,74.779999,75.019997,60.880730,410700,-0.005304,0.017728,0.281419,0.001119,1.779529,
2012-03-19,75.300003,75.989998,74.790001,74.959999,60.832039,263500,-0.000800,0.017351,0.275433,0.003974,1.750465,
2012-03-20,74.190002,74.599998,73.849998,74.430000,60.401939,552200,-0.007070,0.016432,0.260843,-0.003001,1.669480,
2012-03-21,74.889999,76.830002,74.680000,76.739998,62.276569,528400,0.031036,0.016401,0.260362,-0.001871,1.393238,
2012-03-22,75.800003,76.820000,75.360001,76.650002,62.203518,456700,-0.001173,0.016351,0.259571,-0.007207,1.300707,
2012-03-23,76.379997,76.860001,76.250000,76.769997,62.300907,417700,0.001566,0.015925,0.252809,0.003109,1.260272,
2012-03-26,76.779999,79.430000,76.779999,79.290001,64.345947,645300,0.032825,0.015265,0.242323,0.013886,1.259178,
2012-03-27,79.389999,79.389999,78.739998,78.919998,64.045670,822500,-0.004667,0.015551,0.246870,-0.002817,1.300264,
2012-03-28,78.500000,78.820000,77.559998,78.190002,63.453274,358700,-0.009250,0.015084,0.239458,-0.004942,1.237749,
2012-03-29,77.610001,78.309998,76.580002,78.220001,63.477619,446500,0.000384,0.015103,0.239748,-0.001608,1.236960,
2012-03-30,78.370003,82.500000,78.360001,82.269997,66.764290,1190700,0.051777,0.019867,0.315376,0.003698,1.350601,
