Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,38.369999,38.490002,38.020000,38.230000,25.680235,5106000,,,,,,
2012-02-22,38.270000,38.680000,38.220001,38.660000,25.969082,6579300,0.011248,,,-0.003340,,0.411530
2012-02-23,38.639999,39.299999,38.529999,38.630001,25.948929,5706100,-0.000776,,,0.004272,,
2012-02-24,38.570000,38.720001,38.000000,38.150002,25.626492,9979200,-0.012426,,,0.001672,,
2012-02-27,38.070000,38.160000,38.000000,38.040001,25.552603,7472200,-0.002883,,,0.001355,,
2012-02-28,37.930000,38.110001,37.759998,38.090000,25.586191,7693300,0.001314,,,0.003356,,
2012-02-29,38.090000,38.520000,38.029999,38.310001,25.733988,4663900,0.005776,,,-0.004737,,
2012-03-01,38.360001,38.419998,37.910000,38.169998,25.639929,6598400,-0.003655,,,0.006158,,
2012-03-02,38.029999,38.389999,38.000000,38.189999,25.653366,5122500,0.000524,,,-0.003246,,
2012-03-05,38.070000,38.880001,38.049999,38.599998,25.928776,5097800,0.010736,,,-0.003870,,
2012-03-06,38.549999,38.669998,38.279999,38.360001,25.767570,3630400,-0.006217,,,-0.015370,,
2012-03-07,38.369999,38.560001,38.279999,38.459999,25.834736,4273700,0.002607,,,0.006901,,
2012-03-08,38.639999,38.680000,38.450001,38.470001,25.841452,3524900,0.000260,,,0.009818,,
2012-03-09,38.470001,38.680000,38.310001,38.580002,25.915350,3280400,0.002860,,,0.003631,,
2012-03-12,38.279999,38.660000,38.189999,38.509998,25.868315,3607200,-0.001815,0.006243,0.099110,0.000160,-0.056508,
2012-03-13,38.619999,38.660000,38.320000,38.590000,25.922064,4762100,0.002078,0.005466,0.086772,0.018132,0.059625,
2012-03-14,38.509998,38.709999,38.369999,38.500000,25.861607,3345600,-0.002332,0.005496,0.087252,-0.001196,0.068816,
2012-03-15,38.400002,38.709999,38.279999,38.689999,25.989231,3577900,0.004935,0.004377,0.069477,0.005967,0.087646,
2012-03-16,38.740002,39.330002,38.650002,38.830002,26.083271,5342700,0.003618,0.004275,0.067866,0.001119,0.082703,
