Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,100.120003,100.750000,100.000000,100.489998,72.388283,4474800,,,,,,
2012-02-22,100.150002,100.750000,100.150002,100.660004,72.510735,3918900,0.001692,,,-0.003340,,0.688695
2012-02-23,100.809998,101.040001,100.400002,100.809998,72.618774,4166500,0.001490,,,0.004272,,
2012-02-24,100.760002,100.760002,100.050003,100.320000,72.265839,3661800,-0.004860,,,0.001672,,
2012-02-27,100.029999,100.750000,99.500000,100.360001,72.294624,4044500,0.000398,,,0.001355,,
2012-02-28,99.769997,100.099998,99.500000,99.779999,72.381676,4365800,0.001204,,,0.003356,,
2012-02-29,99.860001,99.879997,99.260002,99.279999,72.018990,5461000,-0.005011,,,-0.004737,,
2012-03-01,99.279999,99.680000,99.139999,99.250000,71.997208,4086100,-0.000302,,,0.006158,,
2012-03-02,99.269997,99.639999,98.959999,99.500000,72.178551,4311700,0.002519,,,-0.003246,,
2012-03-05,99.419998,100.349998,98.839996,99.940002,72.497726,6313200,0.004422,,,-0.003870,,
2012-03-06,99.180000,100.199997,99.099998,99.889999,72.461472,6713900,-0.000500,,,-0.015370,,
2012-03-07,100.000000,100.440002,99.540001,100.180000,72.671860,5873500,0.002903,,,0.006901,,
2012-03-08,97.000000,97.650002,96.459999,96.959999,70.336014,16841200,-0.032142,,,0.009818,,
2012-03-09,97.449997,97.599998,96.529999,96.839996,70.248947,7808700,-0.001238,,,0.003631,,
2012-03-12,97.050003,97.480003,96.580002,96.660004,70.118393,4503100,-0.001858,0.009023,0.143228,0.000160,-0.505421,
2012-03-13,96.989998,97.290001,96.370003,96.779999,70.205444,6350900,0.001241,0.009008,0.143001,0.018132,-0.244454,
2012-03-14,96.690002,97.440002,96.680000,97.290001,70.575394,7209100,0.005270,0.009184,0.145798,-0.001196,-0.280250,
2012-03-15,97.150002,98.190002,97.150002,98.040001,71.119461,5768200,0.007709,0.009492,0.150683,0.005967,-0.229904,
2012-03-16,98.419998,98.550003,97.570000,97.660004,70.843803,7337000,-0.003876,0.009509,0.150951,0.001119,-0.226295,
2012-03-19,97.360001,98.099998,97.320000,97.730003,70.894585,4634500,0.000717,0.009500,0.150802,0.003974,-0.224973,
2012-03-20,97.459999,97.849998,97.070000,97.650002,70.836533,4757100,-0.000819,0.009444,0.149923,-0.003001,-0.263242,
2012-03-21,97.529999,97.820000,96.720001,96.720001,70.161919,6038600,-0.009524,0.009700,0.153975,-0.001871,-0.236082,
2012-03-22,96.129997,96.480003,95.769997,95.800003,69.494537,7721200,-0.009512,0.009820,0.155885,-0.007207,-0.127430,
2012-03-23,95.910004,95.940002,95.129997,95.550003,69.313187,6041500,-0.002610,0.009607,0.152513,0.003109,-0.085949,
2012-03-26,96.160004,97.029999,96.099998,96.970001,70.343269,5644100,0.014861,0.010744,0.170562,0.013886,0.242706,
2012-03-27,97.290001,97.830002,97.070000,97.339996,70.611641,4877500,0.003815,0.010780,0.171120,-0.002817,0.153040,
2012-03-28,97.519997,97.839996,97.059998,97.080002,70.423065,5055400,-0.002671,0.006447,0.102341,-0.004942,0.500199,
2012-03-29,96.949997,97.699997,96.930000,97.639999,70.829315,4103600,0.005769,0.006604,0.104842,-0.001608,0.469968,
2012-03-30,97.879997,98.250000,97.760002,98.099998,71.162971,4429500,0.004711,0.006649,0.105549,0.003698,0.473411,
2012-04-02,97.820000,98.809998,97.680000,98.360001,71.351578,4603000,0.002650,0.006662,0.105761,0.007505,0.768477,
2012-04-03,98.309998,99.410004,98.300003,99.400002,72.106026,5422200,0.010574,0.007052,0.111952,-0.003989,0.649174,
2012-04-04,98.250000,98.570000,97.150002,97.480003,70.713203,7768300,-0.019316,0.008736,0.138685,-0.010203,0.858372,
2012-04-05,97.129997,98.660004,97.070000,98.620003,71.540199,5469400,0.011695,0.009233,0.146572,-0.000629,0.862801,
2012-04-09,97.739998,99.500000,97.639999,98.879997,71.728798,6712700,0.002636,0.009247,0.146793,-0.011358,0.706471,
2012-04-10,98.779999,98.779999,97.309998,97.669998,70.851051,7581600,-0.012237,0.009889,0.156987,-0.017081,0.725568,
2012-04-11,98.290001,98.730003,97.500000,98.559998,71.496689,6366600,0.009113,0.009753,0.154829,0.007449,0.736810,
2012-04-12,98.720001,98.750000,97.349998,97.639999,70.829315,5763900,-0.009334,0.009738,0.154588,0.013779,0.423948,
2012-04-13,97.519997,97.800003,96.959999,96.970001,70.343269,5223700,-0.006862,0.009937,0.157748,-0.012475,0.465554,
2012-04-16,97.089996,97.900002,96.320000,96.580002,70.060364,6236300,-0.004022,0.009178,0.145701,-0.000504,0.360189,
2012-04-17,96.919998,97.580002,96.910004,97.110001,70.444832,7592700,0.005488,0.009246,0.146775,0.015487,0.351180,
2012-04-18,97.019997,97.980003,97.019997,97.339996,70.611641,5388700,0.002368,0.009237,0.146640,-0.004055,0.339860,
2012-04-19,97.160004,97.239998,94.129997,95.279999,69.117317,13939100,-0.021163,0.010686,0.169637,-0.005934,0.406853,
2012-04-20,96.910004,97.769997,95.650002,95.940002,69.596100,11021200,0.006927,0.010804,0.171509,0.001169,0.405516,
2012-04-23,95.779999,95.930000,94.849998,95.190002,69.052025,5217500,-0.007818,0.010854,0.172306,-0.008408,0.417999,
2012-04-24,95.010002,95.449997,94.150002,94.589996,68.616798,6223800,-0.006303,0.010236,0.162495,0.003680,0.407736,
2012-04-25,95.150002,95.239998,94.779999,95.220001,69.073792,5699600,0.006660,0.009472,0.150366,0.013645,0.357386,
2012-04-26,94.940002,96.070000,94.940002,95.830002,69.516319,4741200,0.006407,0.008993,0.142762,0.006680,0.386752,
2012-04-27,96.230003,97.529999,95.800003,97.379997,70.640724,7373300,0.016175,0.010181,0.161614,0.002414,0.487614,
2012-04-30,97.610001,97.750000,97.089996,97.449997,70.691490,4507200,0.000719,0.009660,0.153355,-0.003884,0.432637,
2012-05-01,97.230003,98.010002,97.129997,97.199997,70.510117,5297900,-0.002566,0.009300,0.147627,0.005658,0.381710,
2012-05-02,96.900002,97.709999,96.900002,97.510002,70.734978,4348300,0.003189,0.009030,0.143342,-0.002497,0.555665,
2012-05-03,97.470001,97.580002,96.790001,97.040001,70.394058,3935200,-0.004820,0.008927,0.141715,-0.007659,0.572475,
2012-05-04,96.849998,96.849998,95.750000,95.870003,69.545326,4688500,-0.012057,0.009455,0.150086,-0.016147,0.593715,
2012-05-07,95.730003,96.029999,95.199997,95.510002,69.284172,5089700,-0.003755,0.009327,0.148064,0.000351,0.669941,
2012-05-08,93.900002,94.870003,92.970001,93.550003,67.862373,12379500,-0.020521,0.010585,0.168034,-0.004279,0.760363,
2012-05-09,92.989998,93.089996,91.559998,91.930000,66.687187,8975700,-0.017317,0.010111,0.160502,-0.006702,0.743031,
2012-05-10,92.699997,92.730003,91.730003,91.870003,66.643684,7129500,-0.000652,0.009764,0.154994,0.002517,0.717438,
2012-05-11,91.690002,92.599998,91.669998,91.900002,66.665436,5366500,0.000326,0.009700,0.153983,-0.003387,0.708240,
2012-05-14,91.540001,91.690002,90.660004,90.879997,65.925507,6050000,-0.011099,0.009928,0.157601,-0.011113,0.762710,
2012-05-15,90.989998,91.739998,90.849998,91.010002,66.019814,4890300,0.001431,0.009639,0.153007,-0.005746,0.822078,
2012-05-16,91.120003,91.690002,90.980003,91.430000,66.324486,4949100,0.004615,0.009512,0.151006,-0.004404,0.791348,
2012-05-17,91.279999,91.580002,89.500000,89.620003,65.011497,9094100,-0.019796,0.008665,0.137553,-0.015051,0.718975,
2012-05-18,90.209999,91.110001,89.690002,89.849998,65.178360,7990700,0.002567,0.008786,0.139481,-0.007388,0.664162,
2012-05-21,90.010002,91.320000,89.889999,91.269997,66.208435,6622500,0.015804,0.010502,0.166717,0.016036,0.866489,
2012-05-22,91.959999,91.959999,91.000000,91.339996,66.259178,5063400,0.000766,0.010386,0.164876,0.000486,0.856389,
2012-05-23,90.970001,91.570000,90.669998,91.480003,66.360748,4236500,0.001533,0.010514,0.166908,0.001694,0.870579,
2012-05-24,91.860001,92.110001,90.830002,91.529999,66.397041,5010000,0.000547,0.010323,0.163878,0.001380,0.935248,
2012-05-25,91.650002,91.800003,90.809998,91.050003,66.048820,3681300,-0.005245,0.010337,0.164088,-0.002166,0.947408,
2012-05-29,91.410004,91.730003,90.260002,90.900002,65.940048,5380300,-0.001647,0.009081,0.144152,0.011079,0.736149,
2012-05-30,90.400002,90.519997,89.849998,90.110001,65.366943,5375600,-0.008691,0.008214,0.130387,-0.014335,0.650664,
2012-05-31,89.889999,90.260002,89.260002,89.339996,65.315765,6816400,-0.000783,0.008213,0.130373,-0.002277,0.662928,
2012-06-01,87.470001,88.129997,86.500000,86.709999,63.392998,10832500,-0.029438,0.011082,0.175914,-0.024643,0.824891,
2012-06-04,86.599998,86.779999,86.010002,86.320000,63.107857,7035200,-0.004498,0.010873,0.172607,0.000110,0.807857,
2012-06-05,86.220001,87.410004,86.010002,87.080002,63.663502,7237300,0.008805,0.011279,0.179042,0.005727,0.843111,
2012-06-06,87.919998,88.660004,87.440002,88.660004,64.818611,5936000,0.018144,0.012456,0.197736,0.023049,0.833185,
2012-06-07,89.599998,89.779999,88.010002,88.379997,64.613922,8321500,-0.003158,0.011326,0.179788,-0.000106,0.792910,
2012-06-08,86.400002,88.269997,85.919998,87.750000,64.153313,12060100,-0.007129,0.011428,0.181408,0.008114,0.795549,
2012-06-11,88.980003,89.050003,86.589996,86.589996,63.305267,9511900,-0.013219,0.010743,0.170539,-0.012620,0.754299,
2012-06-12,87.000000,87.589996,86.669998,87.510002,63.977859,7762000,0.010625,0.011326,0.179798,0.011651,0.776694,
2012-06-13,86.949997,88.940002,86.879997,87.970001,64.314163,8838500,0.005257,0.011470,0.182073,-0.007023,0.727645,
2012-06-14,88.489998,89.919998,88.120003,89.720001,65.593559,7646300,0.019893,0.012899,0.204763,0.010815,0.790388,
2012-06-15,90.139999,90.760002,89.730003,90.500000,66.163818,9516800,0.008694,0.013066,0.207410,0.010338,0.791430,
2012-06-18,90.599998,90.620003,89.919998,90.239998,65.973755,6343400,-0.002873,0.013083,0.207687,0.001445,0.838595,
2012-06-19,89.970001,90.250000,89.209999,89.599998,65.505821,7601600,-0.007093,0.013007,0.206480,0.009816,0.821882,
2012-06-20,89.589996,89.669998,88.160004,88.650002,64.811295,7917500,-0.010603,0.013327,0.211555,-0.001686,0.844935,
2012-06-21,89.089996,89.150002,87.529999,87.639999,64.072914,5762200,-0.011393,0.010975,0.174218,-0.022262,0.622527,
2012-06-22,88.190002,88.589996,87.980003,88.349998,64.591988,5325400,0.008101,0.011022,0.174964,0.007175,0.625807,
2012-06-25,88.000000,88.330002,87.699997,88.120003,64.423836,4524400,-0.002603,0.010878,0.172686,-0.015955,0.546863,
2012-06-26,88.570000,89.430000,88.550003,89.099998,65.140320,4488500,0.011121,0.010160,0.161289,0.004773,0.506434,
2012-06-27,89.260002,89.500000,88.040001,88.330002,64.577354,5940300,-0.008642,0.010411,0.165264,0.008985,0.441410,
2012-06-28,88.019997,88.260002,87.379997,88.180000,64.467690,4922600,-0.001698,0.010224,0.162296,-0.002110,0.490561,
2012-06-29,89.080002,89.190002,88.059998,88.529999,64.723572,6364700,0.003969,0.009467,0.150280,0.024920,0.338656,
2012-07-02,88.410004,88.410004,87.650002,88.080002,64.394585,5088100,-0.005083,0.009246,0.146781,0.002459,0.310451,
2012-07-03,88.209999,88.730003,87.949997,88.580002,64.760132,4597000,0.005677,0.009264,0.147055,0.006232,0.359114,
2012-07-05,88.790001,89.980003,88.699997,89.300003,65.286522,5794300,0.008128,0.007788,0.123638,-0.004687,0.244437,
2012-07-06,89.220001,89.930000,89.110001,89.660004,65.549728,4533200,0.004032,0.007467,0.118536,-0.009433,0.171137,
2012-07-09,89.639999,89.949997,89.330002,89.800003,65.652100,3785000,0.001562,0.007459,0.118410,-0.001639,0.169452,
2012-07-10,90.029999,90.870003,89.650002,90.250000,65.981056,6615500,0.005011,0.007314,0.116108,-0.008126,0.190463,
2012-07-11,90.680000,90.809998,89.000000,89.529999,65.454681,6230300,-0.007978,0.007035,0.111674,-0.000015,0.181553,
2012-07-12,89.269997,92.500000,89.190002,91.930000,67.209290,11741900,0.026806,0.009082,0.144167,-0.004987,-0.057123,
2012-07-13,92.269997,92.690002,92.070000,92.290001,67.472473,6163500,0.003916,0.008985,0.142639,0.016497,-0.062204,
2012-07-16,92.150002,92.269997,91.500000,91.650002,67.004585,3601300,-0.006935,0.009269,0.147144,-0.002314,-0.123816,
2012-07-17,91.989998,92.349998,91.209999,91.889999,67.180046,3753800,0.002619,0.008959,0.142218,0.007410,-0.137904,
2012-07-18,91.440002,92.230003,91.000000,92.220001,67.421310,5962700,0.003591,0.008394,0.133258,0.006680,-0.078273,
2012-07-19,92.589996,93.320000,92.050003,92.760002,67.816101,7430800,0.005856,0.008304,0.131815,0.002717,-0.097159,
2012-07-20,92.089996,92.290001,91.400002,91.580002,66.953400,7269800,-0.012721,0.009383,0.148950,-0.010062,0.045554,
2012-07-23,89.220001,89.849998,88.250000,88.940002,65.023346,12127900,-0.028827,0.012485,0.198193,-0.008909,0.365868,
2012-07-24,89.160004,89.470001,87.620003,88.059998,64.379959,7036800,-0.009895,0.012706,0.201695,-0.009041,0.407226,
2012-07-25,88.360001,88.459999,87.839996,88.040001,64.365318,4262200,-0.000227,0.012471,0.197972,-0.000314,0.442112,
2012-07-26,89.190002,89.470001,88.589996,89.000000,65.067207,4517500,0.010905,0.012813,0.203392,0.016541,0.568378,
2012-07-27,89.339996,89.690002,88.650002,89.190002,65.206070,5932500,0.002134,0.012820,0.203517,0.019081,0.468697,
2012-07-30,89.320000,89.669998,89.120003,89.330002,65.308456,4431600,0.001570,0.012741,0.202259,-0.000483,0.544277,
2012-07-31,89.110001,89.760002,88.809998,89.360001,65.330376,4596900,0.000336,0.012566,0.199482,-0.004317,0.512638,
2012-08-01,89.489998,89.849998,89.300003,89.430000,65.381554,4133600,0.000783,0.009935,0.157719,-0.002900,0.663552,
2012-08-02,89.070000,89.690002,88.559998,89.589996,65.498528,4332700,0.001789,0.009855,0.156447,-0.007504,0.651289,
2012-08-03,90.169998,90.360001,89.290001,89.589996,65.498528,4873000,0.000000,0.009766,0.155029,0.019040,0.518923,
2012-08-06,89.769997,90.430000,89.500000,89.690002,65.571648,3490200,0.001116,0.009724,0.154370,0.002329,0.515512,
2012-08-07,89.709999,90.120003,88.970001,89.010002,65.074486,5341900,-0.007582,0.009717,0.154246,0.005107,0.487484,
2012-08-08,86.870003,87.980003,86.150002,87.529999,63.992481,14424800,-0.016627,0.010083,0.160068,0.000621,0.487392,
2012-08-09,87.580002,87.959999,87.089996,87.150002,63.714672,6023500,-0.004341,0.009776,0.155182,0.000414,0.462556,
2012-08-10,87.250000,88.230003,87.199997,88.199997,64.482323,5747400,0.012048,0.007455,0.118341,0.002188,0.251983,
