Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,38.639999,38.810001,38.310001,38.570000,19.993202,16394500,,,,,,
2012-02-22,38.439999,38.599998,37.869999,37.990002,19.692553,12134000,-0.015038,,,-0.003340,,0.742126
2012-02-23,37.889999,38.130001,37.860001,37.980000,19.687374,7668900,-0.000263,,,0.004272,,
2012-02-24,37.990002,38.080002,37.770000,37.880001,19.635536,7730700,-0.002633,,,0.001672,,
2012-02-27,37.529999,38.200001,37.520000,37.910000,19.651087,8254100,0.000792,,,0.001355,,
2012-02-28,38.020000,38.200001,37.810001,38.000000,19.697731,7107400,0.002374,,,0.003356,,
2012-02-29,38.040001,38.169998,37.840000,38.070000,19.734030,8322800,0.001843,,,-0.004737,,
2012-03-01,38.080002,38.169998,37.919998,38.009998,19.702929,6536500,-0.001576,,,0.006158,,
2012-03-02,38.009998,38.340000,37.959999,38.250000,19.827324,7349000,0.006314,,,-0.003246,,
2012-03-05,38.209999,38.490002,38.200001,38.349998,19.879166,7836900,0.002615,,,-0.003870,,
2012-03-06,38.189999,38.520000,38.150002,38.270000,19.837698,11427300,-0.002086,,,-0.015370,,
2012-03-07,37.889999,37.990002,37.580002,37.830002,19.609613,10982200,-0.011498,,,0.006901,,
2012-03-08,38.049999,38.110001,37.849998,37.910000,19.651087,7471100,0.002115,,,0.009818,,
2012-03-09,37.910000,37.980000,37.799999,37.950001,19.671818,5986400,0.001055,,,0.003631,,
2012-03-12,37.950001,38.240002,37.830002,38.119999,19.759939,5409900,0.004480,0.005849,0.092851,0.000160,-0.020886,
2012-03-13,38.340000,38.560001,38.259998,38.520000,19.967279,6907600,0.010493,0.004993,0.079264,0.018132,0.111699,
2012-03-14,38.560001,38.610001,38.090000,38.169998,19.785852,8008900,-0.009086,0.005675,0.090093,-0.001196,0.148730,
2012-03-15,38.130001,38.299999,37.990002,38.299999,19.853243,8144100,0.003406,0.005659,0.089832,0.005967,0.158698,
2012-03-16,38.450001,38.560001,38.110001,38.380001,19.894707,13560700,0.002089,0.005669,0.089997,0.001119,0.157446,
2012-03-19,38.340000,38.500000,38.259998,38.349998,19.879166,6736500,-0.000781,0.005669,0.089988,0.003974,0.150782,
2012-03-20,38.189999,38.509998,38.169998,38.349998,19.879166,6165300,0.000000,0.005661,0.089862,-0.003001,0.168139,
2012-03-21,38.310001,38.480000,38.169998,38.310001,19.858431,5101600,-0.001043,0.005647,0.089647,-0.001871,0.187345,
2012-03-22,38.230000,38.349998,38.060001,38.209999,19.806591,5664500,-0.002610,0.005450,0.086516,-0.007207,0.234075,
2012-03-23,38.259998,38.340000,38.119999,38.250000,19.827324,5424500,0.001047,0.005407,0.085829,0.003109,0.260532,
2012-03-26,38.380001,38.630001,38.360001,38.630001,20.024303,5980100,0.009935,0.006001,0.095268,0.013886,0.449510,
2012-03-27,38.650002,38.669998,38.320000,38.360001,19.884346,8586100,-0.006989,0.005387,0.085511,-0.002817,0.564610,
2012-03-28,38.080002,38.230000,37.900002,37.970001,19.832117,9181600,-0.002627,0.005460,0.086680,-0.004942,0.585194,
2012-03-29,37.919998,38.009998,37.689999,37.810001,19.748549,8310100,-0.004214,0.005611,0.089075,-0.001608,0.599075,
2012-03-30,37.869999,38.259998,37.840000,38.009998,19.853010,8396300,0.005290,0.005662,0.089875,0.003698,0.621712,
2012-04-02,38.049999,38.490002,38.029999,38.380001,20.046267,8850300,0.009734,0.005560,0.088258,0.007505,0.730386,
2012-04-03,38.439999,38.470001,38.220001,38.290001,19.999260,9606900,-0.002345,0.004942,0.078456,-0.003989,0.679240,
2012-04-04,38.139999,38.369999,38.119999,38.220001,19.962690,6919700,-0.001829,0.004926,0.078200,-0.010203,0.588382,
2012-04-05,38.099998,38.160000,37.820000,38.040001,19.868679,7630700,-0.004709,0.005080,0.080642,-0.000629,0.589105,
2012-04-09,37.740002,37.860001,37.560001,37.590000,19.633638,5726500,-0.011830,0.005976,0.094869,-0.011358,0.691294,
2012-04-10,37.500000,37.570000,37.000000,37.020000,19.335922,11253100,-0.015164,0.007079,0.112371,-0.017081,0.735921,
2012-04-11,37.230000,37.320000,36.750000,36.869999,19.257580,16925900,-0.004052,0.007095,0.112623,0.007449,0.643735,
2012-04-12,36.910000,37.160000,36.849998,37.139999,19.398598,10981000,0.007323,0.007530,0.119541,0.013779,0.648665,
2012-04-13,37.099998,37.509998,37.099998,37.349998,19.508280,8400600,0.005654,0.007746,0.122962,-0.012475,0.514724,
2012-04-16,37.439999,37.720001,37.299999,37.580002,19.628416,7513700,0.006158,0.007388,0.117287,-0.000504,0.486038,
2012-04-17,37.810001,38.540001,37.740002,38.480000,20.098499,11345400,0.023949,0.009816,0.155825,0.015487,0.673764,
2012-04-18,38.320000,38.419998,38.169998,38.240002,19.973141,8007500,-0.006237,0.009960,0.158105,-0.004055,0.682958,
2012-04-19,38.340000,38.369999,38.049999,38.200001,19.952248,8440300,-0.001046,0.009879,0.156819,-0.005934,0.675199,
2012-04-20,38.240002,38.759998,38.240002,38.540001,20.129833,7208600,0.008901,0.010051,0.159558,0.001169,0.684243,
2012-04-23,38.200001,38.290001,37.880001,37.990002,19.842566,6264900,-0.014271,0.010491,0.166542,-0.008408,0.713461,
2012-04-24,38.150002,38.529999,38.090000,38.360001,20.035812,7131100,0.009739,0.010835,0.172000,0.003680,0.736544,
2012-04-25,38.570000,38.880001,38.509998,38.740002,20.234301,10149700,0.009907,0.011118,0.176485,0.013645,0.739915,
2012-04-26,38.669998,39.090000,38.639999,39.000000,20.370094,6396200,0.006711,0.011083,0.175945,0.006680,0.737409,
2012-04-27,39.160000,39.540001,39.150002,39.400002,20.579031,9271500,0.010257,0.010547,0.167431,0.002414,0.702747,
2012-04-30,39.750000,39.930000,39.570000,39.869999,20.824505,13825600,0.011928,0.009286,0.147408,-0.003884,0.544552,
2012-05-01,39.770000,39.990002,39.669998,39.759998,20.767048,9522200,-0.002759,0.009191,0.145904,0.005658,0.574919,
2012-05-02,39.730000,39.919998,39.610001,39.700001,20.735712,12610800,-0.001509,0.009354,0.148487,-0.002497,0.671348,
2012-05-03,39.529999,39.720001,39.349998,39.590000,20.678255,9932500,-0.002771,0.009564,0.151827,-0.007659,0.874381,
2012-05-04,39.290001,39.779999,39.240002,39.250000,20.500669,13304400,-0.008588,0.010129,0.160787,-0.016147,0.823328,
2012-05-07,39.250000,39.480000,39.150002,39.259998,20.505890,12434500,0.000255,0.008179,0.129843,0.000351,0.668801,
2012-05-08,39.150002,39.369999,39.060001,39.169998,20.458899,12279300,-0.002292,0.007959,0.126338,-0.004279,0.653750,
2012-05-09,38.860001,39.139999,38.840000,38.869999,20.302195,10485200,-0.007659,0.008325,0.132154,-0.006702,0.695520,
2012-05-10,39.029999,39.209999,38.869999,39.060001,20.401434,8234200,0.004888,0.008108,0.128717,0.002517,0.683175,
2012-05-11,38.959999,39.259998,38.930000,39.040001,20.390995,8036600,-0.000512,0.006853,0.108793,-0.003387,0.581194,
2012-05-14,38.860001,39.259998,38.799999,39.040001,20.390995,10892500,0.000000,0.006489,0.103006,-0.011113,0.496959,
2012-05-15,39.090000,39.200001,38.759998,38.820000,20.276089,7439900,-0.005635,0.006222,0.098778,-0.005746,0.507308,
2012-05-16,38.869999,38.919998,38.610001,38.610001,20.166397,8115700,-0.005410,0.006083,0.096570,-0.004404,0.484735,
2012-05-17,38.549999,38.720001,38.330002,38.349998,20.030594,7248900,-0.006734,0.005384,0.085465,-0.015051,0.377340,
2012-05-18,38.419998,38.790001,38.349998,38.490002,20.103722,13789000,0.003651,0.004031,0.063996,-0.007388,0.313816,
2012-05-21,38.630001,38.750000,38.369999,38.590000,20.155956,7679400,0.002598,0.004254,0.067523,0.016036,0.310208,
2012-05-22,38.590000,38.889999,38.520000,38.810001,20.270859,9781600,0.005701,0.004742,0.075277,0.000486,0.343984,
2012-05-23,38.669998,38.900002,38.290001,38.400002,20.056705,11000000,-0.010565,0.005312,0.084330,0.001694,0.277269,
2012-05-24,38.369999,38.730000,38.360001,38.689999,20.208172,8102700,0.007552,0.005557,0.088211,0.001380,0.270527,
2012-05-25,38.650002,38.709999,38.439999,38.570000,20.145502,6783400,-0.003101,0.005570,0.088426,-0.002166,0.267181,
2012-05-29,38.730000,38.830002,38.470001,38.650002,20.187290,6341100,0.002074,0.005629,0.089365,0.011079,0.256769,
2012-05-30,38.310001,38.480000,38.230000,38.410000,20.061934,6122500,-0.006210,0.005508,0.087443,-0.014335,0.254251,
2012-05-31,38.369999,38.490002,38.209999,38.270000,19.988806,9231400,-0.003645,0.005294,0.084044,-0.002277,0.232469,
2012-06-01,37.990002,38.090000,37.560001,37.570000,19.623192,8601300,-0.018291,0.006932,0.110044,-0.024643,0.382564,
2012-06-04,37.470001,37.720001,37.400002,37.650002,19.664982,6483200,0.002130,0.007019,0.111425,0.000110,0.419098,
2012-06-05,37.529999,37.700001,37.279999,37.599998,19.638863,7592000,-0.001328,0.006968,0.110619,0.005727,0.400453,
2012-06-06,37.689999,37.980000,37.669998,37.980000,19.837343,7809000,0.010106,0.007630,0.121130,0.023049,0.411051,
2012-06-07,38.299999,38.450001,38.000000,38.150002,19.926138,9315200,0.004476,0.007587,0.120443,-0.000106,0.416038,
2012-06-08,38.230000,38.330002,38.169998,38.240002,19.973141,8430300,0.002359,0.007543,0.119734,0.008114,0.449618,
2012-06-11,38.419998,38.570000,38.119999,38.139999,19.920906,6874900,-0.002615,0.007510,0.119212,-0.012620,0.452299,
2012-06-12,38.290001,38.500000,38.200001,38.389999,20.051487,8035500,0.006555,0.007570,0.120168,0.011651,0.460773,
2012-06-13,38.349998,38.570000,38.180000,38.439999,20.077599,6975200,0.001302,0.007032,0.111623,-0.007023,0.450859,
2012-06-14,38.570000,38.880001,38.490002,38.720001,20.223845,9675400,0.007284,0.007010,0.111281,0.010815,0.457003,
2012-06-15,38.950001,39.139999,38.639999,38.639999,20.182060,12630400,-0.002066,0.006979,0.110794,0.010338,0.426719,
2012-06-18,38.709999,39.209999,38.700001,38.980000,20.359648,9345200,0.008799,0.007344,0.116578,0.001445,0.441591,
2012-06-19,39.029999,39.150002,38.810001,39.000000,20.370094,7649100,0.000513,0.007077,0.112341,0.009816,0.427720,
2012-06-20,38.939999,39.150002,38.740002,39.020000,20.380537,10588600,0.000513,0.006948,0.110294,-0.001686,0.418641,
2012-06-21,39.090000,39.320000,38.750000,38.799999,20.265627,27166700,-0.005638,0.004621,0.073364,-0.022262,0.250774,
2012-06-22,38.869999,38.970001,38.750000,38.849998,20.291744,13035100,0.001289,0.004630,0.073491,0.007175,0.246738,
2012-06-25,38.650002,38.700001,38.360001,38.610001,20.166397,6875500,-0.006177,0.005078,0.080607,-0.015955,0.281630,
2012-06-26,38.610001,38.689999,37.740002,37.759998,19.722431,11668700,-0.022015,0.007679,0.121898,0.004773,0.192574,
2012-06-27,37.709999,37.709999,37.320000,37.410000,19.690847,9174900,-0.001601,0.007554,0.119908,0.008985,0.181839,
2012-06-28,37.290001,37.750000,37.099998,37.700001,19.843491,7302100,0.007752,0.007860,0.124766,-0.002110,0.160906,
2012-06-29,38.099998,38.619999,37.919998,38.619999,20.327742,10282700,0.024404,0.010240,0.162556,0.024920,0.379903,
2012-07-02,38.320000,38.900002,38.259998,38.880001,20.464588,8676100,0.006732,0.010247,0.162665,0.002459,0.373382,
2012-07-03,38.849998,39.299999,38.770000,39.209999,20.638288,8443900,0.008488,0.010414,0.165325,0.006232,0.401083,
2012-07-05,39.180000,39.490002,39.070000,39.070000,20.564596,7290100,-0.003571,0.010396,0.165039,-0.004687,0.399780,
2012-07-06,39.049999,39.200001,38.880001,38.980000,20.517218,6091000,-0.002304,0.010403,0.165135,-0.009433,0.426777,
2012-07-09,38.919998,39.049999,38.790001,39.029999,20.543539,7043700,0.001283,0.010173,0.161493,-0.001639,0.421879,
2012-07-10,39.299999,39.740002,39.209999,39.410000,20.743549,13837600,0.009736,0.010455,0.165975,-0.008126,0.396536,
2012-07-11,39.400002,39.590000,39.220001,39.369999,20.722496,8365200,-0.001015,0.010473,0.166251,-0.000015,0.395320,
2012-07-12,39.029999,39.189999,38.959999,39.110001,20.585646,8213400,-0.006604,0.010525,0.167074,-0.004987,0.457565,
2012-07-13,39.070000,39.750000,39.029999,39.709999,20.901457,7095300,0.015341,0.011186,0.177573,0.016497,0.529641,
2012-07-16,39.919998,39.939999,39.419998,39.580002,20.833044,7759500,-0.003273,0.011045,0.175338,-0.002314,0.562075,
2012-07-17,39.750000,39.990002,39.430000,39.799999,20.948839,6843300,0.005558,0.008533,0.135455,0.007410,0.610011,
2012-07-18,39.750000,40.009998,39.689999,39.970001,21.038309,9725000,0.004271,0.008360,0.132716,0.006680,0.654551,
2012-07-19,40.090000,40.290001,39.880001,40.200001,21.159376,14520300,0.005755,0.008322,0.132116,0.002717,0.677035,
2012-07-20,40.040001,40.259998,39.580002,40.160000,21.138323,48384700,-0.000995,0.006170,0.097947,-0.010062,0.522508,
2012-07-23,39.610001,39.619999,39.029999,39.200001,20.633024,15557800,-0.023904,0.009308,0.147766,-0.008909,0.717883,
2012-07-24,39.310001,39.349998,38.880001,39.020000,20.538282,10375800,-0.004592,0.009113,0.144664,-0.009041,0.685092,
2012-07-25,39.189999,39.189999,37.150002,38.840000,20.443529,8508700,-0.004613,0.009146,0.145186,-0.000314,0.673031,
2012-07-26,39.439999,39.799999,39.279999,39.380001,20.727766,11258400,0.013904,0.009880,0.156844,0.016541,0.724605,
2012-07-27,39.820000,39.849998,39.380001,39.419998,20.748823,13683400,0.001016,0.009879,0.156832,0.019081,0.555730,
2012-07-30,39.580002,39.689999,39.450001,39.500000,20.790924,12186900,0.002029,0.009550,0.151599,-0.000483,0.667755,
2012-07-31,39.400002,39.770000,39.209999,39.709999,20.901457,10699300,0.005316,0.009637,0.152984,-0.004317,0.622495,
