Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,18.990000,19.030001,18.760000,18.790001,15.150167,2740600,,,,,,
2012-02-22,18.700001,18.879999,18.660000,18.690001,15.069540,2514300,-0.005322,,,-0.003340,,0.659333
2012-02-23,18.719999,18.910000,18.500000,18.860001,15.206613,3128800,0.009096,,,0.004272,,
2012-02-24,18.870001,19.129999,18.870001,18.990000,15.311425,2417100,0.006893,,,0.001672,,
2012-02-27,18.940001,19.250000,18.930000,19.139999,15.432367,2806200,0.007899,,,0.001355,,
2012-02-28,19.129999,19.330000,19.080000,19.080000,15.416213,2778000,-0.001047,,,0.003356,,
2012-02-29,19.059999,19.209999,18.850000,18.910000,15.278853,3957900,-0.008910,,,-0.004737,,
2012-03-01,18.930000,19.129999,18.709999,19.000000,15.351570,4507800,0.004759,,,0.006158,,
2012-03-02,18.940001,19.700001,18.920000,19.430000,15.699004,5995900,0.022632,,,-0.003246,,
2012-03-05,19.360001,19.490000,19.260000,19.389999,15.666686,3594700,-0.002059,,,-0.003870,,
2012-03-06,19.299999,19.490000,19.030001,19.180000,15.497011,5221300,-0.010830,,,-0.015370,,
2012-03-07,19.170000,19.610001,19.120001,19.549999,15.795963,4235400,0.019291,,,0.006901,,
2012-03-08,19.670000,19.850000,19.520000,19.650000,15.876756,4012000,0.005115,,,0.009818,,
2012-03-09,19.670000,19.959999,19.520000,19.860001,16.046436,4441500,0.010687,,,0.003631,,
2012-03-12,19.820000,19.879999,19.650000,19.670000,15.892917,2446300,-0.009567,0.010351,0.164320,0.000160,0.792475,
2012-03-13,19.730000,19.990000,19.620001,19.969999,16.135315,3391100,0.015252,0.010466,0.166145,0.018132,0.694842,
2012-03-14,19.910000,19.990000,19.610001,19.650000,15.876756,3768400,-0.016024,0.011771,0.186865,-0.001196,0.748861,
2012-03-15,19.700001,19.850000,19.559999,19.690001,15.909074,3538500,0.002036,0.011724,0.186114,0.005967,0.728527,
2012-03-16,19.750000,19.940001,19.719999,19.860001,16.046436,4278300,0.008634,0.011750,0.186529,0.001119,0.726174,
2012-03-19,19.790001,19.940001,19.600000,19.770000,15.973711,2307900,-0.004532,0.011876,0.188518,0.003974,0.713425,
2012-03-20,19.680000,19.740000,19.530001,19.620001,15.852522,2344800,-0.007587,0.011782,0.187029,-0.003001,0.700457,
2012-03-21,19.559999,19.650000,19.379999,19.459999,15.723240,2418800,-0.008155,0.012109,0.192227,-0.001871,0.737647,
2012-03-22,19.400000,19.450001,19.270000,19.420000,15.690923,2627200,-0.002055,0.010534,0.167218,-0.007207,0.831230,
2012-03-23,19.459999,19.570000,19.260000,19.480000,15.739406,1970800,0.003090,0.010546,0.167407,0.003109,0.849435,
2012-03-26,19.570000,19.700001,19.410000,19.480000,15.739406,3466500,0.000000,0.010045,0.159464,0.013886,0.801805,
2012-03-27,19.510000,19.709999,19.480000,19.510000,15.763644,3601300,0.001540,0.008596,0.136455,-0.002817,0.662330,
2012-03-28,19.530001,19.590000,19.320000,19.450001,15.715161,2069000,-0.003076,0.008491,0.134788,-0.004942,0.628679,
2012-03-29,19.320000,19.379999,19.070000,19.260000,15.561646,3401500,-0.009769,0.008134,0.129119,-0.001608,0.631165,
2012-03-30,19.299999,19.330000,19.120001,19.150000,15.472767,3751700,-0.005711,0.007926,0.125825,0.003698,0.602414,
2012-04-02,19.180000,19.540001,19.139999,19.440001,15.707088,3241300,0.015144,0.007908,0.125540,0.007505,0.539277,
2012-04-03,19.459999,19.480000,18.980000,19.049999,15.391969,4704000,-0.020062,0.008514,0.135153,-0.003989,0.642911,
2012-04-04,18.940001,19.040001,18.850000,18.990000,15.343490,4291300,-0.003150,0.008429,0.133803,-0.010203,0.510145,
2012-04-05,18.889999,19.040001,18.730000,18.799999,15.189979,5450500,-0.010005,0.007987,0.126788,-0.000629,0.487495,
2012-04-09,18.570000,18.610001,18.290001,18.299999,14.785991,4404300,-0.026596,0.010039,0.159359,-0.011358,0.775069,
2012-04-10,18.299999,18.469999,18.240000,18.250000,14.745591,4255200,-0.002732,0.010043,0.159432,-0.017081,0.512578,
2012-04-11,18.370001,18.430000,18.010000,18.080000,14.608236,4221200,-0.009315,0.010075,0.159937,0.007449,0.422260,
2012-04-12,18.059999,18.260000,17.940001,18.100000,14.624394,3948700,0.001106,0.010186,0.161691,0.013779,0.446669,
2012-04-13,18.100000,18.139999,17.910000,17.930000,14.487039,3383600,-0.009392,0.009970,0.158271,-0.012475,0.412245,
2012-04-16,17.959999,18.030001,17.840000,17.889999,14.454715,2300800,-0.002231,0.009887,0.156948,-0.000504,0.432123,
2012-04-17,17.930000,18.170000,17.860001,18.100000,14.624394,2368000,0.011739,0.010818,0.171736,0.015487,0.557039,
2012-04-18,18.010000,18.059999,17.840000,18.030001,14.567836,3287900,-0.003867,0.010808,0.171571,-0.004055,0.563000,
2012-04-19,18.030001,18.190001,17.830000,17.969999,14.519356,2812800,-0.003328,0.010742,0.170525,-0.005934,0.545303,
2012-04-20,18.000000,18.129999,17.969999,18.049999,14.583992,2216000,0.004452,0.011022,0.174965,0.001169,0.575119,
2012-04-23,17.860001,17.879999,17.610001,17.660000,14.268883,2488900,-0.021606,0.010431,0.165589,-0.008408,0.526738,
2012-04-24,18.200001,18.340000,17.299999,17.930000,14.487039,15382300,0.015289,0.011219,0.178093,0.003680,0.588429,
2012-04-25,18.000000,18.059999,17.700001,17.860001,14.430482,4620300,-0.003904,0.011215,0.178031,0.013645,0.539329,
2012-04-26,17.870001,18.330000,17.790001,18.260000,14.753672,5851900,0.022396,0.013130,0.208429,0.006680,0.632468,
2012-04-27,18.410000,18.500000,18.190001,18.219999,14.721350,3465500,-0.002191,0.011072,0.175758,0.002414,0.480046,
2012-04-30,18.219999,18.270000,17.990000,18.250000,14.745591,2393600,0.001647,0.011058,0.175544,-0.003884,0.581674,
2012-05-01,18.209999,18.440001,18.090000,18.350000,14.826385,3015900,0.005479,0.010798,0.171406,0.005658,0.661416,
2012-05-02,18.250000,18.410000,18.190001,18.330000,14.810226,2541800,-0.001090,0.010814,0.171661,-0.002497,0.782815,
2012-05-03,18.290001,18.350000,18.150000,18.240000,14.737515,3687400,-0.004910,0.010547,0.167424,-0.007659,0.783189,
2012-05-04,18.180000,18.440001,18.000000,18.040001,14.575919,4371400,-0.010965,0.011018,0.174905,-0.016147,0.746741,
2012-05-07,17.700001,18.790001,17.639999,18.629999,15.052620,8181200,0.032705,0.013731,0.217980,0.000351,0.832758,
2012-05-08,18.600000,19.250000,18.559999,19.240000,15.545489,8627000,0.032743,0.015824,0.251196,-0.004279,0.684646,
2012-05-09,19.139999,19.680000,19.110001,19.500000,15.755566,7025200,0.013514,0.015801,0.250840,-0.006702,0.567544,
2012-05-10,19.580000,19.700001,19.480000,19.540001,15.787881,3953400,0.002051,0.015832,0.251327,0.002517,0.548382,
2012-05-11,19.490000,19.770000,19.450001,19.580000,15.820208,3538700,0.002048,0.013817,0.219333,-0.003387,0.319881,
2012-05-14,19.459999,19.530001,19.309999,19.410000,15.682841,3231600,-0.008683,0.014254,0.226273,-0.011113,0.420621,
2012-05-15,19.309999,19.530001,19.260000,19.280001,15.577813,3900900,-0.006697,0.014418,0.228884,-0.005746,0.965079,
2012-05-16,19.299999,19.580000,19.280001,19.480000,15.739406,3276000,0.010373,0.013678,0.217138,-0.004404,0.803402,
2012-05-17,19.440001,19.540001,19.209999,19.209999,15.521255,3413200,-0.013860,0.014465,0.229618,-0.015051,1.154285,
2012-05-18,19.299999,19.379999,19.030001,19.120001,15.448529,4337100,-0.004686,0.014638,0.232369,-0.007388,1.187450,
2012-05-21,19.200001,19.330000,19.040001,19.120001,15.448529,3730200,0.000000,0.014652,0.232595,0.016036,0.601579,
2012-05-22,19.120001,19.389999,19.090000,19.370001,15.650517,4907900,0.013075,0.014833,0.235467,0.000486,0.650463,
2012-05-23,19.270000,19.309999,18.959999,19.139999,15.464684,3825600,-0.011874,0.015267,0.242357,0.001694,0.502044,
2012-05-24,19.200001,19.250000,18.969999,19.040001,15.383894,5019500,-0.005224,0.014920,0.236852,0.001380,0.303107,
2012-05-25,19.100000,19.389999,19.040001,19.320000,15.610125,3393900,0.014706,0.012891,0.204631,-0.002166,0.197768,
2012-05-29,19.379999,19.480000,19.190001,19.459999,15.723240,2912200,0.007246,0.009730,0.154454,0.011079,0.305637,
2012-05-30,19.290001,19.389999,19.219999,19.290001,15.617990,3550200,-0.006694,0.009192,0.145911,-0.014335,0.403566,
2012-05-31,19.290001,19.500000,19.280001,19.370001,15.682753,5223800,0.004147,0.009255,0.146913,-0.002277,0.401776,
2012-06-01,19.150000,19.469999,18.680000,18.680000,15.124110,3527600,-0.035621,0.013138,0.208555,-0.024643,0.741659,
2012-06-04,18.670000,18.750000,18.450001,18.590000,15.051243,2858600,-0.004818,0.013052,0.207199,0.000110,0.731073,
2012-06-05,18.520000,18.639999,18.450001,18.570000,15.035048,2405600,-0.001076,0.013011,0.206549,0.005727,0.699799,
2012-06-06,18.639999,18.870001,18.580000,18.860001,15.269846,3419500,0.015617,0.013476,0.213926,0.023049,0.713537,
2012-06-07,19.020000,19.129999,18.830000,18.879999,15.286036,4058300,0.001060,0.013056,0.207256,-0.000106,0.707969,
2012-06-08,18.870001,19.049999,18.840000,19.049999,15.423672,2956800,0.009004,0.013270,0.210660,0.008114,0.733610,
2012-06-11,19.139999,19.190001,18.809999,18.840000,15.253651,2895000,-0.011023,0.013591,0.215756,-0.012620,0.829886,
2012-06-12,18.790001,19.049999,18.770000,18.910000,15.310324,3022400,0.003715,0.013076,0.207571,0.011651,0.795636,
2012-06-13,18.910000,19.020000,18.719999,18.770000,15.196977,2652200,-0.007403,0.012855,0.204072,-0.007023,0.804111,
2012-06-14,18.750000,18.870001,18.510000,18.730000,15.164593,2878200,-0.002131,0.012807,0.203301,0.010815,0.757071,
2012-06-15,18.750000,18.799999,18.590000,18.760000,15.188884,3674600,0.001602,0.012030,0.190970,0.010338,0.763851,
2012-06-18,18.660000,19.040001,18.500000,19.040001,15.415582,2857600,0.014925,0.012638,0.200621,0.001445,0.763721,
2012-06-19,19.030001,19.209999,18.950001,19.170000,15.520833,3630100,0.006828,0.012713,0.201819,0.009816,0.826422,
2012-06-20,19.139999,19.450001,19.139999,19.410000,15.715145,3467200,0.012519,0.013132,0.208467,-0.001686,0.812295,
2012-06-21,19.510000,19.549999,18.840000,18.870001,15.277941,2997100,-0.027821,0.011566,0.183610,-0.022262,0.718431,
2012-06-22,18.940001,19.070000,18.889999,18.930000,15.326522,3667600,0.003180,0.011465,0.182007,0.007175,0.710008,
2012-06-25,18.760000,18.809999,18.459999,18.580000,15.043143,2670600,-0.018489,0.012634,0.200566,-0.015955,0.760179,
2012-06-26,18.590000,18.670000,18.330000,18.580000,15.043143,3130400,0.000000,0.011824,0.187696,0.004773,0.780600,
2012-06-27,18.660000,18.809999,18.340000,18.490000,14.970275,4540500,-0.004844,0.011850,0.188110,0.008985,0.731193,
2012-06-28,18.389999,18.469999,18.090000,18.370001,14.873119,4516700,-0.006490,0.011520,0.182872,-0.002110,0.712594,
2012-06-29,19.270000,19.270000,18.530001,18.830000,15.245557,3386200,0.025041,0.013360,0.212084,0.024920,0.814693,
2012-07-02,18.879999,18.879999,18.459999,18.559999,15.026952,3503500,-0.014339,0.013841,0.219723,0.002459,0.832223,
2012-07-03,18.570000,18.590000,18.400000,18.440001,14.929792,3353400,-0.006466,0.013811,0.219249,0.006232,0.829910,
2012-07-05,18.420000,18.420000,17.750000,17.780001,14.395432,6799700,-0.035792,0.016632,0.264026,-0.004687,0.965507,
2012-07-06,17.700001,17.809999,17.520000,17.590000,14.241602,5940800,-0.010686,0.016662,0.264496,-0.009433,0.956686,
2012-07-09,17.320000,17.530001,17.080000,17.090000,13.836777,6759800,-0.028426,0.016810,0.266845,-0.001639,0.970918,
2012-07-10,16.790001,17.070000,16.770000,17.070000,13.820584,7923200,-0.001170,0.016414,0.260572,-0.008126,0.885175,
2012-07-11,17.040001,17.170000,16.959999,17.059999,13.812488,5009200,-0.000586,0.015494,0.245966,-0.000015,0.898956,
2012-07-12,16.860001,16.860001,16.219999,16.260000,13.164775,8089800,-0.046893,0.017919,0.284457,-0.004987,1.069127,
2012-07-13,16.250000,16.440001,16.110001,16.150000,13.075716,5949800,-0.006765,0.017531,0.278299,0.016497,0.906200,
2012-07-16,16.030001,16.040001,15.620000,15.630000,12.654699,7254500,-0.032198,0.018338,0.291103,-0.002314,1.101159,
2012-07-17,15.730000,15.730000,15.220000,15.450000,12.508966,8438200,-0.011516,0.018008,0.285866,0.007410,1.062812,
2012-07-18,15.450000,15.720000,15.400000,15.670000,12.687086,15515100,0.014239,0.019341,0.307022,0.006680,1.138092,
2012-07-19,15.700000,15.700000,15.320000,15.360000,12.436097,5269800,-0.019783,0.019398,0.307932,0.002717,1.175507,
2012-07-20,15.230000,15.270000,15.040000,15.090000,12.217496,4600600,-0.017578,0.016116,0.255828,-0.010062,0.745548,
2012-07-23,14.960000,15.270000,14.870000,14.930000,12.087953,5323200,-0.010603,0.016168,0.256666,-0.008909,0.633193,
2012-07-24,14.930000,14.990000,14.700000,14.790000,11.974605,6883600,-0.009377,0.016064,0.255015,-0.009041,0.499016,
2012-07-25,14.860000,14.900000,14.630000,14.680000,11.885542,4379300,-0.007438,0.015067,0.239182,-0.000314,0.440487,
2012-07-26,14.830000,14.890000,14.620000,14.690000,11.893639,3163200,0.000681,0.015529,0.246509,0.016541,0.582133,
2012-07-27,14.750000,15.110000,14.690000,15.070000,12.201302,6114300,0.025868,0.017892,0.284020,0.019081,0.870352,
2012-07-30,15.030000,15.030000,14.870000,14.900000,12.063663,3722700,-0.011281,0.017764,0.281991,-0.000483,1.004557,
2012-07-31,14.900000,15.030000,14.850000,15.010000,12.152722,5157100,0.007382,0.018194,0.288826,-0.004317,0.909837,
2012-08-01,15.050000,15.190000,14.970000,15.120000,12.241781,6684500,0.007328,0.014983,0.237851,-0.002900,0.663615,
2012-08-02,15.000000,15.190000,15.000000,15.150000,12.266075,6633900,0.001985,0.015089,0.239537,-0.007504,0.731172,
2012-08-03,15.230000,15.460000,15.160000,15.400000,12.468484,6419800,0.016502,0.013755,0.218351,0.019040,0.729671,
