Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,47.059669,47.375988,46.937454,47.088425,37.638222,4580146,,,,,,
2012-02-22,46.966209,47.440689,46.800861,47.375988,37.868080,5902569,0.006107,,,-0.003340,,0.835064
2012-02-23,47.332855,47.397556,46.887131,47.325665,37.827869,4167297,-0.001062,,,0.004272,,
2012-02-24,47.296909,47.340042,46.951832,47.117184,37.661209,3343408,-0.004406,,,0.001672,,
2012-02-27,46.887131,47.340042,46.736160,47.131561,37.672707,2437449,0.000305,,,0.001355,,
2012-02-28,47.124371,47.440689,47.052479,47.419125,37.902561,2987312,0.006101,,,0.003356,,
2012-02-29,47.440689,47.843277,47.167503,47.620419,38.063454,4175365,0.004245,,,-0.004737,,
2012-03-01,47.613228,47.915169,47.440689,47.606037,38.051949,3548858,-0.000302,,,0.006158,,
2012-03-02,47.541336,47.742630,47.411934,47.620419,38.063454,2891750,0.000302,,,-0.003246,,
2012-03-05,47.627605,47.893600,47.455067,47.706684,38.132408,2313789,0.001812,,,-0.003870,,
2012-03-06,47.232208,47.541336,46.786484,47.074047,37.626728,4458016,-0.013261,,,-0.015370,,
2012-03-07,47.088425,47.900791,46.980591,47.814522,38.218605,4118473,0.015730,,,0.006901,,
2012-03-08,47.426311,48.346512,47.318478,48.159595,38.494415,4960028,0.007217,,,0.009818,,
2012-03-09,48.569374,48.583752,48.224300,48.461536,38.735752,2906077,0.006269,,,0.003631,,
2012-03-12,48.583752,48.770668,48.037384,48.116463,38.459946,2658340,-0.007120,0.007058,0.112045,0.000160,0.628498,
2012-03-13,48.475918,49.396118,48.389648,49.338604,39.436806,4012757,0.025399,0.009480,0.150496,0.018132,0.900137,
2012-03-14,49.460819,49.856220,49.029476,49.345795,39.442554,4755829,0.000146,0.009447,0.149959,-0.001196,0.918390,
2012-03-15,49.626167,49.626167,48.914452,49.331417,39.431072,2787147,-0.000291,0.009259,0.146990,0.005967,0.880744,
2012-03-16,49.367363,49.561466,48.964775,49.173256,39.304646,3622164,-0.003206,0.009394,0.149127,0.001119,0.884433,
2012-03-19,49.266716,49.662113,48.885693,49.647736,39.683910,2836945,0.009649,0.009529,0.151267,0.003974,0.892453,
2012-03-20,49.446442,50.618259,49.439251,50.474480,40.344715,5240175,0.016652,0.010176,0.161536,-0.003001,0.843146,
2012-03-21,50.373833,50.474480,50.057514,50.265995,40.178078,3046290,-0.004130,0.010356,0.164401,-0.001871,0.907534,
2012-03-22,50.165348,51.128685,50.165348,50.841122,40.637791,4900076,0.011442,0.010482,0.166403,-0.007207,0.762218,
2012-03-23,50.905823,50.913013,50.050323,50.783607,40.591820,3805637,-0.001131,0.010575,0.167868,0.003109,0.758546,
2012-03-26,50.884254,51.380302,50.819553,51.358734,41.051514,3282621,0.011325,0.009366,0.148680,0.013886,0.597084,
2012-03-27,51.473759,51.610352,50.733284,50.769230,40.580318,5121940,-0.011478,0.010052,0.159578,-0.002817,0.673525,
2012-03-28,50.776421,51.063984,50.352264,50.611073,40.453911,4316829,-0.003115,0.010203,0.161968,-0.004942,0.712372,
2012-03-29,50.323509,50.618259,50.115025,50.531990,40.390690,2762943,-0.001563,0.010260,0.162873,-0.001608,0.719419,
2012-03-30,50.898636,51.344357,50.596691,51.171818,40.902115,4890756,0.012662,0.010114,0.160556,0.003698,0.716698,
2012-04-02,51.114307,51.128685,50.244427,50.323509,40.224045,5858057,-0.016578,0.009638,0.153003,0.007505,0.023625,
2012-04-03,50.345074,51.056793,50.273186,50.833931,40.632046,5702126,0.010143,0.009901,0.157166,-0.003989,-0.077790,
2012-04-04,50.452911,50.740475,50.186916,50.366642,40.258545,3190398,-0.009192,0.010346,0.164245,-0.010203,0.170481,
2012-04-05,50.316319,50.841122,50.158161,50.812366,40.614811,3194988,0.008849,0.010423,0.165460,-0.000629,0.178788,
2012-04-09,50.086269,50.474480,50.086269,50.323509,40.224045,2549564,-0.009621,0.010661,0.169239,-0.011358,0.278902,
2012-04-10,50.143780,50.431343,49.187634,49.230770,39.350616,4454260,-0.021714,0.011248,0.178561,-0.017081,0.588243,
2012-04-11,49.453629,50.675774,49.352982,50.402588,40.455627,5024431,0.028081,0.013737,0.218064,0.007449,0.807502,
2012-04-12,50.503235,51.028038,50.230049,50.948959,40.894184,3203056,0.010840,0.013701,0.217497,0.013779,0.861772,
2012-04-13,50.884254,52.983463,50.841122,52.379581,42.042477,8544078,0.028080,0.015530,0.246528,-0.012475,0.546841,
2012-04-16,52.552120,52.674335,51.531273,51.941051,41.690495,7777498,-0.008372,0.015573,0.247213,-0.000504,0.530434,
2012-04-17,52.789360,52.947521,52.041698,52.616821,42.232887,6156844,0.013010,0.015412,0.244656,0.015487,0.533777,
2012-04-18,52.271748,52.674335,52.199856,52.437096,42.088634,7295100,-0.003416,0.015421,0.244805,-0.004055,0.533086,
2012-04-19,51.358734,52.293316,51.028038,51.337170,41.205776,11043705,-0.020976,0.016679,0.264773,-0.005934,0.602949,
2012-04-20,51.926670,53.515457,51.617542,53.148815,42.659893,11210208,0.035289,0.018799,0.298433,0.001169,0.635825,
2012-04-23,52.861252,53.084110,52.336449,53.040977,42.573341,5733563,-0.002029,0.018009,0.285887,-0.008408,0.839390,
2012-04-24,52.825306,53.091301,51.818836,51.933861,41.684704,6111219,-0.020873,0.019098,0.303176,0.003680,0.717232,
2012-04-25,52.257370,52.516174,51.876347,52.300503,41.979004,5858336,0.007060,0.018858,0.299367,0.013645,0.618215,
2012-04-26,52.329262,52.688713,52.020130,52.401150,42.059795,3901755,0.001925,0.018788,0.298254,0.006680,0.596019,
