Date,Open,High,Low,Close,Adj Close,Volume,% change
2012-02-21,14.000000,14.000000,13.890000,13.950000,11.758924,7400,
2012-02-22,14.320000,14.320000,14.200000,14.310000,12.062378,24700,0.025806
2012-02-23,14.200000,14.220000,14.080000,14.200000,11.969658,26800,-0.007687
2012-02-24,14.490000,14.650000,14.420000,14.630000,12.332116,21600,0.030281
2012-02-27,15.150000,15.150000,15.070000,15.080000,12.711440,15000,0.030759
2012-02-28,15.240000,15.280000,15.160000,15.250000,12.854739,16000,0.011273
2012-02-29,15.200000,15.200000,15.060000,15.080000,12.711440,8000,-0.011148
2012-03-01,15.070000,15.240000,15.070000,15.200000,12.812593,17000,0.007958
2012-03-02,15.100000,15.100000,14.960000,15.040000,12.677722,19400,-0.010526
2012-03-05,14.400000,14.480000,14.100000,14.440000,12.171959,38500,-0.039894
2012-03-06,13.820000,13.820000,13.670000,13.740000,11.581908,155200,-0.048476
2012-03-07,14.250000,14.290000,14.110000,14.290000,12.045520,67300,0.040029
2012-03-08,14.200000,14.250000,14.180000,14.250000,12.011805,11000,-0.002799
2012-03-09,14.210000,14.240000,14.120000,14.150000,11.927510,17200,-0.007018
2012-03-12,14.200000,14.250000,14.160000,14.170000,11.944370,6400,0.001414
2012-03-13,14.300000,14.480000,14.190000,14.480000,12.205677,8800,0.021877
2012-03-14,14.450000,14.490000,14.400000,14.490000,12.214107,53000,0.000691
2012-03-15,14.620000,14.720000,14.620000,14.650000,12.348978,6400,0.011042
2012-03-16,14.750000,14.750000,14.660000,14.710000,12.399554,17100,0.004096
2012-03-19,14.540000,14.580000,14.450000,14.510000,12.230966,29200,-0.013596
2012-03-20,14.330000,14.330000,14.250000,14.250000,12.011805,8800,-0.017919
2012-03-21,14.170000,14.170000,14.160000,14.170000,11.944370,10100,-0.005614
2012-03-22,14.330000,14.330000,14.180000,14.190000,11.961226,11400,0.001411
2012-03-23,14.330000,14.380000,14.220000,14.380000,12.121387,9400,0.013390
2012-03-26,14.380000,14.380000,14.270000,14.380000,12.121387,14800,0.000000
2012-03-27,14.500000,14.560000,14.420000,14.510000,12.230966,9400,0.009040
