Date,Open,High,Low,Close,Adj Close,Volume,% change
2012-02-21,12.435000,12.537500,12.330000,12.442500,12.442500,1611600,
2012-02-22,12.412500,12.470000,12.097500,12.127500,12.127500,2715600,-0.025316
2012-02-23,12.172500,12.282500,12.092500,12.120000,12.120000,1893600,-0.000618
2012-02-24,12.147500,12.260000,12.147500,12.225000,12.225000,1287200,0.008663
2012-02-27,12.167500,12.275000,12.042500,12.147500,12.147500,1341200,-0.006339
2012-02-28,12.187500,12.385000,12.102500,12.310000,12.310000,2513600,0.013377
2012-02-29,12.327500,12.347500,12.187500,12.200000,12.200000,2650000,-0.008936
2012-03-01,12.240000,12.352500,12.120000,12.260000,12.260000,1663600,0.004918
2012-03-02,12.255000,12.272500,11.575000,11.647500,11.647500,5368400,-0.049959
2012-03-05,11.592500,11.725000,11.565000,11.640000,11.640000,2758000,-0.000644
2012-03-06,11.510000,11.595000,11.325000,11.370000,11.370000,1840000,-0.023196
2012-03-07,11.425000,11.545000,11.380000,11.467500,11.467500,1044800,0.008575
2012-03-08,11.522500,11.595000,11.415000,11.515000,11.515000,1720400,0.004142
2012-03-09,11.500000,11.700000,11.497500,11.695000,11.695000,1834800,0.015632
2012-03-12,11.685000,11.692500,11.395000,11.402500,11.402500,1752800,-0.025011
2012-03-13,11.470000,11.522500,11.320000,11.412500,11.412500,2759200,0.000877
2012-03-14,11.365000,11.477500,11.307500,11.370000,11.370000,2516800,-0.003724
2012-03-15,11.392500,11.712500,11.385000,11.572500,11.572500,2300000,0.017810
2012-03-16,11.557500,11.630000,11.345000,11.365000,11.365000,2379200,-0.017930
2012-03-19,11.310000,11.532500,11.252500,11.480000,11.480000,2690800,0.010119
2012-03-20,11.407500,11.442500,11.170000,11.190000,11.190000,2395600,-0.025261
2012-03-21,11.190000,11.212500,11.030000,11.175000,11.175000,2770000,-0.001340
2012-03-22,11.102500,11.170000,10.980000,11.100000,11.100000,3221600,-0.006711
2012-03-23,11.090000,11.245000,11.040000,11.222500,11.222500,3661200,0.011036
2012-03-26,11.277500,12.097500,11.277500,11.975000,11.975000,5604400,0.067053
2012-03-27,11.975000,12.002500,11.645000,11.692500,11.692500,3191600,-0.023591
2012-03-28,11.682500,11.945000,11.567500,11.932500,11.932500,3860800,0.020526
2012-03-29,11.822500,12.012500,11.655000,11.862500,11.862500,3572400,-0.005866
2012-03-30,12.040000,12.397500,11.935000,12.242500,12.242500,3924000,0.032034
2012-04-02,12.192500,12.405000,12.122500,12.360000,12.360000,2028400,0.009598
2012-04-03,12.367500,12.600000,12.347500,12.517500,12.517500,2186400,0.012743
2012-04-04,12.362500,12.422500,12.250000,12.400000,12.400000,1366800,-0.009387
2012-04-05,12.327500,12.745000,12.322500,12.700000,12.700000,2489600,0.024194
2012-04-09,11.432500,11.650000,10.730000,10.742500,10.742500,11366000,-0.154134
2012-04-10,10.712500,10.832500,10.102500,10.317500,10.317500,9363200,-0.039562
2012-04-11,10.422500,10.575000,10.322500,10.470000,10.470000,5188400,0.014781
2012-04-12,10.520000,10.992500,10.425000,10.925000,10.925000,4704000,0.043457
2012-04-13,10.852500,11.052500,10.757500,11.007500,11.007500,2960000,0.007551
2012-04-16,11.072500,11.097500,10.737500,10.767500,10.767500,2930800,-0.021803
2012-04-17,10.832500,11.125000,10.812500,11.005000,11.005000,2540000,0.022057
2012-04-18,10.955000,11.047500,10.812500,10.975000,10.975000,1715200,-0.002726
2012-04-19,10.960000,11.410000,10.960000,11.407500,11.407500,3049600,0.039408
2012-04-20,11.630000,11.722500,11.520000,11.600000,11.600000,4312000,0.016875
2012-04-23,11.385000,11.385000,11.137500,11.215000,11.215000,2620000,-0.033190
2012-04-24,10.277500,10.717500,10.212500,10.550000,10.550000,10854800,-0.059296
