Date,Open,High,Low,Close,Adj Close,Volume,% change
2012-02-21,82.519997,82.680000,80.940002,81.330002,73.940002,1103500,
2012-02-22,81.580002,81.860001,80.730003,80.949997,73.594536,1178100,-0.004672
2012-02-23,80.849998,81.440002,80.699997,81.099998,73.730896,1094500,0.001853
2012-02-24,81.269997,82.180000,80.610001,82.000000,74.549156,1561400,0.011098
2012-02-27,81.360001,82.330002,81.120003,82.110001,74.649155,1309900,0.001341
2012-02-28,81.919998,82.900002,81.309998,82.480003,75.168625,1507200,0.006959
2012-02-29,82.779999,83.900002,82.150002,83.510002,76.107300,3057000,0.012488
2012-03-01,83.489998,84.059998,83.070000,83.919998,76.480957,1856100,0.004910
2012-03-02,83.690002,83.930000,81.760002,82.169998,74.886108,2929200,-0.020853
2012-03-05,82.099998,82.879997,81.849998,82.250000,74.959007,956900,0.000973
2012-03-06,81.760002,82.550003,81.529999,82.279999,74.986336,1835300,0.000365
2012-03-07,82.419998,83.199997,81.760002,83.010002,75.651642,2876100,0.008872
2012-03-08,83.430000,85.900002,83.330002,85.559998,77.975571,2434900,0.030719
2012-03-09,85.400002,87.080002,85.360001,86.400002,78.741119,2790900,0.009818
2012-03-12,86.750000,87.040001,86.019997,86.540001,78.868698,2665000,0.001620
2012-03-13,86.889999,87.129997,85.919998,86.720001,79.032753,1873400,0.002080
2012-03-14,86.720001,87.680000,86.379997,87.309998,79.570435,1441400,0.006803
2012-03-15,87.230003,87.470001,86.550003,87.470001,79.716278,1207200,0.001833
2012-03-16,87.680000,88.019997,87.160004,87.559998,79.798302,1578600,0.001029
2012-03-19,87.589996,87.720001,86.839996,87.199997,79.470222,1730700,-0.004111
2012-03-20,86.889999,87.269997,86.680000,87.110001,79.388206,1644900,-0.001032
2012-03-21,87.160004,87.349998,86.650002,86.760002,79.069214,1325600,-0.004018
2012-03-22,86.019997,86.669998,85.989998,86.180000,78.540634,1998900,-0.006685
2012-03-23,86.199997,86.919998,85.610001,86.379997,78.722893,1530400,0.002321
2012-03-26,87.160004,87.830002,87.089996,87.599998,79.834740,2090800,0.014124
2012-03-27,87.820000,88.599998,87.769997,88.309998,80.481827,1672000,0.008105
2012-03-28,88.379997,88.839996,87.709999,88.180000,80.363358,1531400,-0.001472
2012-03-29,87.550003,88.680000,87.349998,88.589996,80.736992,1422400,0.004649
2012-03-30,88.739998,88.910004,87.720001,87.769997,79.989662,2469100,-0.009256
2012-04-02,87.650002,88.809998,87.589996,88.669998,80.809906,1611300,0.010254
2012-04-03,88.879997,88.919998,88.050003,88.540001,80.691414,2057900,-0.001466
2012-04-04,87.900002,88.330002,87.559998,87.889999,80.099030,1406600,-0.007341
2012-04-05,87.529999,88.120003,87.330002,87.830002,80.044342,1122400,-0.000683
2012-04-09,87.000000,88.029999,86.639999,87.339996,79.597786,1500400,-0.005579
2012-04-10,87.040001,87.940002,86.760002,86.760002,79.069214,1451100,-0.006641
2012-04-11,87.730003,88.089996,87.129997,87.900002,80.108147,2096400,0.013140
2012-04-12,90.809998,92.690002,90.500000,91.339996,83.243195,7397100,0.039135
2012-04-13,91.220001,91.449997,90.019997,90.480003,82.459435,2876800,-0.009415
2012-04-16,90.209999,90.599998,89.430000,89.769997,81.812393,2049700,-0.007847
2012-04-17,90.160004,91.510002,89.970001,91.360001,83.261467,2236900,0.017712
2012-04-18,91.199997,91.330002,90.750000,91.220001,83.133858,2006500,-0.001533
2012-04-19,91.339996,91.480003,89.989998,90.570000,82.541481,1679800,-0.007126
2012-04-20,90.769997,91.389999,90.680000,91.000000,82.933365,1678000,0.004748
2012-04-23,90.010002,91.250000,89.690002,90.650002,82.614388,1577400,-0.003846
2012-04-24,90.900002,91.209999,90.489998,90.980003,82.915123,1158000,0.003640
2012-04-25,91.529999,91.900002,91.080002,91.379997,83.279655,1160800,0.004396
2012-04-26,91.410004,92.120003,90.769997,91.269997,83.179405,2276700,-0.001204
2012-04-27,91.769997,92.180000,91.000000,91.050003,82.978935,2143800,-0.002410
2012-04-30,91.129997,92.459999,91.129997,91.410004,83.307045,2413800,0.003954
