Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,18.102858,18.387501,18.004286,18.387501,15.566849,605595200,,,,,,
2012-02-22,18.324286,18.410357,18.181070,18.322857,15.512127,483302400,-0.003515,,,-0.003340,,1.172390
2012-02-23,18.395714,18.493929,18.196428,18.442499,15.613409,568027600,0.006529,,,0.004272,,
2012-02-24,18.559643,18.674999,18.522858,18.657499,15.795429,415072000,0.011658,,,0.001672,,
2012-02-27,18.618214,18.875000,18.438572,18.777143,15.896719,547582000,0.006413,,,0.001355,,
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.188490,600387200,0.018354,,,0.003356,,
2012-02-29,19.341429,19.557501,19.132143,19.372856,16.401056,952011200,0.013131,,,-0.004737,,
2012-03-01,19.577499,19.578930,19.241785,19.445356,16.462425,683270000,0.003742,,,0.006158,,
2012-03-02,19.437143,19.528570,19.375713,19.470715,16.483898,431712400,0.001304,,,-0.003246,,
2012-03-05,19.479286,19.552856,18.785713,19.041430,16.120464,809124400,-0.022048,,,-0.003870,,
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.032780,810238800,-0.005439,,,-0.015370,,
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.045782,798520800,0.000811,,,0.006901,,
2012-03-08,19.096071,19.392500,19.004286,19.356787,16.387444,516457200,0.021293,,,0.009818,,
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.483599,418919200,0.005868,,,0.003631,,
2012-03-12,19.606428,19.714287,19.535713,19.714287,16.690105,407282400,0.012528,0.010961,0.173998,0.000160,0.817130,
2012-03-13,19.912144,20.292143,19.848213,20.289286,17.176903,690855200,0.029167,0.012385,0.196610,0.018132,0.947924,
2012-03-14,20.644644,21.240000,20.549999,21.056429,17.826363,1418844000,0.037810,0.014805,0.235026,-0.001196,0.845709,
2012-03-15,21.414642,21.428928,20.662500,20.912857,17.704824,1159718000,-0.006818,0.015420,0.244781,0.005967,0.751558,
2012-03-16,20.882856,21.042856,20.642857,20.913214,17.705112,825487600,0.000016,0.015574,0.247226,0.001119,0.757638,
2012-03-19,21.370358,21.491785,21.037500,21.467857,18.174683,901236000,0.026522,0.016141,0.256226,0.003974,0.781998,
2012-03-20,21.411072,21.674999,21.124287,21.641430,18.321623,816662000,0.008085,0.016084,0.255321,-0.003001,0.842173,
2012-03-21,21.526428,21.773214,21.478930,21.517857,18.217005,644042000,-0.005710,0.016473,0.261494,-0.001871,0.927239,
2012-03-22,21.349285,21.589287,21.268929,21.405001,18.121464,623870800,-0.005245,0.016749,0.265885,-0.007207,0.957444,
2012-03-23,21.446072,21.492857,21.228571,21.287500,18.021984,430488800,-0.005490,0.015044,0.238822,0.003109,0.782321,
2012-03-26,21.421070,21.683929,21.259287,21.677856,18.352463,595742000,0.018338,0.014737,0.233949,0.013886,0.807758,
2012-03-27,21.649286,22.010000,21.645000,21.945715,18.579233,607129600,0.012356,0.014517,0.230453,-0.002817,0.799887,
2012-03-28,22.084999,22.194643,21.796785,22.057858,18.674168,655460400,0.005110,0.014244,0.226115,-0.004942,0.729695,
2012-03-29,21.885000,22.020000,21.686787,21.780714,18.439539,608238400,-0.012564,0.015407,0.244572,-0.001608,0.834202,
2012-03-30,21.741785,21.805714,21.355000,21.412500,18.127810,731038000,-0.016905,0.016716,0.265355,0.003698,0.781290,
2012-04-02,21.493929,22.098928,21.442142,22.093929,18.704710,598351600,0.031824,0.017011,0.270041,0.007505,0.718023,
2012-04-03,22.403570,22.578930,22.232500,22.475714,19.027920,834559600,0.017280,0.014824,0.235328,-0.003989,0.713867,
2012-04-04,22.298214,22.352142,22.035713,22.296785,18.876442,572980800,-0.007961,0.014896,0.236466,-0.010203,0.962235,
2012-04-05,22.392143,22.666430,22.264286,22.631430,19.159761,641298000,0.015009,0.015072,0.239261,-0.000629,0.971112,
2012-04-09,22.361786,22.851429,22.332144,22.722500,19.236855,597536800,0.004024,0.013837,0.219654,-0.011358,0.681358,
2012-04-10,22.854643,23.000000,22.357143,22.444286,19.001322,889725200,-0.012244,0.014446,0.229322,-0.017081,0.765686,
2012-04-11,22.721430,22.745358,22.262142,22.364286,18.933588,696614800,-0.003565,0.014361,0.227973,0.007449,0.630348,
2012-04-12,22.321428,22.547501,22.160713,22.241785,18.829884,614336800,-0.005477,0.014371,0.228135,0.013779,0.380011,
2012-04-13,22.289642,22.310715,21.553928,21.615356,18.299547,859644800,-0.028165,0.016502,0.261957,-0.012475,0.634199,
2012-04-16,21.787857,21.795713,20.651787,20.718929,17.540636,1050786800,-0.041472,0.019243,0.305476,-0.000504,0.452137,
2012-04-17,20.676430,21.785713,20.425358,21.775000,18.434702,1025528000,0.050971,0.023840,0.378451,0.015487,1.023625,
2012-04-18,21.918571,22.151787,21.525356,21.726429,18.393583,954531200,-0.002231,0.023793,0.377699,-0.004055,1.048744,
2012-04-19,21.436428,21.597500,20.875713,20.980000,17.761660,834719200,-0.034356,0.025286,0.401406,-0.005934,1.140182,
2012-04-20,21.120714,21.236429,20.372143,20.463572,17.324450,1030985200,-0.024615,0.025707,0.408093,0.001169,1.169685,
2012-04-23,20.378929,20.595358,19.879286,20.417856,17.285748,966529200,-0.002234,0.023699,0.376209,-0.008408,0.945748,
2012-04-24,20.093214,20.274643,19.821428,20.010000,16.940454,1076149200,-0.019976,0.023044,0.365810,0.003680,0.889587,
2012-04-25,21.987143,22.071428,21.642857,21.785713,18.443773,905777600,0.088741,0.034639,0.549877,0.013645,1.709929,
2012-04-26,21.938213,21.953215,21.504642,21.703571,18.374233,536068400,-0.003770,0.034329,0.544953,0.006680,1.651924,
2012-04-27,21.609644,21.649286,21.446428,21.535713,18.232124,406722400,-0.007734,0.034302,0.544527,0.002414,1.885828,
2012-04-30,21.350000,21.371429,20.821428,20.856428,17.657038,506144800,-0.031542,0.035068,0.556694,-0.003884,2.503133,
2012-05-01,20.889286,21.312857,20.758215,20.790358,17.601103,610999200,-0.003168,0.035070,0.556712,0.005658,2.545354,
2012-05-02,20.722857,20.978571,20.673571,20.927856,17.717514,427389200,0.006614,0.035196,0.558721,-0.002497,2.950597,
2012-05-03,21.089287,21.121429,20.725000,20.779285,17.591730,390549600,-0.007099,0.034517,0.547944,-0.007659,2.996272,
2012-05-04,20.610001,20.655714,20.184643,20.187500,17.090727,529992400,-0.028479,0.033543,0.532483,-0.016147,2.530552,
2012-05-07,20.053572,20.456072,20.043928,20.338572,17.218626,460118400,0.007484,0.030169,0.478925,0.000351,2.331407,
2012-05-08,20.342142,20.410713,19.954643,20.292143,17.179316,497252000,-0.002283,0.030169,0.478921,-0.004279,2.326579,
2012-05-09,20.132143,20.499287,20.030357,20.327856,17.209549,480704000,0.001760,0.028935,0.459327,-0.006702,2.078279,
2012-05-10,20.520714,20.567142,20.301430,20.375713,17.250069,333200000,0.002355,0.028193,0.447550,0.002517,2.137499,
2012-05-11,20.178572,20.516787,20.155357,20.239643,17.134865,399546000,-0.006678,0.028246,0.448386,-0.003387,2.293080,
2012-05-14,20.091785,20.268213,19.914286,19.936428,16.878172,352626400,-0.014981,0.028008,0.444615,-0.011113,2.367622,
2012-05-15,20.051786,20.115000,19.705357,19.756071,16.725477,476336000,-0.009047,0.011565,0.183592,-0.005746,0.893343,
2012-05-16,19.787500,19.888929,19.322857,19.502857,16.511108,560896000,-0.012817,0.011630,0.184614,-0.004404,1.046019,
2012-05-17,19.475357,19.553572,18.932858,18.932858,16.028545,717220000,-0.029227,0.012995,0.206290,-0.015051,1.326825,
2012-05-18,19.070000,19.407499,18.649286,18.942142,16.036407,732292400,0.000490,0.011466,0.182013,-0.007388,1.350102,
2012-05-21,19.089287,20.055000,19.073214,20.045713,16.970694,631106000,0.058260,0.020862,0.331178,0.016036,2.296298,
2012-05-22,20.341070,20.495714,19.735001,19.891787,16.840376,694870400,-0.007679,0.020736,0.329179,0.000486,2.189201,
2012-05-23,19.910713,20.457144,19.758215,20.377144,17.251284,584897600,0.024400,0.021979,0.348900,0.001694,2.284453,
2012-05-24,20.566786,20.589287,20.043928,20.190001,17.092850,496230000,-0.009184,0.020703,0.328644,0.001380,2.232864,
2012-05-25,20.163929,20.208929,19.945356,20.081785,17.001226,328507200,-0.005360,0.020640,0.327645,-0.002166,2.226784,
2012-05-29,20.389286,20.500000,20.189644,20.438213,17.302977,380508800,0.017749,0.021209,0.336683,0.011079,2.034953,
2012-05-30,20.328571,20.713928,20.234285,20.684643,17.511604,529429600,0.012057,0.021425,0.340118,-0.014335,1.645008,
2012-05-31,20.740713,20.767857,20.409286,20.633215,17.468067,491674400,-0.002486,0.021449,0.340489,-0.002277,1.679444,
2012-06-01,20.327143,20.451786,20.018572,20.035357,16.961922,520987600,-0.028975,0.022853,0.362783,-0.024643,1.549618,
2012-06-04,20.053572,20.267857,19.589287,20.153214,17.061697,556995600,0.005882,0.022513,0.357382,0.000110,1.534354,
2012-06-05,20.045357,20.231071,19.940357,20.101070,17.017553,388214400,-0.002587,0.022357,0.354902,0.005727,1.426619,
2012-06-06,20.277500,20.494642,20.196428,20.409286,17.278488,401455600,0.015333,0.022239,0.353032,0.023049,1.137761,
2012-06-07,20.617500,20.618570,20.375000,20.418571,17.286352,379766800,0.000455,0.020203,0.320712,-0.000106,1.020669,
2012-06-08,20.414286,20.735001,20.321428,20.725714,17.546377,347516400,0.015042,0.020294,0.322159,0.008114,1.042052,
2012-06-11,20.990000,21.017857,20.379642,20.398930,17.269726,591264800,-0.015767,0.014675,0.232954,-0.012620,0.772685,
2012-06-12,20.516430,20.593571,20.239286,20.577143,17.420597,435380400,0.008736,0.014553,0.231026,0.011651,0.758458,
2012-06-13,20.518572,20.660000,20.370714,20.434286,17.299654,293580000,-0.006943,0.013284,0.210878,-0.007023,0.750972,
2012-06-14,20.401428,20.482143,20.259287,20.411785,17.280607,345573200,-0.001101,0.013014,0.206590,0.010815,0.706975,
2012-06-15,20.392857,20.522142,20.341070,20.504642,17.359215,335255200,0.004549,0.012919,0.205079,0.010338,0.685564,
2012-06-18,20.391430,20.996071,20.370358,20.920713,17.711460,440412000,0.020292,0.013179,0.209210,0.001445,0.648477,
2012-06-19,20.835714,21.071428,20.825001,20.978930,17.760757,361404400,0.002783,0.012850,0.203988,0.009816,0.806606,
2012-06-20,21.007500,21.044643,20.742857,20.919287,17.710253,358943200,-0.002844,0.012858,0.204115,-0.001686,0.808630,
2012-06-21,20.908571,21.007856,20.622856,20.631071,17.466251,326351200,-0.013777,0.010564,0.167698,-0.022262,0.621052,
2012-06-22,20.680000,20.792500,20.550714,20.789286,17.600203,284471600,0.007669,0.010623,0.168639,0.007175,0.635604,
2012-06-25,20.617857,20.707144,20.370358,20.384644,17.257626,304382400,-0.019464,0.012076,0.191695,-0.015955,0.717472,
2012-06-26,20.404642,20.517500,20.261786,20.429644,17.295731,276536400,0.002208,0.011372,0.180525,0.004773,0.745046,
2012-06-27,20.535713,20.597857,20.425714,20.517857,17.370411,202997200,0.004318,0.011427,0.181401,0.008985,0.732802,
2012-06-28,20.416786,20.500000,20.200357,20.323214,17.205620,282836400,-0.009487,0.010878,0.172683,-0.002110,0.701434,
2012-06-29,20.642857,20.857143,20.508928,20.857143,17.657654,421500800,0.026272,0.012300,0.195256,0.024920,0.761469,
2012-07-02,20.883215,21.195356,20.842857,21.161428,17.915255,400092000,0.014589,0.012653,0.200867,0.002459,0.763169,
2012-07-03,21.245714,21.428572,21.214287,21.407499,18.123577,241712800,0.011628,0.012609,0.200155,0.006232,0.765716,
2012-07-05,21.448570,21.940714,21.416071,21.783571,18.441961,484383200,0.017567,0.013074,0.207546,-0.004687,0.740937,
2012-07-06,21.681786,21.730000,21.485001,21.638571,18.319210,418930400,-0.006656,0.013425,0.213112,-0.009433,0.786470,
2012-07-09,21.617857,21.924999,21.575357,21.924643,18.561388,379405600,0.013220,0.012884,0.204529,-0.001639,0.766151,
2012-07-10,22.070356,22.138214,21.618214,21.721786,18.389650,511957600,-0.009252,0.013325,0.211522,-0.008126,0.835024,
2012-07-11,21.647142,21.702143,21.329287,21.586786,18.275362,469322000,-0.006215,0.013460,0.213667,-0.000015,0.829165,
2012-07-12,21.437143,21.552500,21.167143,21.389286,18.108164,428041600,-0.009149,0.013085,0.207724,-0.004987,0.911985,
2012-07-13,21.533930,21.685356,21.428572,21.606071,18.291691,311427200,0.010135,0.013174,0.209135,0.016497,0.839239,
2012-07-16,21.611429,21.843571,21.607857,21.675358,18.350346,301260400,0.003207,0.011511,0.182724,-0.002314,0.730618,
2012-07-17,21.813929,21.839287,21.541071,21.676430,18.351254,293624800,0.000049,0.011557,0.183467,0.007410,0.705558,
2012-07-18,21.663929,21.726429,21.555714,21.652143,18.330692,252700000,-0.001120,0.011648,0.184903,0.006680,0.701678,
2012-07-19,21.831429,21.976786,21.642857,21.940001,18.574394,436861600,0.013295,0.011215,0.178033,0.002717,0.665162,
2012-07-20,21.893929,21.944286,21.560715,21.582144,18.271439,397471200,-0.016310,0.010931,0.173519,-0.010062,0.681017,
2012-07-23,21.228571,21.639286,20.989643,21.565357,18.257215,487975600,-0.000778,0.010381,0.164793,-0.008909,0.611304,
2012-07-24,21.692142,21.774286,21.375357,21.461430,18.169235,565132400,-0.004819,0.010060,0.159703,-0.009041,0.565154,
2012-07-25,20.516430,20.742857,20.357143,20.534643,17.384621,877312800,-0.043184,0.014240,0.226045,-0.000314,0.571851,
2012-07-26,20.705713,20.728571,20.370001,20.531429,17.381899,406632800,-0.000157,0.014256,0.226309,0.016541,0.485789,
2012-07-27,20.536072,20.922501,20.413929,20.898571,17.692722,403936400,0.017882,0.014727,0.233786,0.019081,0.670029,
2012-07-30,21.104286,21.408571,20.993570,21.251072,17.991140,379142400,0.016867,0.015549,0.246828,-0.000483,0.633217,
2012-07-31,21.543928,21.846430,21.525715,21.812857,18.466757,462327600,0.026436,0.017146,0.272179,-0.004317,0.477900,
2012-08-01,21.996786,22.014286,21.535713,21.671785,18.347326,384501600,-0.006467,0.017040,0.270496,-0.002900,0.461814,
