Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,32.740002,33.060001,32.470001,32.540001,32.540001,3655400,,,,,,
2012-02-22,32.450001,32.889999,32.240002,32.330002,32.330002,3389700,-0.006454,,,-0.003340,,1.274679
2012-02-23,32.209999,33.009998,32.099998,32.970001,32.970001,3119200,0.019796,,,0.004272,,
2012-02-24,32.910000,33.500000,32.860001,33.410000,33.410000,3481200,0.013345,,,0.001672,,
2012-02-27,33.180000,33.500000,33.090000,33.270000,33.270000,3204400,-0.004190,,,0.001355,,
2012-02-28,33.360001,33.439999,32.980000,33.270000,33.270000,4147800,0.000000,,,0.003356,,
2012-02-29,33.209999,33.439999,32.860001,32.889999,32.889999,4103100,-0.011422,,,-0.004737,,
2012-03-01,32.860001,33.290001,32.770000,33.099998,33.099998,2898900,0.006385,,,0.006158,,
2012-03-02,33.000000,33.830002,32.910000,33.730000,33.730000,4979600,0.019033,,,-0.003246,,
2012-03-05,33.560001,33.610001,33.040001,33.220001,33.220001,3307800,-0.015120,,,-0.003870,,
2012-03-06,32.799999,33.099998,31.900000,31.990000,31.990000,7675000,-0.037026,,,-0.015370,,
2012-03-07,32.130001,32.560001,31.959999,32.410000,32.410000,3326400,0.013129,,,0.006901,,
2012-03-08,32.680000,33.150002,32.669998,33.049999,33.049999,3198700,0.019747,,,0.009818,,
2012-03-09,33.189999,33.650002,33.080002,33.639999,33.639999,2910700,0.017852,,,0.003631,,
2012-03-12,33.500000,33.849998,33.270000,33.560001,33.560001,2487300,-0.002378,0.016577,0.263157,0.000160,1.986077,
2012-03-13,33.790001,34.220001,33.419998,34.220001,34.220001,3425700,0.019666,0.016977,0.269502,0.018132,1.593120,
2012-03-14,34.240002,34.240002,33.660000,33.770000,33.770000,3607000,-0.013150,0.016932,0.268794,-0.001196,1.595930,
2012-03-15,33.860001,34.200001,33.630001,34.169998,34.169998,3685800,0.011845,0.016859,0.267623,0.005967,1.611149,
2012-03-16,34.060001,34.150002,33.660000,33.820000,33.820000,5093300,-0.010243,0.017098,0.271429,0.001119,1.617669,
2012-03-19,34.080002,34.549999,33.560001,34.509998,34.509998,6819300,0.020402,0.017832,0.283074,0.003974,1.659664,
2012-03-20,33.380001,33.939999,32.880001,33.160000,33.160000,16394100,-0.039119,0.020814,0.330415,-0.003001,1.839698,
2012-03-21,33.099998,33.830002,33.099998,33.560001,33.560001,5680100,0.012063,0.020986,0.333146,-0.001871,1.776640,
2012-03-22,33.310001,33.799999,33.220001,33.709999,33.709999,5121700,0.004470,0.020386,0.323622,-0.007207,1.723459,
2012-03-23,33.709999,33.840000,33.500000,33.810001,33.810001,3253200,0.002967,0.019912,0.316086,0.003109,1.685042,
2012-03-26,33.990002,34.419998,33.930000,34.400002,34.400002,4668400,0.017450,0.016912,0.268474,0.013886,1.371124,
2012-03-27,34.330002,34.709999,34.279999,34.630001,34.630001,4376000,0.006686,0.016771,0.266230,-0.002817,1.255704,
2012-03-28,34.520000,34.750000,34.279999,34.459999,34.459999,4223100,-0.004909,0.016379,0.260011,-0.004942,1.178369,
2012-03-29,34.320000,34.549999,34.160000,34.480000,34.480000,2459000,0.000580,0.015825,0.251211,-0.001608,1.132641,
2012-03-30,34.689999,34.689999,34.240002,34.310001,34.310001,5232500,-0.004930,0.015892,0.252280,0.003698,1.103171,
2012-04-02,34.139999,34.779999,33.799999,34.700001,34.700001,4110500,0.011367,0.015315,0.243113,0.007505,1.196304,
2012-04-03,34.520000,34.610001,33.990002,34.310001,34.310001,2879500,-0.011239,0.015186,0.241068,-0.003989,1.204627,
2012-04-04,33.980000,34.029999,33.360001,33.459999,33.459999,4357800,-0.024774,0.016330,0.259226,-0.010203,1.368929,
2012-04-05,33.169998,33.619999,33.139999,33.590000,33.590000,3987700,0.003885,0.016175,0.256774,-0.000629,1.393107,
2012-04-09,33.020000,33.360001,32.770000,33.220001,33.220001,3478300,-0.011015,0.015224,0.241672,-0.011358,1.180074,
2012-04-10,33.150002,33.430000,32.529999,32.610001,32.610001,5460200,-0.018362,0.012081,0.191780,-0.017081,1.087104,
2012-04-11,32.970001,33.099998,32.630001,33.009998,33.009998,3586400,0.012266,0.012098,0.192053,0.007449,1.106356,
2012-04-12,33.020000,33.650002,32.869999,33.549999,33.549999,3053400,0.016359,0.012910,0.204942,0.013779,1.166174,
2012-04-13,33.400002,33.610001,33.160000,33.180000,33.180000,2784700,-0.011028,0.013180,0.209224,-0.012475,1.130181,
2012-04-16,33.220001,33.369999,32.689999,32.849998,32.849998,3281300,-0.009946,0.012184,0.193417,-0.000504,1.110058,
2012-04-17,33.130001,33.980000,32.930000,33.840000,33.840000,4049900,0.030137,0.014949,0.237306,0.015487,1.269582,
2012-04-18,33.580002,33.630001,33.250000,33.389999,33.389999,2369000,-0.013298,0.015259,0.242230,-0.004055,1.292524,
2012-04-19,33.200001,33.700001,32.689999,32.900002,32.900002,3452900,-0.014675,0.015591,0.247496,-0.005934,1.312307,
2012-04-20,32.919998,33.740002,32.689999,33.060001,33.060001,3970600,0.004863,0.015728,0.249671,0.001169,1.354816,
2012-04-23,32.840000,32.840000,32.320000,32.619999,32.619999,3580700,-0.013309,0.015430,0.244946,-0.008408,1.351786,
2012-04-24,32.660000,32.830002,32.230000,32.400002,32.400002,4756700,-0.006744,0.015321,0.243212,0.003680,1.294704,
2012-04-25,32.639999,33.270000,32.459999,33.130001,33.130001,3742100,0.022531,0.015595,0.247560,0.013645,1.275362,
2012-04-26,32.990002,33.320000,32.919998,33.259998,33.259998,2999500,0.003924,0.015596,0.247574,0.006680,1.255870,
2012-04-27,33.380001,33.790001,33.209999,33.580002,33.580002,3277600,0.009621,0.015510,0.246210,0.002414,1.308724,
2012-04-30,33.459999,33.619999,33.400002,33.549999,33.549999,2678900,-0.000893,0.014513,0.230390,-0.003884,1.396370,
2012-05-01,33.590000,34.090000,33.470001,33.770000,33.770000,2578700,0.006557,0.014285,0.226766,0.005658,1.381887,
2012-05-02,33.630001,33.880001,33.270000,33.759998,33.759998,1612300,-0.000296,0.013652,0.216712,-0.002497,1.408720,
2012-05-03,33.770000,33.939999,33.240002,33.320000,33.320000,2670300,-0.013033,0.013792,0.218941,-0.007659,1.570027,
2012-05-04,32.990002,33.209999,32.500000,32.610001,32.610001,2991800,-0.021308,0.014748,0.234118,-0.016147,1.452103,
2012-05-07,32.480000,32.900002,32.330002,32.520000,32.520000,3323000,-0.002760,0.011838,0.187923,0.000351,1.313137,
2012-05-08,32.290001,32.750000,31.879999,32.669998,32.669998,3592100,0.004612,0.011578,0.183795,-0.004279,1.241121,
2012-05-09,32.290001,32.720001,31.820000,32.520000,32.520000,4057300,-0.004591,0.010994,0.174521,-0.006702,1.170061,
2012-05-10,32.730000,32.820000,31.650000,31.920000,31.920000,4811500,-0.018450,0.011810,0.187474,0.002517,1.064019,
2012-05-11,31.900000,32.459999,31.700001,32.200001,32.200001,3183500,0.008772,0.011720,0.186056,-0.003387,0.989046,
2012-05-14,31.809999,32.520000,31.670000,32.230000,32.230000,3133400,0.000932,0.011603,0.184192,-0.011113,0.912329,
2012-05-15,32.230000,32.849998,32.130001,32.330002,32.330002,2540300,0.003103,0.009660,0.153344,-0.005746,0.648545,
2012-05-16,32.439999,32.740002,32.189999,32.360001,32.360001,4373600,0.000928,0.009558,0.151732,-0.004404,0.673470,
