Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,7.440000,7.450000,7.200000,7.280000,7.280000,15663000,,,,,,
2012-02-22,7.240000,7.270000,7.000000,7.140000,7.140000,20775200,-0.019231,,,-0.003340,,1.621904
2012-02-23,7.110000,7.300000,7.050000,7.290000,7.290000,16384600,0.021008,,,0.004272,,
2012-02-24,7.420000,7.570000,7.380000,7.460000,7.460000,19280700,0.023320,,,0.001672,,
2012-02-27,7.400000,7.590000,7.270000,7.470000,7.470000,14762600,0.001340,,,0.001355,,
2012-02-28,7.450000,7.610000,7.430000,7.520000,7.520000,10513600,0.006693,,,0.003356,,
2012-02-29,7.520000,7.550000,7.340000,7.350000,7.350000,13941400,-0.022606,,,-0.004737,,
2012-03-01,7.470000,7.700000,7.420000,7.510000,7.510000,19151900,0.021769,,,0.006158,,
2012-03-02,7.500000,7.630000,7.430000,7.460000,7.460000,11203300,-0.006658,,,-0.003246,,
2012-03-05,7.350000,7.440000,7.030000,7.070000,7.070000,25144300,-0.052279,,,-0.003870,,
2012-03-06,6.910000,6.950000,6.760000,6.900000,6.900000,15020700,-0.024045,,,-0.015370,,
2012-03-07,7.000000,7.230000,6.920000,7.170000,7.170000,18978700,0.039130,,,0.006901,,
2012-03-08,7.240000,7.500000,7.220000,7.470000,7.470000,21247000,0.041841,,,0.009818,,
2012-03-09,7.560000,7.650000,7.530000,7.580000,7.580000,15093300,0.014726,,,0.003631,,
2012-03-12,7.550000,7.600000,7.430000,7.500000,7.500000,15385500,-0.010554,0.026700,0.423845,0.000160,3.148586,
2012-03-13,7.560000,7.790000,7.540000,7.760000,7.760000,17889900,0.034667,0.027212,0.431980,0.018132,2.566643,
2012-03-14,7.750000,7.990000,7.730000,7.760000,7.760000,22707000,0.000000,0.026917,0.427295,-0.001196,2.531731,
2012-03-15,7.960000,8.280000,7.920000,8.250000,8.250000,27147900,0.063144,0.030842,0.489598,0.005967,2.753380,
2012-03-16,8.310000,8.330000,8.110000,8.200000,8.200000,14106400,-0.006061,0.031021,0.492447,0.001119,2.760781,
2012-03-19,8.190000,8.230000,8.080000,8.180000,8.180000,12016800,-0.002439,0.031127,0.494124,0.003974,2.732059,
2012-03-20,8.050000,8.090000,7.920000,8.060000,8.060000,16426200,-0.014670,0.030625,0.486153,-0.003001,2.695929,
2012-03-21,8.090000,8.180000,8.010000,8.040000,8.040000,9085100,-0.002481,0.030413,0.482787,-0.001871,2.672061,
2012-03-22,7.970000,8.040000,7.900000,8.030000,8.030000,9346900,-0.001244,0.030283,0.480727,-0.007207,2.506714,
2012-03-23,8.050000,8.120000,7.950000,8.090000,8.090000,8149200,0.007472,0.025281,0.401328,0.003109,2.217377,
2012-03-26,8.160000,8.250000,8.120000,8.240000,8.240000,8692000,0.018541,0.023364,0.370891,0.013886,2.101528,
2012-03-27,8.250000,8.350000,8.170000,8.190000,8.190000,9802000,-0.006068,0.022586,0.358543,-0.002817,2.030550,
2012-03-28,8.170000,8.270000,7.980000,8.080000,8.080000,15385000,-0.013431,0.021347,0.338872,-0.004942,1.890353,
2012-03-29,7.980000,8.120000,7.930000,8.120000,8.120000,13920300,0.004950,0.021193,0.336426,-0.001608,1.842999,
2012-03-30,8.180000,8.200000,7.950000,8.020000,8.020000,14586100,-0.012315,0.021298,0.338096,0.003698,1.756509,
2012-04-02,8.030000,8.240000,7.950000,8.200000,8.200000,12477300,0.022444,0.020211,0.320845,0.007505,1.893514,
2012-04-03,8.090000,8.170000,7.910000,7.980000,7.980000,18446600,-0.026829,0.021840,0.346692,-0.003989,2.117908,
2012-04-04,7.890000,7.890000,7.600000,7.810000,7.810000,16055700,-0.021303,0.013956,0.221543,-0.010203,1.525897,
2012-04-05,7.610000,7.890000,7.600000,7.870000,7.870000,14951800,0.007682,0.014266,0.226462,-0.000629,1.529612,
2012-04-09,7.710000,7.850000,7.660000,7.750000,7.750000,10066600,-0.015248,0.014644,0.232469,-0.011358,1.494585,
2012-04-10,7.730000,7.890000,7.520000,7.530000,7.530000,16439400,-0.028387,0.015841,0.251467,-0.017081,1.478583,
2012-04-11,7.640000,7.800000,7.620000,7.640000,7.640000,9540800,0.014608,0.016665,0.264542,0.007449,1.512954,
2012-04-12,7.840000,7.950000,7.710000,7.920000,7.920000,10959900,0.036649,0.019836,0.314890,0.013779,1.756490,
2012-04-13,7.850000,7.860000,7.680000,7.730000,7.730000,11975400,-0.023990,0.020594,0.326926,-0.012475,1.750007,
2012-04-16,7.800000,7.840000,7.550000,7.700000,7.700000,14931000,-0.003881,0.019636,0.311707,-0.000504,1.856450,
2012-04-17,7.830000,8.010000,7.800000,7.940000,7.940000,15773800,0.031169,0.021829,0.346518,0.015487,1.857240,
2012-04-18,7.810000,8.060000,7.790000,7.970000,7.970000,13999400,0.003778,0.021618,0.343181,-0.004055,1.819992,
2012-04-19,8.010000,8.060000,7.750000,7.970000,7.970000,25074700,0.000000,0.021558,0.342225,-0.005934,1.786474,
2012-04-20,8.160000,8.210000,7.730000,7.760000,7.760000,38757700,-0.026349,0.022428,0.356029,0.001169,1.807331,
2012-04-23,7.590000,7.650000,7.390000,7.390000,7.390000,23445100,-0.047680,0.024275,0.385348,-0.008408,1.894928,
2012-04-24,7.440000,7.480000,7.260000,7.310000,7.310000,20552900,-0.010825,0.023644,0.375338,0.003680,1.799536,
2012-04-25,7.420000,7.480000,7.210000,7.390000,7.390000,17392100,0.010944,0.023608,0.374760,0.013645,1.674970,
2012-04-26,7.350000,7.490000,7.310000,7.450000,7.450000,22484700,0.008119,0.023624,0.375021,0.006680,1.677016,
2012-04-27,7.440000,7.490000,7.220000,7.330000,7.330000,19381300,-0.016107,0.023658,0.375554,0.002414,1.744354,
2012-04-30,7.300000,7.460000,7.300000,7.360000,7.360000,13327200,0.004093,0.022622,0.359106,-0.003884,1.821000,
2012-05-01,7.340000,7.640000,7.310000,7.590000,7.590000,18849900,0.031250,0.023927,0.379822,0.005658,1.884322,
2012-05-02,7.510000,7.650000,7.470000,7.630000,7.630000,14124600,0.005270,0.021562,0.342282,-0.002497,1.639856,
2012-05-03,7.570000,7.720000,7.370000,7.410000,7.410000,15768500,-0.028834,0.021969,0.348749,-0.007659,1.805461,
2012-05-04,7.350000,7.400000,7.130000,7.180000,7.180000,12320600,-0.031039,0.023235,0.368851,-0.016147,1.725266,
2012-05-07,7.130000,7.320000,7.130000,7.180000,7.180000,10558200,0.000000,0.020908,0.331902,0.000351,1.582355,
2012-05-08,7.100000,7.120000,6.900000,7.030000,7.030000,12568300,-0.020891,0.020973,0.332937,-0.004279,1.676209,
2012-05-09,6.900000,6.960000,6.720000,6.860000,6.860000,19307400,-0.024182,0.021194,0.336452,-0.006702,1.818421,
2012-05-10,6.580000,6.850000,6.480000,6.780000,6.780000,26539700,-0.011662,0.020705,0.328674,0.002517,1.837509,
2012-05-11,6.730000,7.030000,6.720000,6.780000,6.780000,17698800,0.000000,0.017613,0.279605,-0.003387,1.543280,
2012-05-14,6.690000,6.890000,6.630000,6.750000,6.750000,13394600,-0.004425,0.017561,0.278777,-0.011113,1.409119,
2012-05-15,6.760000,6.820000,6.530000,6.600000,6.600000,12501500,-0.022222,0.017404,0.276279,-0.005746,1.662766,
2012-05-16,6.660000,6.760000,6.390000,6.390000,6.390000,17258100,-0.031818,0.017843,0.283255,-0.004404,1.721986,
2012-05-17,6.380000,6.420000,6.110000,6.130000,6.130000,27076500,-0.040689,0.019539,0.310179,-0.015051,2.148200,
2012-05-18,6.190000,6.290000,6.000000,6.010000,6.010000,14979900,-0.019576,0.019009,0.301760,-0.007388,2.115432,
