Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,9.132500,9.237500,9.029000,9.113000,9.113000,135130000,,,,,,
2012-02-22,9.097500,9.149500,9.014500,9.029000,9.029000,115708000,-0.009218,,,-0.003340,,1.151320
2012-02-23,8.982000,9.037500,8.848000,8.944500,8.944500,103076000,-0.009359,,,0.004272,,
2012-02-24,8.985000,9.037000,8.918500,8.956500,8.956500,73374000,0.001342,,,0.001672,,
2012-02-27,8.877000,8.959500,8.825000,8.926500,8.926500,74124000,-0.003350,,,0.001355,,
2012-02-28,8.945000,9.214500,8.897500,9.190000,9.190000,115290000,0.029519,,,0.003356,,
2012-02-29,9.194500,9.200000,8.950500,8.984500,8.984500,106006000,-0.022361,,,-0.004737,,
2012-03-01,8.994500,9.024500,8.829000,9.002000,9.002000,98720000,0.001948,,,0.006158,,
2012-03-02,8.974000,9.092000,8.946000,8.965000,8.965000,73156000,-0.004110,,,-0.003246,,
2012-03-05,8.950000,9.091000,8.909000,9.013000,9.013000,93654000,0.005354,,,-0.003870,,
2012-03-06,8.934000,9.175000,8.902000,9.054500,9.054500,112244000,0.004604,,,-0.015370,,
2012-03-07,9.132500,9.275000,9.120000,9.188500,9.188500,99030000,0.014799,,,0.006901,,
2012-03-08,9.208500,9.419000,9.190000,9.382000,9.382000,84430000,0.021059,,,0.009818,,
2012-03-09,9.339500,9.360000,9.172000,9.216000,9.216000,90212000,-0.017693,,,0.003631,,
2012-03-12,9.206500,9.270000,9.110000,9.169500,9.169500,51752000,-0.005046,0.014209,0.225555,0.000160,0.654652,
2012-03-13,9.196000,9.243500,9.038500,9.229500,9.229500,88116000,0.006543,0.013999,0.222232,0.018132,0.487337,
2012-03-14,9.182500,9.216000,9.057000,9.113000,9.113000,73994000,-0.012623,0.014222,0.225773,-0.001196,0.567238,
2012-03-15,9.101000,9.221500,9.015000,9.221500,9.221500,83202000,0.011906,0.014495,0.230102,0.005967,0.603583,
2012-03-16,9.164000,9.284000,9.117500,9.252500,9.252500,98680000,0.003362,0.014409,0.228732,0.001119,0.598683,
2012-03-19,9.172500,9.334000,9.150000,9.276000,9.276000,78068000,0.002540,0.012171,0.193205,0.003974,0.553757,
2012-03-20,9.244000,9.720500,9.144000,9.616500,9.616500,183308000,0.036708,0.013692,0.217355,-0.003001,0.166905,
2012-03-21,9.625000,9.714000,9.563000,9.586500,9.586500,84288000,-0.003120,0.013844,0.219763,-0.001871,0.217072,
2012-03-22,9.527000,9.703000,9.513000,9.620000,9.620000,74792000,0.003494,0.013624,0.216267,-0.007207,0.170474,
2012-03-23,9.600500,9.810000,9.590000,9.752000,9.752000,119680000,0.013721,0.013816,0.219323,0.003109,0.190981,
2012-03-26,9.824000,10.148500,9.775000,10.143500,10.143500,152274000,0.040146,0.016581,0.263222,0.013886,0.756252,
2012-03-27,10.179500,10.492500,10.144000,10.272000,10.272000,192016000,0.012668,0.016527,0.262352,-0.002817,0.648267,
2012-03-28,10.307000,10.350000,10.015500,10.058000,10.058000,124900000,-0.020833,0.017751,0.281782,-0.004942,0.793529,
