Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,46.869999,46.869999,45.990002,46.200001,32.636734,2901800,,,,,,
2012-02-22,46.099998,46.150002,45.709999,45.959999,32.467182,2425600,-0.005195,,,-0.003340,,1.345918
2012-02-23,46.470001,46.500000,45.869999,46.250000,32.672054,3230300,0.006310,,,0.004272,,
2012-02-24,46.459999,46.770000,46.220001,46.310001,32.714439,1751500,0.001297,,,0.001672,,
2012-02-27,45.570000,46.270000,45.470001,46.070000,32.544895,2184300,-0.005183,,,0.001355,,
2012-02-28,46.599998,47.770000,46.580002,47.730000,33.717556,3497100,0.036032,,,0.003356,,
2012-02-29,46.959999,47.080002,45.459999,45.549999,32.177555,3077700,-0.045674,,,-0.004737,,
2012-03-01,45.470001,45.759998,45.270000,45.389999,32.064529,1942900,-0.003513,,,0.006158,,
2012-03-02,45.389999,45.459999,45.020000,45.200001,31.930309,2073200,-0.004186,,,-0.003246,,
2012-03-05,45.150002,45.189999,44.590000,45.040001,31.817282,1874700,-0.003540,,,-0.003870,,
2012-03-06,44.099998,44.869999,44.080002,44.740002,31.605356,4213700,-0.006661,,,-0.015370,,
2012-03-07,44.980000,45.810001,44.919998,45.639999,32.241135,1859400,0.020116,,,0.006901,,
2012-03-08,45.959999,46.549999,45.689999,46.320000,32.721493,1521900,0.014899,,,0.009818,,
2012-03-09,46.389999,46.869999,46.220001,46.680000,32.975811,1486200,0.007772,,,0.003631,,
2012-03-12,46.520000,46.709999,46.290001,46.500000,32.848652,935200,-0.003856,0.018109,0.287470,0.000160,1.412893,
2012-03-13,46.759998,47.669998,46.759998,47.610001,33.632786,1519600,0.023871,0.019034,0.302156,0.018132,1.344351,
2012-03-14,47.160000,47.730000,47.070000,47.320000,33.427914,1242200,-0.006091,0.019141,0.303854,-0.001196,1.356983,
2012-03-15,47.509998,48.200001,47.459999,48.160000,34.021320,1614300,0.017752,0.019607,0.311249,0.005967,1.401442,
2012-03-16,48.119999,48.380001,47.939999,48.049999,33.943615,863800,-0.002284,0.019529,0.310016,0.001119,1.400437,
2012-03-19,48.279999,48.689999,48.020000,48.349998,34.155544,952700,0.006244,0.017154,0.272309,0.003974,1.351145,
2012-03-20,47.830002,48.730000,47.720001,48.529999,34.282688,1634000,0.003722,0.010648,0.169034,-0.003001,0.994597,
2012-03-21,48.869999,49.090000,48.349998,48.439999,34.219120,2596000,-0.001854,0.010560,0.167633,-0.001871,1.072210,
2012-03-22,47.599998,48.000000,47.439999,47.799999,33.766994,1834900,-0.013213,0.011388,0.180776,-0.007207,1.128987,
2012-03-23,47.529999,47.970001,47.439999,47.770000,33.745823,898200,-0.000627,0.011264,0.178813,0.003109,1.108882,
2012-03-26,48.509998,49.000000,48.400002,48.930000,34.565266,1419500,0.024283,0.011968,0.189987,0.013886,1.474145,
2012-03-27,49.060001,49.240002,48.830002,49.000000,34.614716,1464300,0.001431,0.011357,0.180284,-0.002817,1.377645,
2012-03-28,49.599998,49.619999,48.480000,48.889999,34.537003,1715000,-0.002245,0.011147,0.176948,-0.004942,1.332881,
2012-03-29,48.810001,49.689999,48.669998,49.639999,35.066822,1780900,0.015341,0.011525,0.182953,-0.001608,1.249007,
2012-03-30,50.090000,50.320000,49.490002,50.139999,35.420029,1973800,0.010072,0.011351,0.180199,0.003698,1.240275,
2012-04-02,50.259998,50.970001,50.040001,50.750000,35.850952,1906100,0.012166,0.010271,0.163039,0.007505,1.354095,
2012-04-03,50.580002,50.770000,49.740002,49.959999,35.292877,1791900,-0.015567,0.011292,0.179258,-0.003989,1.456574,
2012-04-04,48.860001,49.009998,47.700001,48.180000,34.035442,3126700,-0.035629,0.014753,0.234200,-0.010203,1.792897,
2012-04-05,47.930000,48.240002,47.849998,47.990002,33.901226,1340200,-0.003943,0.014781,0.234637,-0.000629,1.807529,
2012-04-09,47.520000,48.320000,47.330002,48.070000,33.957745,802400,0.001667,0.014683,0.233079,-0.011358,1.463603,
2012-04-10,47.880001,48.240002,47.049999,47.180000,33.329021,1358600,-0.018515,0.015398,0.244432,-0.017081,1.359930,
2012-04-11,47.259998,47.720001,47.060001,47.110001,33.279568,2294600,-0.001484,0.015398,0.244439,0.007449,1.229375,
2012-04-12,47.939999,49.580002,47.910000,48.910000,34.551140,4319800,0.038209,0.018338,0.291110,0.013779,1.437840,
2012-04-13,48.930000,48.970001,48.349998,48.689999,34.395714,2155200,-0.004498,0.018407,0.292196,-0.012475,1.355861,
2012-04-16,48.889999,49.619999,48.680000,49.340000,34.854900,2449300,0.013350,0.017580,0.279073,-0.000504,1.366609,
2012-04-17,49.680000,50.169998,49.349998,49.430000,34.918468,3194500,0.001824,0.017581,0.279097,0.015487,1.061900,
2012-04-18,47.810001,49.560001,47.740002,49.290001,34.819576,5002600,-0.002832,0.017590,0.279231,-0.004055,1.066447,
2012-04-19,50.740002,51.349998,49.570000,50.049999,35.356449,3425100,0.015419,0.017595,0.279310,-0.005934,1.001447,
2012-04-20,50.080002,50.570000,49.500000,49.590000,35.031502,3211100,-0.009191,0.017561,0.278779,0.001169,0.961734,
2012-04-23,48.770000,48.810001,47.959999,48.180000,34.035442,2881100,-0.028433,0.018604,0.295335,-0.008408,1.026101,
2012-04-24,48.910000,49.000000,47.900002,48.310001,34.127281,2812800,0.002698,0.018335,0.291057,0.003680,1.007969,
2012-04-25,49.439999,49.540001,48.860001,49.490002,34.960857,1828900,0.024426,0.016891,0.268130,0.013645,0.936220,
2012-04-26,50.150002,51.759998,50.110001,51.540001,36.409023,3362900,0.041422,0.019760,0.313684,0.006680,1.070194,
2012-04-27,51.360001,51.470001,50.790001,51.099998,36.098198,1729300,-0.008537,0.020090,0.318912,0.002414,1.141738,
2012-04-30,50.500000,51.360001,50.470001,50.990002,36.443413,1671400,0.009563,0.018980,0.301290,-0.003884,1.065501,
2012-05-01,51.049999,51.610001,50.869999,51.250000,36.629238,1014200,0.005099,0.018846,0.299167,0.005658,1.121519,
2012-05-02,50.410000,50.740002,50.200001,50.520000,36.107494,1973700,-0.014244,0.017324,0.275018,-0.002497,0.930922,
2012-05-03,50.310001,50.529999,49.700001,49.740002,35.550014,1214400,-0.015439,0.017939,0.284769,-0.007659,1.147367,
2012-05-04,49.130001,49.490002,48.380001,48.599998,34.735237,998500,-0.022919,0.018849,0.299211,-0.016147,1.215688,
2012-05-07,49.080002,49.450001,48.759998,49.189999,35.156918,1407300,0.012140,0.019128,0.303653,0.000351,1.623197,
2012-05-08,48.330002,48.830002,47.759998,48.660000,34.778118,1825900,-0.010775,0.019356,0.307269,-0.004279,1.653284,
2012-05-09,47.500000,48.230000,47.299999,47.950001,34.270672,2400500,-0.014591,0.019189,0.304611,-0.006702,1.830032,
2012-05-10,47.880001,48.169998,47.400002,47.810001,34.170601,2849300,-0.002920,0.019082,0.302921,0.002517,1.826455,
2012-05-11,47.650002,49.310001,47.650002,48.430000,34.613731,2617600,0.012968,0.017768,0.282059,-0.003387,1.630601,
2012-05-14,47.020000,47.529999,46.689999,47.160000,33.706039,2378500,-0.026223,0.019221,0.305124,-0.011113,1.776315,
2012-05-15,47.090000,47.840000,47.020000,47.470001,33.927608,1985100,0.006574,0.017977,0.285370,-0.005746,1.834627,
2012-05-16,47.270000,47.310001,46.279999,46.320000,33.105679,2274800,-0.024226,0.013875,0.220265,-0.004404,1.293109,
2012-05-17,46.029999,46.299999,45.160000,45.169998,32.283756,1515300,-0.024827,0.014701,0.233379,-0.015051,1.499203,
2012-05-18,45.610001,45.639999,44.849998,44.880001,32.076485,2564800,-0.006420,0.013841,0.219722,-0.007388,1.435264,
2012-05-21,45.549999,46.380001,45.250000,46.279999,33.077087,1580300,0.031194,0.017227,0.273467,0.016036,1.636696,
2012-05-22,46.790001,47.049999,46.430000,46.750000,33.413017,1496300,0.010156,0.017679,0.280648,0.000486,1.705597,
2012-05-23,46.209999,46.430000,45.380001,46.380001,33.148563,1287300,-0.007915,0.017463,0.277215,0.001694,1.605768,
2012-05-24,46.419998,46.700001,45.840000,46.220001,33.034222,720800,-0.003449,0.016670,0.264624,0.001380,1.625400,
2012-05-25,45.450001,46.200001,45.389999,46.000000,32.876976,1424100,-0.004760,0.016054,0.254856,-0.002166,1.581096,
2012-05-29,47.430000,47.630001,46.840000,46.990002,33.584541,1375700,0.021522,0.017374,0.275805,0.011079,1.607537,
2012-05-30,46.130001,46.279999,45.790001,45.860001,32.776913,1953400,-0.024048,0.018057,0.286646,-0.014335,1.589639,
2012-05-31,45.970001,46.110001,45.509998,45.810001,32.741169,903100,-0.001091,0.018064,0.286764,-0.002277,1.627851,
2012-06-01,44.529999,44.830002,43.740002,43.799999,31.304600,2788800,-0.043877,0.020455,0.324709,-0.024643,1.649725,
2012-06-04,44.209999,44.380001,43.830002,43.970001,31.426098,1544500,0.003881,0.019847,0.315059,0.000110,1.622377,
2012-06-05,44.639999,45.360001,44.599998,45.130001,32.255180,1089400,0.026382,0.021368,0.339211,0.005727,1.736299,
2012-06-06,45.630001,47.360001,45.619999,47.340000,33.834686,1525600,0.048969,0.024590,0.390354,0.023049,1.756260,
2012-06-07,48.299999,48.310001,47.209999,47.279999,33.791809,2131100,-0.001267,0.023402,0.371501,-0.000106,1.765252,
2012-06-08,47.020000,47.990002,47.000000,47.889999,34.227795,2019500,0.012902,0.023341,0.370523,0.008114,1.774042,
2012-06-11,48.560001,48.810001,47.570000,47.650002,34.056259,1580400,-0.005012,0.022180,0.352100,-0.012620,1.668260,
2012-06-12,47.680000,49.009998,47.520000,48.930000,34.971092,1479000,0.026862,0.023066,0.366166,0.011651,1.685066,
2012-06-13,49.549999,50.259998,49.130001,49.750000,35.557156,2513000,0.016759,0.023069,0.366210,-0.007023,1.607938,
2012-06-14,49.389999,49.529999,48.540001,49.029999,35.042564,1722200,-0.014472,0.023572,0.374196,0.010815,1.430373,
2012-06-15,49.360001,50.029999,49.310001,49.930000,35.685810,1232000,0.018356,0.023684,0.375976,0.010338,1.417473,
2012-06-18,49.849998,50.700001,49.580002,50.470001,36.071758,2141500,0.010815,0.023319,0.370181,0.001445,1.415925,
