Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,35.480000,35.880001,35.279999,35.470001,25.939598,2044900,,,,,,
2012-02-22,35.340000,36.320000,35.340000,35.900002,26.254059,2433300,0.012123,,,-0.003340,,1.339479
2012-02-23,35.799999,37.259998,35.709999,37.189999,27.197451,4760600,0.035933,,,0.004272,,
2012-02-24,37.349998,37.400002,36.169998,36.320000,26.561213,1932500,-0.023393,,,0.001672,,
2012-02-27,36.209999,37.189999,35.540001,36.980000,27.043869,2621600,0.018171,,,0.001355,,
2012-02-28,36.830002,37.419998,36.560001,37.009998,27.065813,2158100,0.000811,,,0.003356,,
2012-02-29,36.939999,37.700001,36.709999,37.610001,27.504601,3450300,0.016212,,,-0.004737,,
2012-03-01,37.740002,37.799999,37.160000,37.320000,27.292517,1255000,-0.007711,,,0.006158,,
2012-03-02,37.250000,37.299999,36.330002,36.599998,26.765985,1960100,-0.019292,,,-0.003246,,
2012-03-05,36.520000,36.549999,35.290001,35.450001,25.924973,2488100,-0.031421,,,-0.003870,,
2012-03-06,34.689999,35.480000,34.599998,35.310001,25.822584,1993600,-0.003949,,,-0.015370,,
2012-03-07,35.509998,35.970001,35.259998,35.750000,26.144365,1285700,0.012461,,,0.006901,,
2012-03-08,36.299999,36.820000,36.099998,36.419998,26.634344,1747800,0.018741,,,0.009818,,
2012-03-09,36.520000,36.820000,36.049999,36.770000,26.890303,1330700,0.009610,,,0.003631,,
2012-03-12,36.730000,36.860001,36.099998,36.599998,26.765985,872400,-0.004623,0.018714,0.297076,0.000160,0.907905,
2012-03-13,36.950001,37.669998,36.880001,37.630001,27.519222,1290200,0.028142,0.019811,0.314497,0.018132,1.154724,
2012-03-14,37.599998,38.369999,37.000000,37.110001,27.138939,2228200,-0.013819,0.017928,0.284605,-0.001196,1.106994,
2012-03-15,37.139999,37.770000,36.889999,37.759998,27.711370,1624800,0.021093,0.017399,0.276196,0.005967,1.173957,
2012-03-16,37.840000,38.799999,37.669998,37.900002,27.814117,2352000,0.003708,0.016861,0.267656,0.001119,1.182683,
2012-03-19,37.770000,38.160000,37.619999,38.060001,27.931543,1005800,0.004222,0.016865,0.267719,0.003974,1.186507,
2012-03-20,37.700001,38.150002,37.500000,38.029999,27.909517,1764200,-0.000789,0.016398,0.260311,-0.003001,1.347477,
2012-03-21,38.090000,38.599998,37.849998,38.360001,28.151695,1360400,0.008677,0.016300,0.258754,-0.001871,1.375903,
2012-03-22,38.180000,38.340000,37.860001,37.950001,27.850815,1968000,-0.010688,0.015567,0.247124,-0.007207,1.304357,
2012-03-23,37.810001,38.169998,37.520000,38.099998,27.960888,1486300,0.003952,0.012027,0.190920,0.003109,1.126873,
2012-03-26,38.459999,38.849998,37.970001,38.840000,28.503963,1667800,0.019423,0.012237,0.194263,0.013886,1.448503,
2012-03-27,38.689999,39.020000,38.380001,38.779999,28.459921,1759700,-0.001545,0.012342,0.195923,-0.002817,1.431303,
2012-03-28,38.830002,38.869999,37.790001,37.970001,27.865488,1669100,-0.020887,0.013702,0.217506,-0.004942,1.555216,
2012-03-29,37.650002,38.369999,37.500000,38.340000,28.137020,1302400,0.009744,0.013706,0.217582,-0.001608,1.485144,
