Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,14.555000,14.585000,14.455000,14.535000,11.394863,28840400,,,,,,
2012-02-22,14.485000,14.645000,14.410000,14.640000,11.477184,42155200,0.007224,,,-0.003340,,0.888666
2012-02-23,14.615000,14.915000,14.590000,14.905000,11.684930,40036800,0.018101,,,0.004272,,
2012-02-24,14.960000,14.960000,14.525000,14.595000,11.441901,32293400,-0.020798,,,0.001672,,
2012-02-27,14.455000,14.695000,14.450000,14.595000,11.441901,24301200,0.000000,,,0.001355,,
2012-02-28,14.600000,14.695000,14.520000,14.685000,11.512462,27391800,0.006167,,,0.003356,,
2012-02-29,14.700000,14.775000,14.635000,14.705000,11.528139,34100800,0.001362,,,-0.004737,,
2012-03-01,14.705000,14.820000,14.645000,14.725000,11.543818,26189600,0.001360,,,0.006158,,
2012-03-02,14.680000,14.805000,14.540000,14.620000,11.461504,22269800,-0.007131,,,-0.003246,,
2012-03-05,14.590000,14.610000,14.405000,14.550000,11.406627,26689200,-0.004788,,,-0.003870,,
2012-03-06,14.425000,14.580000,14.360000,14.460000,11.336065,28928600,-0.006186,,,-0.015370,,
2012-03-07,14.480000,14.660000,14.400000,14.620000,11.461504,25720400,0.011065,,,0.006901,,
2012-03-08,14.720000,14.875000,14.695000,14.810000,11.610453,20373400,0.012996,,,0.009818,,
2012-03-09,14.905000,14.930000,14.840000,14.920000,11.696692,18266600,0.007428,,,0.003631,,
2012-03-12,14.845000,14.925000,14.775000,14.805000,11.606536,17551200,-0.007708,0.010176,0.161532,0.000160,0.709330,
2012-03-13,14.915000,15.025000,14.825000,15.020000,11.775088,22979000,0.014522,0.010674,0.169439,0.018132,0.758773,
2012-03-14,15.000000,15.000000,14.860000,14.895000,11.677094,22330800,-0.008322,0.009893,0.157051,-0.001196,0.739181,
2012-03-15,14.890000,14.945000,14.710000,14.900000,11.681013,22826200,0.000336,0.007885,0.125163,0.005967,0.718433,
2012-03-16,14.865000,14.915000,14.700000,14.750000,11.563416,41784200,-0.010067,0.008470,0.134455,0.001119,0.727793,
2012-03-19,14.680000,14.990000,14.635000,14.930000,11.704532,19612200,0.012204,0.008907,0.141397,0.003974,0.743655,
2012-03-20,14.855000,14.970000,14.725000,14.885000,11.669251,20913400,-0.003014,0.008978,0.142526,-0.003001,0.789474,
2012-03-21,14.885000,14.950000,14.765000,14.855000,11.645733,22079800,-0.002015,0.009010,0.143036,-0.001871,0.804310,
2012-03-22,14.780000,14.950000,14.765000,14.945000,11.716288,24280600,0.006058,0.008820,0.140013,-0.007207,0.664553,
2012-03-23,14.970000,15.000000,14.820000,14.995000,11.755487,16772000,0.003346,0.008632,0.137032,0.003109,0.647520,
2012-03-26,15.045000,15.195000,14.975000,15.175000,11.896599,27013400,0.012004,0.008644,0.137213,0.013886,0.772992,
2012-03-27,15.135000,15.205000,15.070000,15.085000,11.826045,23676400,-0.005931,0.008691,0.137965,-0.002817,0.779199,
2012-03-28,15.025000,15.100000,14.910000,14.960000,11.728048,27187000,-0.008287,0.008531,0.135429,-0.004942,0.760273,
2012-03-29,14.860000,14.930000,14.750000,14.915000,11.692773,24489000,-0.003008,0.008357,0.132669,-0.001608,0.748796,
2012-03-30,14.995000,15.025000,14.865000,15.005000,11.763330,19683400,0.006034,0.008187,0.129958,0.003698,0.743259,
2012-04-02,14.875000,15.075000,14.785000,15.025000,11.843331,23701200,0.006801,0.007430,0.117947,0.007505,0.740604,
2012-04-03,14.920000,14.970000,14.720000,14.830000,11.689625,25682000,-0.012978,0.007939,0.126028,-0.003989,0.808582,
2012-04-04,14.750000,14.785000,14.545000,14.660000,11.555626,22310400,-0.011463,0.008518,0.135217,-0.010203,0.888010,
