Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,32.637501,32.737499,31.692499,31.902500,31.902500,10157600,,,,,,
2012-02-22,32.255001,32.450001,31.934999,32.017502,32.017502,7881200,0.003605,,,-0.003340,,1.265806
2012-02-23,32.000000,33.000000,31.762501,32.942501,32.942501,20930800,0.028890,,,0.004272,,
2012-02-24,36.384998,36.564999,34.937500,35.910000,35.910000,58348400,0.090081,,,0.001672,,
2012-02-27,35.182499,36.072498,35.002499,35.837502,35.837502,15408000,-0.002019,,,0.001355,,
2012-02-28,35.250000,35.875000,35.250000,35.865002,35.865002,11445200,0.000767,,,0.003356,,
2012-02-29,35.737499,36.250000,35.542500,35.790001,35.790001,10067200,-0.002091,,,-0.004737,,
2012-03-01,35.994999,36.397499,35.505001,36.244999,36.244999,9913600,0.012713,,,0.006158,,
2012-03-02,35.997501,36.500000,35.877499,35.947498,35.947498,9123200,-0.008208,,,-0.003246,,
2012-03-05,35.852501,35.855000,35.052502,35.520000,35.520000,7858400,-0.011892,,,-0.003870,,
2012-03-06,34.950001,35.345001,34.584999,35.172501,35.172501,9244000,-0.009783,,,-0.015370,,
2012-03-07,35.334999,36.000000,35.279999,35.865002,35.865002,6978800,0.019689,,,0.006901,,
2012-03-08,36.002499,36.875000,35.980000,36.520000,36.520000,9545200,0.018263,,,0.009818,,
2012-03-09,36.520000,37.000000,36.407501,36.857498,36.857498,7590400,0.009241,,,0.003631,,
2012-03-12,36.782501,37.000000,36.377499,36.792500,36.792500,6205200,-0.001763,0.025859,0.410505,0.000160,1.514371,
2012-03-13,36.997501,38.217499,36.952499,38.064999,38.064999,11707600,0.034586,0.026537,0.421269,0.018132,1.419786,
2012-03-14,37.967499,38.090000,37.402500,37.902500,37.902500,6467600,-0.004269,0.026466,0.420128,-0.001196,1.420462,
2012-03-15,37.992500,38.610001,37.750000,38.107498,38.107498,8651600,0.005409,0.013202,0.209577,0.005967,1.390419,
2012-03-16,38.400002,38.465000,37.555000,37.847500,37.847500,7921200,-0.006823,0.013440,0.213356,0.001119,1.395995,
2012-03-19,37.869999,37.882500,37.169998,37.485001,37.485001,6862800,-0.009578,0.013907,0.220769,0.003974,1.366091,
2012-03-20,37.312500,37.825001,36.822498,37.747501,37.747501,6388800,0.007003,0.013851,0.219874,-0.003001,1.336130,
2012-03-21,38.107498,39.012501,37.904999,38.592499,38.592499,9936800,0.022386,0.014548,0.230942,-0.001871,1.222813,
