Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,20.299999,20.490000,20.170000,20.360001,14.124203,41222900,,,,,,
2012-02-22,20.410000,20.459999,20.049999,20.120001,13.957708,36219200,-0.011788,,,-0.003340,,0.990189
2012-02-23,20.080000,20.250000,19.920000,20.230000,14.034019,30008000,0.005467,,,0.004272,,
2012-02-24,20.270000,20.330000,20.110001,20.139999,13.971583,27220500,-0.004449,,,0.001672,,
2012-02-27,19.990000,20.260000,19.969999,20.170000,13.992396,37170200,0.001490,,,0.001355,,
2012-02-28,20.160000,20.219999,20.020000,20.200001,14.013201,34349100,0.001487,,,0.003356,,
2012-02-29,20.180000,20.200001,19.840000,19.879999,13.791212,46229800,-0.015841,,,-0.004737,,
2012-03-01,19.910000,19.959999,19.740000,19.879999,13.791212,43149300,0.000000,,,0.006158,,
2012-03-02,19.840000,19.889999,19.709999,19.760000,13.707969,27449600,-0.006036,,,-0.003246,,
2012-03-05,19.730000,19.750000,19.459999,19.600000,13.596973,31971300,-0.008097,,,-0.003870,,
2012-03-06,19.430000,19.530001,19.320000,19.480000,13.513724,36742300,-0.006123,,,-0.015370,,
2012-03-07,19.500000,19.530001,19.400000,19.410000,13.465166,34751400,-0.003593,,,0.006901,,
2012-03-08,19.570000,19.780001,19.530001,19.680000,13.652472,36655500,0.013910,,,0.009818,,
2012-03-09,19.730000,19.889999,19.680000,19.799999,13.735716,26274400,0.006097,,,0.003631,,
2012-03-12,19.820000,19.879999,19.660000,19.830000,13.756531,26316200,0.001515,0.007752,0.123059,0.000160,0.764169,
2012-03-13,19.900000,20.219999,19.889999,20.219999,14.027080,33326000,0.019667,0.009094,0.144358,0.018132,0.854506,
2012-03-14,20.160000,20.379999,20.059999,20.200001,14.013201,41190400,-0.000989,0.008980,0.142546,-0.001196,0.839926,
2012-03-15,20.059999,20.200001,19.799999,19.910000,13.812025,55020200,-0.014356,0.009712,0.154170,0.005967,0.753938,
2012-03-16,20.010000,20.049999,19.900000,20.030001,13.895274,56363000,0.006027,0.009868,0.156645,0.001119,0.748854,
2012-03-19,19.940001,20.280001,19.940001,20.139999,13.971583,30276500,0.005492,0.009986,0.158516,0.003974,0.757518,
2012-03-20,20.040001,20.639999,20.010000,20.570000,14.269883,61659600,0.021350,0.010432,0.165600,-0.003001,0.522244,
2012-03-21,20.559999,20.650000,20.350000,20.500000,14.221323,39135200,-0.003403,0.010533,0.167214,-0.001871,0.563342,
2012-03-22,20.350000,20.570000,20.270000,20.379999,14.138079,32211700,-0.005853,0.010523,0.167040,-0.007207,0.562861,
