Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,15.111862,15.462462,15.087087,15.365365,15.365365,99132768,,,,,,
2012-02-22,15.314314,15.434935,15.182933,15.213714,15.213714,78601320,-0.009870,,,-0.003340,,1.133008
2012-02-23,15.190190,15.213714,15.023774,15.167918,15.167918,82117800,-0.003010,,,0.004272,,
2012-02-24,15.198949,15.306557,15.152903,15.262763,15.262763,77346576,0.006253,,,0.001672,,
2012-02-27,15.179930,15.324324,15.141642,15.247998,15.247998,72483444,-0.000967,,,0.001355,,
2012-02-28,15.265265,15.509760,15.207207,15.475225,15.475225,113790096,0.014902,,,0.003356,,
2012-02-29,15.480480,15.655656,15.402903,15.471722,15.471722,125350524,-0.000226,,,-0.004737,,
2012-03-01,15.572072,15.658158,15.469219,15.575576,15.575576,89418492,0.006713,,,0.006158,,
2012-03-02,15.565566,15.615616,15.523524,15.546797,15.546797,62869068,-0.001848,,,-0.003246,,
2012-03-05,15.526276,15.577828,15.299800,15.371622,15.371622,63668268,-0.011268,,,-0.003870,,
2012-03-06,15.216466,15.235485,14.860861,15.139139,15.139139,126849024,-0.015124,,,-0.015370,,
2012-03-07,15.241491,15.295045,15.161662,15.185185,15.185185,50529420,0.003042,,,0.006901,,
2012-03-08,15.266266,15.302803,15.173924,15.193694,15.193694,53766180,0.000560,,,0.009818,,
2012-03-09,15.213964,15.312813,15.015015,15.021271,15.021271,106717176,-0.011348,,,0.003631,,
2012-03-12,15.015015,15.190190,14.996496,15.143894,15.143894,66693240,0.008163,0.008610,0.136681,0.000160,0.707239,
2012-03-13,15.233984,15.461712,15.153904,15.459960,15.459960,89742168,0.020871,0.009985,0.158502,0.018132,0.830161,
2012-03-14,15.390390,15.585085,15.351852,15.415165,15.415165,117358524,-0.002897,0.009981,0.158445,-0.001196,0.853596,
2012-03-15,15.430430,15.603103,15.386136,15.543794,15.543794,97306596,0.008344,0.010078,0.159978,0.005967,0.869750,
2012-03-16,15.537788,15.663413,15.516767,15.641642,15.641642,121897980,0.006295,0.010136,0.160902,0.001119,0.863365,
2012-03-19,15.593594,15.947698,15.546547,15.865365,15.865365,86825088,0.014303,0.010078,0.159979,0.003974,0.868950,
2012-03-20,15.788789,15.917417,15.697447,15.853103,15.853103,61558380,-0.000773,0.010087,0.160132,-0.003001,0.890584,
2012-03-21,15.881131,16.200951,15.828579,16.015516,16.015516,98685216,0.010245,0.010263,0.162915,-0.001871,0.835806,
2012-03-22,15.978478,16.236237,15.790791,16.167418,16.167418,96311592,0.009485,0.010379,0.164756,-0.007207,0.694270,
2012-03-23,16.181181,16.228729,16.038540,16.080832,16.080832,77530392,-0.005356,0.009868,0.156646,0.003109,0.612783,
2012-03-26,16.141142,16.253504,16.004505,16.249498,16.249498,72695232,0.010489,0.008470,0.134458,0.013886,0.390134,
2012-03-27,16.191942,16.353853,16.136135,16.191692,16.191692,80207712,-0.003557,0.008772,0.139247,-0.002817,0.460127,
2012-03-28,16.317066,16.481232,16.293293,16.410410,16.410410,101454444,0.013508,0.008989,0.142704,-0.004942,0.411951,
2012-03-29,16.352352,16.431181,16.123625,16.226477,16.226477,76895028,-0.011208,0.008969,0.142383,-0.001608,0.533032,
2012-03-30,16.310061,16.353603,16.041040,16.047047,16.047047,92335572,-0.011058,0.009958,0.158073,0.003698,0.497164,
2012-04-02,16.035286,16.203705,15.886887,16.189190,16.189190,91276632,0.008858,0.008868,0.140772,0.007505,0.211210,
2012-04-03,16.151402,16.214966,15.981982,16.081581,16.081581,81714204,-0.006647,0.009123,0.144830,-0.003989,0.279504,
2012-04-04,15.977227,15.990991,15.793293,15.894645,15.894645,65038896,-0.011624,0.009773,0.155136,-0.010203,0.444639,
2012-04-05,15.821822,15.926677,15.729980,15.823824,15.823824,92655252,-0.004456,0.009801,0.155587,-0.000629,0.437817,
2012-04-09,15.727728,15.899149,15.647898,15.786787,15.786787,87220692,-0.002341,0.009025,0.143273,-0.011358,0.310938,
2012-04-10,15.853854,15.878378,15.629379,15.687187,15.687187,99180720,-0.006309,0.009167,0.145522,-0.017081,0.323199,
2012-04-11,15.865115,15.915916,15.798298,15.914915,15.914915,87872040,0.014517,0.009620,0.152709,0.007449,0.434782,
2012-04-12,16.074825,16.344845,16.022524,16.291542,16.291542,230033736,0.023665,0.011335,0.179937,0.013779,0.708644,
2012-04-13,16.204954,16.240992,15.604104,15.630631,15.630631,326045628,-0.040568,0.015791,0.250667,-0.012475,1.008472,
2012-04-16,15.590591,15.610861,15.056557,15.166917,15.166917,227456316,-0.029667,0.016968,0.269364,-0.000504,1.021710,
2012-04-17,15.229229,15.457708,15.190440,15.254505,15.254505,120835044,0.005775,0.017202,0.273068,0.015487,0.913298,
2012-04-18,15.216466,15.335335,15.085335,15.201451,15.201451,106673220,-0.003478,0.016446,0.261069,-0.004055,0.967647,
2012-04-19,15.157407,15.421922,14.989990,14.997497,14.997497,131652216,-0.013417,0.016517,0.262200,-0.005934,0.976405,
