Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,27.340000,27.370001,27.010000,27.160000,19.117857,34911800,,,,,,
2012-02-22,27.059999,27.350000,26.510000,26.730000,18.815180,51973800,-0.015832,,,-0.003340,,1.192864
2012-02-23,26.559999,26.860001,26.350000,26.660000,18.765915,33800100,-0.002618,,,0.004272,,
2012-02-24,26.719999,26.799999,26.450001,26.700001,18.794069,39309500,0.001500,,,0.001672,,
2012-02-27,26.520000,27.200001,26.450001,26.889999,18.927801,46022400,0.007116,,,0.001355,,
2012-02-28,26.930000,27.299999,26.820000,27.240000,19.174175,32820500,0.013017,,,0.003356,,
2012-02-29,27.250000,27.299999,26.840000,26.879999,18.920767,41856200,-0.013216,,,-0.004737,,
2012-03-01,27.059999,27.139999,26.709999,26.860001,18.906691,39413000,-0.000744,,,0.006158,,
2012-03-02,26.900000,27.030001,26.770000,26.920000,18.948929,29632800,0.002234,,,-0.003246,,
2012-03-05,26.910000,26.910000,26.360001,26.540001,18.681444,32332200,-0.014116,,,-0.003870,,
2012-03-06,26.250000,26.629999,26.200001,26.610001,18.730722,37196700,0.002638,,,-0.015370,,
2012-03-07,26.580000,27.000000,26.520000,26.910000,18.941883,32720900,0.011274,,,0.006901,,
2012-03-08,27.000000,27.040001,26.750000,26.840000,18.892614,37261600,-0.002601,,,0.009818,,
2012-03-09,26.940001,27.170000,26.870001,27.070000,19.054510,29396700,0.008569,,,0.003631,,
2012-03-12,27.000000,27.080000,26.910000,26.990000,18.998199,24006900,-0.002955,0.009114,0.144687,0.000160,0.441796,
2012-03-13,27.120001,27.500000,27.120001,27.490000,19.350153,33796800,0.018526,0.009267,0.147104,0.018132,0.556447,
2012-03-14,27.450001,27.900000,27.340000,27.459999,19.329027,46835700,-0.001092,0.009216,0.146307,-0.001196,0.579215,
2012-03-15,27.500000,27.850000,27.430000,27.750000,19.533159,34191900,0.010561,0.009481,0.150512,0.005967,0.605503,
2012-03-16,27.820000,27.959999,27.700001,27.730000,19.519087,54672100,-0.000720,0.009438,0.149827,0.001119,0.611278,
2012-03-19,27.660000,27.900000,27.540001,27.740000,19.526123,26937200,0.000360,0.008919,0.141577,0.003974,0.588034,
2012-03-20,27.650000,27.900000,27.559999,27.750000,19.533159,22684900,0.000360,0.007894,0.125307,-0.003001,0.492170,
2012-03-21,27.790001,27.889999,27.700001,27.780001,19.554279,22212900,0.001081,0.007854,0.124683,-0.001871,0.517413,
2012-03-22,27.730000,27.950001,27.610001,27.900000,19.638742,23395100,0.004319,0.007870,0.124931,-0.007207,0.466351,
2012-03-23,27.940001,27.990000,27.680000,27.879999,19.624670,24899500,-0.000717,0.006351,0.100813,0.003109,0.368737,
