Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,31.180000,31.610001,31.150000,31.440001,25.108038,50829900,,,,,,
2012-02-22,31.450001,31.680000,31.180000,31.270000,24.972284,49253200,-0.005407,,,-0.003340,,1.191446
2012-02-23,31.200001,31.590000,31.000000,31.370001,25.052143,35034700,0.003198,,,0.004272,,
2012-02-24,31.480000,31.500000,31.240000,31.480000,25.139984,35575400,0.003506,,,0.001672,,
2012-02-27,31.240000,31.500000,31.100000,31.350000,25.036171,34568400,-0.004129,,,0.001355,,
2012-02-28,31.410000,31.930000,31.379999,31.870001,25.451447,45230600,0.016587,,,0.003356,,
2012-02-29,31.889999,32.000000,31.610001,31.740000,25.347628,59323600,-0.004079,,,-0.004737,,
2012-03-01,31.930000,32.389999,31.850000,32.290001,25.786861,77344100,0.017328,,,0.006158,,
2012-03-02,32.310001,32.439999,32.000000,32.080002,25.619160,47314200,-0.006503,,,-0.003246,,
2012-03-05,32.009998,32.049999,31.620001,31.799999,25.395542,45240000,-0.008729,,,-0.003870,,
2012-03-06,31.540001,31.980000,31.490000,31.559999,25.203876,51932900,-0.007547,,,-0.015370,,
2012-03-07,31.670000,31.920000,31.530001,31.840000,25.427492,34340400,0.008872,,,0.006901,,
2012-03-08,32.040001,32.209999,31.900000,32.009998,25.563246,36747400,0.005339,,,0.009818,,
2012-03-09,32.099998,32.160000,31.920000,31.990000,25.547272,34628400,-0.000625,,,0.003631,,
2012-03-12,31.969999,32.200001,31.820000,32.040001,25.587202,34073600,0.001563,0.008410,0.133508,0.000160,0.867067,
2012-03-13,32.240002,32.689999,32.150002,32.669998,26.090324,48951700,0.019663,0.009457,0.150124,0.018132,0.880945,
2012-03-14,32.529999,32.880001,32.490002,32.770000,26.170193,41986900,0.003061,0.009457,0.150124,-0.001196,0.877788,
2012-03-15,32.790001,32.939999,32.580002,32.849998,26.234070,49068300,0.002441,0.009458,0.150146,0.005967,0.855440,
2012-03-16,32.910000,32.950001,32.500000,32.599998,26.034422,65626400,-0.007610,0.009705,0.154064,0.001119,0.860252,
2012-03-19,32.540001,32.610001,32.150002,32.200001,25.714989,44789200,-0.012270,0.009625,0.152792,0.003974,0.800984,
2012-03-20,32.099998,32.150002,31.740000,31.990000,25.547272,41566800,-0.006522,0.009741,0.154638,-0.003001,0.826478,
2012-03-21,31.959999,32.150002,31.820000,31.910000,25.483389,37928600,-0.002501,0.008483,0.134662,-0.001871,0.752569,
2012-03-22,31.809999,32.090000,31.790001,32.000000,25.555264,31749500,0.002820,0.008367,0.132821,-0.007207,0.643050,
2012-03-23,32.099998,32.110001,31.719999,32.009998,25.563246,35912200,0.000312,0.007994,0.126903,0.003109,0.609242,
2012-03-26,32.189999,32.610001,32.150002,32.590000,26.026438,36758300,0.018119,0.008899,0.141262,0.013886,0.852346,
2012-03-27,32.650002,32.700001,32.400002,32.520000,25.970533,36274900,-0.002148,0.008762,0.139094,-0.002817,0.817675,
2012-03-28,32.520000,32.700001,32.040001,32.189999,25.706995,41344800,-0.010148,0.009212,0.146242,-0.004942,0.888538,
2012-03-29,32.060001,32.189999,31.809999,32.119999,25.651091,37038500,-0.002175,0.009235,0.146609,-0.001608,0.891395,
2012-03-30,32.400002,32.410000,32.040001,32.259998,25.762897,31749400,0.004359,0.009294,0.147542,0.003698,0.903656,
2012-04-02,32.220001,32.459999,31.950001,32.290001,25.786861,35853600,0.000930,0.007504,0.119116,0.007505,0.700305,
2012-04-03,32.160000,32.189999,31.660000,31.940001,25.507339,42752100,-0.010840,0.007863,0.124824,-0.003989,0.793566,
2012-04-04,31.660000,31.690001,31.049999,31.209999,24.924366,49455900,-0.022855,0.009541,0.151451,-0.010203,1.004232,
2012-04-05,31.150000,31.629999,31.049999,31.520000,25.171932,50368600,0.009933,0.010110,0.160487,-0.000629,1.009520,
2012-04-09,31.219999,31.400000,30.969999,31.100000,24.836517,31056400,-0.013325,0.010193,0.161807,-0.011358,1.114891,
2012-04-10,31.059999,31.190001,30.299999,30.469999,24.333395,54131300,-0.020257,0.011226,0.178201,-0.017081,1.096584,
2012-04-11,30.430000,30.530001,30.230000,30.350000,24.237568,43014000,-0.003938,0.011223,0.178162,0.007449,0.983397,
2012-04-12,30.480000,31.040001,30.420000,30.980000,24.740683,38304000,0.020758,0.012901,0.204791,0.013779,1.148754,
