Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,17.692858,18.021429,16.668571,16.771429,16.771429,80490900,,,,,,
2012-02-22,16.415714,16.428572,15.505714,16.057142,16.057142,93191700,-0.042590,,,-0.003340,,1.170634
2012-02-23,15.935714,16.307142,15.880000,16.141430,16.141430,39762100,0.005249,,,0.004272,,
2012-02-24,16.125713,16.278570,15.900000,15.952857,15.952857,27089300,-0.011683,,,0.001672,,
2012-02-27,15.435714,15.770000,15.234286,15.630000,15.630000,45077900,-0.020238,,,0.001355,,
2012-02-28,15.487143,16.410000,15.442857,16.188572,16.188572,42196700,0.035737,,,0.003356,,
2012-02-29,16.154285,16.270000,15.680000,15.818571,15.818571,37569000,-0.022856,,,-0.004737,,
2012-03-01,15.585714,16.238571,15.502857,16.107143,16.107143,36876000,0.018243,,,0.006158,,
2012-03-02,16.070000,16.834286,15.942857,16.442858,16.442858,40653200,0.020843,,,-0.003246,,
2012-03-05,16.385714,16.645714,15.815714,15.830000,15.830000,27605200,-0.037272,,,-0.003870,,
2012-03-06,15.641429,15.654286,15.142857,15.304286,15.304286,32221700,-0.033210,,,-0.015370,,
2012-03-07,15.920000,15.920000,14.647143,15.027143,15.027143,76797000,-0.018109,,,0.006901,,
2012-03-08,15.135714,15.491429,14.857143,15.438571,15.438571,45752700,0.027379,,,0.009818,,
2012-03-09,15.285714,15.751429,15.092857,15.590000,15.590000,37167200,0.009808,,,0.003631,,
2012-03-12,15.392857,15.821429,15.078571,15.171429,15.171429,34559700,-0.026849,0.025853,0.410404,0.000160,2.255784,
2012-03-13,15.411429,15.614286,15.021429,15.192857,15.192857,30739800,0.001412,0.023761,0.377187,0.018132,1.428043,
2012-03-14,15.117143,15.135714,14.700000,15.035714,15.035714,36208200,-0.010343,0.023675,0.375829,-0.001196,1.416739,
2012-03-15,15.050000,15.807143,15.000000,15.738571,15.738571,40880000,0.046746,0.027248,0.432547,0.005967,1.623432,
2012-03-16,15.751429,15.958571,15.365714,15.708571,15.708571,37198700,-0.001906,0.026667,0.423325,0.001119,1.611285,
2012-03-19,15.644286,16.428572,15.544286,16.332857,16.332857,37095100,0.039742,0.027090,0.430041,0.003974,1.641175,
2012-03-20,16.272858,16.678572,16.158571,16.431429,16.431429,31507700,0.006035,0.026222,0.416256,-0.003001,1.461895,
2012-03-21,16.571428,17.270000,16.517143,17.157143,17.157143,47321400,0.044166,0.028217,0.447936,-0.001871,1.223342,
