Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,3.960000,4.080000,3.952500,3.982500,3.653327,51817600,,,,,,
2012-02-22,3.962500,4.060000,3.950000,3.955000,3.628101,49243200,-0.006905,,,-0.003340,,1.627424
2012-02-23,3.962500,4.000000,3.900000,3.977500,3.648741,32396800,0.005689,,,0.004272,,
2012-02-24,3.990000,3.995000,3.930000,3.947500,3.621221,36666800,-0.007542,,,0.001672,,
2012-02-27,3.897500,3.915000,3.812500,3.867500,3.547832,74526800,-0.020266,,,0.001355,,
2012-02-28,3.867500,3.912500,3.792500,3.832500,3.515725,69988400,-0.009050,,,0.003356,,
2012-02-29,3.845000,3.910000,3.785000,3.787500,3.474445,68919600,-0.011742,,,-0.004737,,
2012-03-01,3.802500,3.857500,3.787500,3.812500,3.497379,44994400,0.006601,,,0.006158,,
2012-03-02,3.800000,3.900000,3.800000,3.845000,3.527192,68407600,0.008524,,,-0.003246,,
2012-03-05,3.817500,3.825000,3.687500,3.715000,3.407938,51484800,-0.033810,,,-0.003870,,
2012-03-06,3.672500,3.702500,3.615000,3.680000,3.375831,47140000,-0.009421,,,-0.015370,,
2012-03-07,3.700000,3.717500,3.650000,3.702500,3.396471,44198400,0.006114,,,0.006901,,
2012-03-08,3.712500,3.752500,3.692500,3.715000,3.407938,43085200,0.003376,,,0.009818,,
2012-03-09,3.725000,3.752500,3.685000,3.705000,3.398763,36783600,-0.002692,,,0.003631,,
2012-03-12,3.720000,3.745000,3.637500,3.647500,3.346017,29994800,-0.015519,0.012013,0.190706,0.000160,0.758867,
2012-03-13,3.662500,3.717500,3.645000,3.697500,3.391884,55328800,0.013708,0.013130,0.208433,0.018132,0.878411,
2012-03-14,3.697500,3.705000,3.580000,3.592500,3.295563,73570800,-0.028397,0.014171,0.224961,-0.001196,0.921238,
2012-03-15,3.602500,3.665000,3.590000,3.645000,3.343724,38238000,0.014614,0.015315,0.243120,0.005967,1.002254,
2012-03-16,3.647500,3.665000,3.627500,3.650000,3.348310,42834000,0.001372,0.014801,0.234959,0.001119,0.985986,
2012-03-19,3.670000,3.687500,3.642500,3.660000,3.357483,40540000,0.002740,0.014828,0.235393,0.003974,1.007088,
2012-03-20,3.640000,3.640000,3.567500,3.600000,3.302443,44961600,-0.016393,0.015085,0.239464,-0.003001,1.043587,
2012-03-21,3.600000,3.647500,3.560000,3.615000,3.316202,46784000,0.004166,0.014973,0.237687,-0.001871,0.964396,
2012-03-22,3.587500,3.640000,3.577500,3.610000,3.311617,42537200,-0.001383,0.014580,0.231455,-0.007207,0.943178,
2012-03-23,3.600000,3.647500,3.575000,3.637500,3.336843,31545600,0.007617,0.012153,0.192923,0.003109,0.803476,
2012-03-26,3.672500,3.697500,3.637500,3.680000,3.375831,28860000,0.011684,0.012393,0.196731,0.013886,1.044825,
2012-03-27,3.695000,3.750000,3.687500,3.705000,3.398763,41996800,0.006793,0.012420,0.197156,-0.002817,0.906542,
2012-03-28,3.752500,3.840000,3.725000,3.790000,3.476739,89244800,0.022942,0.013834,0.219615,-0.004942,0.629349,
2012-03-29,3.785000,3.837500,3.737500,3.807500,3.492792,37270000,0.004617,0.013801,0.219088,-0.001608,0.617476,
2012-03-30,3.840000,3.872500,3.785000,3.850000,3.531780,52724000,0.011162,0.013009,0.206519,0.003698,0.594611,
2012-04-02,3.840000,3.872500,3.777500,3.832500,3.515725,40777600,-0.004546,0.012870,0.204302,0.007505,0.443904,
2012-04-03,3.860000,3.865000,3.750000,3.770000,3.458391,43047600,-0.016308,0.010879,0.172692,-0.003989,0.480253,
2012-04-04,3.712500,3.760000,3.640000,3.662500,3.359777,49589600,-0.028514,0.013323,0.211492,-0.010203,0.865342,
2012-04-05,3.667500,3.712500,3.645000,3.657500,3.355190,36942400,-0.001365,0.013328,0.211573,-0.000629,0.866832,
2012-04-09,3.600000,3.622500,3.540000,3.610000,3.311617,36550400,-0.012987,0.013756,0.218368,-0.011358,0.924132,
2012-04-10,3.595000,3.645000,3.522500,3.540000,3.247402,47036000,-0.019391,0.014036,0.222818,-0.017081,0.962273,
2012-04-11,3.587500,3.662500,3.575000,3.585000,3.288682,37296000,0.012712,0.014463,0.229586,0.007449,0.996706,
2012-04-12,3.590000,3.690000,3.575000,3.670000,3.366657,38486800,0.023710,0.015834,0.251361,0.013779,1.116306,
2012-04-13,3.637500,3.657500,3.537500,3.540000,3.247402,31132400,-0.035422,0.018471,0.293216,-0.012475,1.295635,
2012-04-16,3.565000,3.575000,3.440000,3.497500,3.208415,46346800,-0.012006,0.018226,0.289330,-0.000504,1.396541,
2012-04-17,3.507500,3.550000,3.492500,3.505000,3.215296,46069600,0.002145,0.018066,0.286795,0.015487,1.152321,
2012-04-18,3.482500,3.500000,3.425000,3.467500,3.180894,40076400,-0.010699,0.016395,0.260268,-0.004055,1.251411,
2012-04-19,3.422500,3.552500,3.397500,3.415000,3.132733,66718800,-0.015141,0.016242,0.257828,-0.005934,1.261610,
2012-04-20,3.435000,3.445000,3.340000,3.347500,3.070814,50959200,-0.019765,0.015581,0.247335,0.001169,1.185479,
2012-04-23,3.290000,3.322500,3.227500,3.307500,3.034120,70624400,-0.011949,0.015513,0.246263,-0.008408,1.203906,
2012-04-24,3.317500,3.345000,3.187500,3.205000,2.940090,73044000,-0.030991,0.016417,0.260604,0.003680,1.074038,
2012-04-25,3.252500,3.295000,3.192500,3.270000,2.999719,72711200,0.020281,0.017639,0.280009,0.013645,1.150182,
2012-04-26,3.267500,3.300000,3.245000,3.272500,3.002012,53920800,0.000764,0.017709,0.281118,0.006680,1.153419,
2012-04-27,3.267500,3.287500,3.210000,3.245000,2.976784,47535600,-0.008404,0.017647,0.280139,0.002414,1.231872,
2012-04-30,3.227500,3.267500,3.205000,3.250000,2.981372,26226800,0.001541,0.017442,0.276886,-0.003884,1.366625,
2012-05-01,3.232500,3.342500,3.232500,3.307500,3.034120,40868000,0.017693,0.017897,0.284104,0.005658,1.375411,
2012-05-02,3.295000,3.307500,3.195000,3.212500,2.946973,68400800,-0.028722,0.016743,0.265786,-0.002497,1.262892,
2012-05-03,3.220000,3.240000,3.137500,3.157500,2.896519,41953600,-0.017121,0.015192,0.241166,-0.007659,1.076633,
2012-05-04,3.137500,3.155000,3.065000,3.065000,2.811663,54509200,-0.029296,0.016209,0.257312,-0.016147,1.094478,
2012-05-07,3.120000,3.172500,3.092500,3.117500,2.859824,60444000,0.017129,0.017466,0.277267,0.000351,1.285241,
2012-05-08,3.090000,3.135000,3.035000,3.115000,2.857530,46231200,-0.000802,0.017557,0.278708,-0.004279,1.243447,
2012-05-09,3.060000,3.152500,3.030000,3.127500,2.868998,52060800,0.004013,0.017660,0.280350,-0.006702,1.103758,
2012-05-10,3.157500,3.162500,3.055000,3.105000,2.848357,59709200,-0.007194,0.017227,0.273476,0.002517,1.124826,
2012-05-11,3.362500,3.420000,3.290000,3.302500,3.029533,143514000,0.063607,0.025026,0.397279,-0.003387,0.889666,
2012-05-14,3.275000,3.332500,3.207500,3.282500,3.011185,43747200,-0.006056,0.023477,0.372679,-0.011113,1.078076,
2012-05-15,3.282500,3.355000,3.235000,3.250000,2.981372,59994000,-0.009901,0.023047,0.365853,-0.005746,1.097994,
2012-05-16,3.255000,3.292500,3.175000,3.185000,2.921744,47048400,-0.020000,0.023640,0.375281,-0.004404,1.366543,
2012-05-17,3.197500,3.227500,3.162500,3.162500,2.901105,33536400,-0.007064,0.023614,0.374859,-0.015051,1.391486,
2012-05-18,3.170000,3.185000,3.005000,3.020000,2.770383,56728800,-0.045059,0.026274,0.417087,-0.007388,1.539440,
2012-05-21,3.025000,3.087500,3.005000,3.072500,2.818543,41626000,0.017384,0.026254,0.416764,0.016036,1.176214,
2012-05-22,3.070000,3.075000,2.990000,3.035000,2.784142,41014000,-0.012205,0.025462,0.404192,0.000486,1.158281,
2012-05-23,3.002500,3.115000,2.957500,3.110000,2.852943,49600000,0.024712,0.026216,0.416164,0.001694,1.242589,
2012-05-24,3.127500,3.132500,3.005000,3.027500,2.777262,52042000,-0.026527,0.025994,0.412636,0.001380,0.861254,
2012-05-25,3.025000,3.125000,3.025000,3.100000,2.843770,39175200,0.023947,0.026411,0.419265,-0.002166,0.817958,
2012-05-29,3.150000,3.200000,3.137500,3.180000,2.917158,31000000,0.025807,0.027298,0.433341,0.011079,1.005493,
2012-05-30,3.145000,3.167500,3.087500,3.142500,2.882757,37979200,-0.011793,0.027526,0.436963,-0.014335,1.036036,
2012-05-31,3.142500,3.155000,3.067500,3.107500,2.850650,35819200,-0.011138,0.027633,0.438660,-0.002277,1.095904,
2012-06-01,3.042500,3.072500,2.990000,2.995000,2.747449,44098400,-0.036203,0.022466,0.356634,-0.024643,1.208901,
2012-06-04,3.010000,3.027500,2.907500,2.932500,2.690115,43285600,-0.020868,0.022779,0.361600,0.000110,1.217317,
2012-06-05,2.917500,3.025000,2.917500,3.017500,2.768090,36522400,0.028986,0.024783,0.393415,0.005727,1.349366,
2012-06-06,3.040000,3.105000,3.017500,3.097500,2.841477,36896800,0.026512,0.025717,0.408253,0.023049,1.269316,
2012-06-07,3.142500,3.160000,2.970000,2.972500,2.726809,52678000,-0.040355,0.027715,0.439965,-0.000106,1.400214,
2012-06-08,2.982500,3.040000,2.977500,3.030000,2.779557,37030800,0.019344,0.025654,0.407251,0.008114,1.303859,
2012-06-11,3.127500,3.182500,3.057500,3.065000,2.811663,83908000,0.011551,0.025406,0.403308,-0.012620,1.127638,
2012-06-12,3.100000,3.157500,3.095000,3.127500,2.868998,49612800,0.020392,0.025681,0.407675,0.011651,1.159449,
2012-06-13,3.125000,3.132500,3.030000,3.045000,2.793316,49427600,-0.026379,0.025904,0.411216,-0.007023,1.205704,
2012-06-14,3.040000,3.065000,2.977500,3.007500,2.758915,58988400,-0.012315,0.025101,0.398467,0.010815,1.097191,
2012-06-15,3.030000,3.075000,3.002500,3.072500,2.818543,38528800,0.021613,0.024936,0.395842,0.010338,1.180294,
2012-06-18,3.050000,3.125000,3.025000,3.100000,2.843770,30442400,0.008950,0.023964,0.380413,0.001445,1.117038,
2012-06-19,3.227500,3.357500,3.212500,3.310000,3.036412,96047600,0.067742,0.030013,0.476440,0.009816,1.402999,
2012-06-20,3.342500,3.425000,3.322500,3.362500,3.084573,97272000,0.015861,0.029823,0.473427,-0.001686,1.344784,
2012-06-21,3.360000,3.360000,3.202500,3.210000,2.944679,51637600,-0.045353,0.030901,0.490543,-0.022262,1.512975,
2012-06-22,3.250000,3.287500,3.205000,3.250000,2.981372,86536000,0.012461,0.029992,0.476107,0.007175,1.475477,
2012-06-25,3.252500,3.262500,3.135000,3.147500,2.887344,49461600,-0.031538,0.031045,0.492819,-0.015955,1.515093,
2012-06-26,3.165000,3.205000,3.120000,3.182500,2.919451,43715200,0.011120,0.030432,0.483095,0.004773,1.683058,
2012-06-27,3.185000,3.307500,3.185000,3.285000,3.013480,50606400,0.032208,0.028728,0.456049,0.008985,1.721995,
2012-06-28,3.255000,3.330000,3.227500,3.310000,3.036412,54589600,0.007610,0.028528,0.452871,-0.002110,1.720750,
2012-06-29,3.387500,3.462500,3.385000,3.455000,3.169428,61650800,0.043807,0.030203,0.479454,0.024920,1.844223,
2012-07-02,3.472500,3.475000,3.335000,3.362500,3.084573,58168400,-0.026773,0.031441,0.499109,0.002459,1.869032,
2012-07-03,3.362500,3.457500,3.360000,3.450000,3.164841,21928400,0.026022,0.030439,0.483198,0.006232,1.816702,
