Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,28.799999,28.980000,28.490000,28.740000,24.050249,20612200,,,,,,
2012-02-22,28.719999,29.080000,28.500000,28.549999,23.891254,25207600,-0.006611,,,-0.003340,,0.965771
2012-02-23,28.610001,28.879999,28.320000,28.809999,24.108822,25319100,0.009107,,,0.004272,,
2012-02-24,29.059999,29.540001,28.840000,29.250000,24.477028,24952400,0.015273,,,0.001672,,
2012-02-27,29.000000,29.379999,28.760000,29.260000,24.485394,30419400,0.000342,,,0.001355,,
2012-02-28,29.240000,29.389999,29.000000,29.389999,24.594191,29889400,0.004443,,,0.003356,,
2012-02-29,29.400000,29.440001,29.020000,29.250000,24.477028,33160700,-0.004764,,,-0.004737,,
2012-03-01,29.400000,29.969999,29.230000,29.830000,24.962387,32909600,0.019829,,,0.006158,,
2012-03-02,29.850000,30.250000,29.760000,29.959999,25.071169,28177200,0.004358,,,-0.003246,,
2012-03-05,30.240000,30.420000,29.920000,30.240000,25.305485,33786600,0.009346,,,-0.003870,,
2012-03-06,29.940001,30.400000,29.709999,29.940001,25.054440,28971600,-0.009921,,,-0.015370,,
2012-03-07,30.049999,30.280001,29.830000,30.219999,25.288740,23691100,0.009352,,,0.006901,,
2012-03-08,30.400000,30.440001,29.850000,30.070000,25.163216,30927300,-0.004964,,,0.009818,,
2012-03-09,30.049999,30.290001,29.900000,30.129999,25.213430,30056300,0.001996,,,0.003631,,
2012-03-12,29.719999,29.920000,29.200001,29.709999,24.861975,40933900,-0.013939,0.009723,0.154347,0.000160,0.629083,
2012-03-13,29.990000,30.230000,29.910000,30.129999,25.213430,32329200,0.014136,0.009822,0.155913,0.018132,0.583758,
2012-03-14,30.000000,30.160000,29.690001,29.840000,24.970747,30994400,-0.009625,0.010321,0.163838,-0.001196,0.610187,
2012-03-15,29.959999,30.129999,29.740000,30.059999,25.154858,35528500,0.007373,0.009774,0.155155,0.005967,0.623102,
2012-03-16,30.110001,30.160000,29.580000,29.740000,24.887070,38651200,-0.010646,0.010342,0.164169,0.001119,0.633386,
2012-03-19,29.590000,29.889999,29.430000,29.760000,24.903807,32519400,0.000673,0.010300,0.163509,0.003974,0.625286,
2012-03-20,29.700001,30.139999,29.549999,30.100000,25.188326,46126400,0.011425,0.010517,0.166945,-0.003001,0.532827,
2012-03-21,30.870001,31.150000,29.340000,29.410000,24.610920,94678000,-0.022924,0.011160,0.177158,-0.001871,0.539250,
2012-03-22,29.330000,29.330000,28.559999,28.629999,23.958197,59763200,-0.026522,0.012939,0.205400,-0.007207,0.771857,
2012-03-23,28.690001,28.889999,28.520000,28.549999,23.891254,36696300,-0.002794,0.012433,0.197373,0.003109,0.877540,
2012-03-26,28.780001,29.190001,28.650000,29.160000,24.401716,30044300,0.021366,0.014005,0.222321,0.013886,1.396185,
2012-03-27,29.170000,29.520000,29.000000,29.350000,24.560705,31710000,0.006515,0.013851,0.219877,-0.002817,1.200212,
2012-03-28,29.379999,29.549999,29.139999,29.360001,24.569078,29405300,0.000341,0.013836,0.219640,-0.004942,1.201181,
2012-03-29,29.209999,29.580000,29.100000,29.299999,24.518873,34035400,-0.002043,0.013797,0.219020,-0.001608,1.176165,
2012-03-30,29.459999,29.490000,29.040001,29.160000,24.401716,32006100,-0.004778,0.013394,0.212618,0.003698,1.136587,
2012-04-02,29.120001,29.680000,29.000000,29.530001,24.711334,28525300,0.012688,0.013271,0.210666,0.007505,1.411038,
2012-04-03,29.610001,29.700001,29.120001,29.389999,24.594191,29995400,-0.004740,0.013100,0.207950,-0.003989,1.340455,
