Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,65.589996,65.980003,65.110001,65.370003,53.055538,1337100,,,,,,
2012-02-22,65.379997,65.940002,65.169998,65.650002,53.282787,1926200,0.004283,,,-0.003340,,0.976990
2012-02-23,66.000000,66.680000,65.269997,66.639999,54.086300,1588400,0.015080,,,0.004272,,
2012-02-24,67.750000,67.830002,67.470001,67.769997,55.003414,2144400,0.016956,,,0.001672,,
2012-02-27,66.110001,67.320000,66.040001,67.010002,54.386585,914400,-0.011214,,,0.001355,,
2012-02-28,67.430000,68.209999,67.260002,68.150002,55.311829,947900,0.017012,,,0.003356,,
2012-02-29,67.970001,68.500000,67.339996,67.610001,54.873562,1205500,-0.007924,,,-0.004737,,
2012-03-01,67.830002,68.339996,67.620003,68.269997,55.409225,1663300,0.009762,,,0.006158,,
2012-03-02,67.809998,67.849998,67.360001,67.660004,54.914146,1006500,-0.008935,,,-0.003246,,
2012-03-05,68.320000,68.349998,67.629997,68.099998,55.271248,1309900,0.006503,,,-0.003870,,
2012-03-06,67.150002,67.279999,66.059998,66.379997,53.875271,2428100,-0.025257,,,-0.015370,,
2012-03-07,66.489998,66.919998,66.339996,66.680000,54.118755,1069100,0.004519,,,0.006901,,
2012-03-08,67.849998,69.040001,67.730003,68.800003,55.839386,1436900,0.031794,,,0.009818,,
2012-03-09,68.690002,69.129997,68.540001,68.989998,55.993587,1006200,0.002762,,,0.003631,,
2012-03-12,68.639999,69.500000,68.540001,69.389999,56.318249,719200,0.005798,0.014337,0.227590,0.000160,1.664935,
2012-03-13,69.639999,70.769997,69.620003,70.769997,57.438274,2876700,0.019887,0.014924,0.236915,0.018132,1.400551,
2012-03-14,70.470001,70.800003,70.120003,70.430000,57.162331,2908700,-0.004804,0.014887,0.236318,-0.001196,1.399321,
2012-03-15,70.559998,71.550003,70.500000,71.459999,57.998295,2085400,0.014624,0.014744,0.234048,0.005967,1.421864,
2012-03-16,71.739998,72.099998,71.620003,72.000000,58.436565,1402200,0.007557,0.014104,0.223887,0.001119,1.408170,
2012-03-19,71.919998,72.519997,71.559998,72.309998,58.688160,1144200,0.004305,0.013690,0.217326,0.003974,1.383417,
2012-03-20,71.309998,71.839996,71.169998,71.650002,58.152500,1942500,-0.009127,0.013777,0.218696,-0.003001,1.401472,
2012-03-21,71.300003,71.559998,71.040001,71.239998,57.819736,1725100,-0.005722,0.013920,0.220975,-0.001871,1.420972,
2012-03-22,70.260002,71.040001,70.209999,70.550003,57.259727,1771200,-0.009685,0.013971,0.221790,-0.007207,1.392248,
2012-03-23,70.220001,70.540001,69.790001,70.379997,57.121746,1221900,-0.002410,0.014007,0.222349,0.003109,1.450138,
2012-03-26,70.760002,71.250000,70.709999,71.239998,57.819736,2349700,0.012219,0.011695,0.185659,0.013886,1.277597,
2012-03-27,71.220001,71.260002,70.559998,70.580002,57.284069,855400,-0.009264,0.012314,0.195477,-0.002817,1.350549,
2012-03-28,71.169998,71.180000,69.860001,70.209999,56.983776,1708800,-0.005242,0.009593,0.152287,-0.004942,1.123603,
2012-03-29,69.160004,69.949997,68.980003,69.849998,56.691586,1333200,-0.005128,0.009743,0.154673,-0.001608,1.135676,
2012-03-30,69.889999,70.169998,69.650002,69.820000,56.667244,2315300,-0.000429,0.009646,0.153121,0.003698,1.143401,
2012-04-02,70.190002,71.279999,70.010002,70.970001,57.600601,1582200,0.016471,0.009148,0.145212,0.007505,1.295878,
2012-04-03,70.760002,70.779999,68.949997,69.339996,56.277657,2088300,-0.022968,0.011015,0.174865,-0.003989,1.460784,
2012-04-04,67.949997,68.300003,66.669998,67.480003,54.768055,2724600,-0.026824,0.012002,0.190532,-0.010203,1.522457,
2012-04-05,66.110001,67.510002,66.029999,67.370003,54.678768,3228200,-0.001630,0.011564,0.183573,-0.000629,1.496044,
2012-04-09,65.970001,66.500000,65.949997,65.949997,53.526264,1293300,-0.021078,0.012028,0.190946,-0.011358,1.456232,
2012-04-10,66.129997,66.510002,64.290001,64.570000,52.406242,3884000,-0.020925,0.012626,0.200433,-0.017081,1.287747,
2012-04-11,65.750000,66.400002,65.459999,65.919998,53.501923,2572200,0.020907,0.014719,0.233660,0.007449,1.423834,
2012-04-12,66.940002,66.970001,65.199997,65.849998,53.445118,5235300,-0.001062,0.014708,0.233479,0.013779,1.217440,
2012-04-13,66.489998,66.510002,64.489998,65.419998,53.096107,5666500,-0.006530,0.014697,0.233311,-0.012475,1.102134,
2012-04-16,63.869999,64.220001,63.380001,63.730000,51.724472,3275800,-0.025833,0.014765,0.234390,-0.000504,1.074962,
2012-04-17,64.269997,65.129997,63.910000,64.949997,52.714642,2400300,0.019143,0.016412,0.260534,0.015487,1.150339,
2012-04-18,65.050003,65.449997,64.809998,64.879997,52.657845,2567100,-0.001077,0.016461,0.261304,-0.004055,1.146929,
2012-04-19,65.000000,65.550003,64.010002,64.279999,52.170872,2270500,-0.009248,0.016490,0.261775,-0.005934,1.139304,
2012-04-20,65.290001,65.650002,65.099998,65.220001,52.933788,3112300,0.014623,0.017336,0.275198,0.001169,1.176295,
2012-04-23,64.120003,64.309998,63.500000,64.239998,52.138401,1464400,-0.015026,0.016393,0.260228,-0.008408,1.106973,
2012-04-24,64.639999,65.419998,64.279999,65.150002,52.876980,3258000,0.014166,0.016607,0.263633,0.003680,1.144999,
2012-04-25,65.449997,66.120003,65.330002,65.959999,53.534386,4945400,0.012433,0.015809,0.250963,0.013645,1.037775,
2012-04-26,65.400002,67.250000,65.309998,67.160004,54.508335,3353300,0.018193,0.016662,0.264506,0.006680,1.088004,
2012-04-27,66.769997,66.970001,66.480003,66.690002,54.126873,1179700,-0.006998,0.015695,0.249153,0.002414,1.011660,
2012-04-30,66.169998,66.529999,65.959999,66.290001,53.802227,1149700,-0.005998,0.014564,0.231194,-0.003884,0.983327,
2012-05-01,66.199997,66.639999,66.160004,66.430000,53.915848,1291800,0.002112,0.013513,0.214514,0.005658,0.899163,
2012-05-02,65.849998,66.070000,65.279999,65.839996,53.436989,1307400,-0.008882,0.013748,0.218247,-0.002497,1.113604,
