Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,20.680000,20.860001,20.360001,20.620001,17.010389,2464550,,,,,,
2012-02-22,20.719999,20.940001,20.440001,20.559999,16.960892,1832050,-0.002910,,,-0.003340,,0.842207
2012-02-23,22.020000,23.760000,21.760000,23.400000,19.303740,7647950,0.138132,,,0.004272,,
2012-02-24,23.740000,24.340000,23.740000,24.020000,19.815207,6541850,0.026496,,,0.001672,,
2012-02-27,24.180000,24.299999,23.420000,23.660000,19.518227,7162150,-0.014987,,,0.001355,,
2012-02-28,23.639999,23.740000,21.780001,22.040001,18.181812,6394150,-0.068470,,,0.003356,,
2012-02-29,21.480000,21.480000,20.120001,20.600000,16.993891,7800600,-0.065336,,,-0.004737,,
2012-03-01,20.600000,21.820000,20.299999,21.740000,17.934330,6815850,0.055340,,,0.006158,,
2012-03-02,21.340000,21.480000,20.860001,21.120001,17.422863,3954450,-0.028519,,,-0.003246,,
2012-03-05,20.360001,20.520000,19.700001,19.920000,16.432926,4224400,-0.056818,,,-0.003870,,
2012-03-06,19.500000,19.620001,19.139999,19.299999,15.921459,3025200,-0.031125,,,-0.015370,,
2012-03-07,19.400000,20.340000,19.240000,19.700001,16.251438,3947650,0.020725,,,0.006901,,
2012-03-08,19.959999,20.020000,19.559999,19.940001,16.449427,2439100,0.012183,,,0.009818,,
2012-03-09,19.980000,20.379999,19.959999,20.340000,16.779404,2299050,0.020060,,,0.003631,,
2012-03-12,20.340000,20.420000,19.520000,19.660000,16.218441,1514200,-0.033432,0.054832,0.870427,0.000160,3.881042,
2012-03-13,19.840000,20.200001,19.740000,19.980000,16.482424,1789750,0.016277,0.055048,0.873858,0.018132,2.920327,
2012-03-14,19.940001,20.160000,19.360001,19.559999,16.135946,1970150,-0.021021,0.037958,0.602561,-0.001196,2.543890,
2012-03-15,19.680000,20.260000,19.440001,19.879999,16.399929,1491450,0.016360,0.037256,0.591425,0.005967,2.632182,
