Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,14.580000,14.670000,14.330000,14.380000,10.132627,9565000,,,,,,
2012-02-22,14.410000,14.500000,14.300000,14.480000,10.203090,7314500,0.006954,,,-0.003340,,1.040065
2012-02-23,14.330000,14.330000,14.100000,14.140000,9.963514,9306400,-0.023481,,,0.004272,,
2012-02-24,14.200000,14.400000,14.200000,14.370000,10.125578,7352500,0.016266,,,0.001672,,
2012-02-27,14.290000,14.450000,14.180000,14.390000,10.139671,5314700,0.001392,,,0.001355,,
2012-02-28,14.450000,14.690000,14.450000,14.690000,10.351063,7511800,0.020848,,,0.003356,,
2012-02-29,14.740000,14.800000,14.490000,14.520000,10.231276,10514800,-0.011572,,,-0.004737,,
2012-03-01,14.650000,14.680000,14.430000,14.640000,10.315830,6178400,0.008264,,,0.006158,,
2012-03-02,14.540000,14.640000,14.490000,14.590000,10.280599,6143400,-0.003415,,,-0.003246,,
2012-03-05,14.430000,14.510000,14.230000,14.330000,10.097394,6702200,-0.017820,,,-0.003870,,
2012-03-06,14.230000,14.340000,14.100000,14.160000,9.977606,7497600,-0.011863,,,-0.015370,,
2012-03-07,14.270000,14.450000,14.210000,14.400000,10.146718,9138800,0.016949,,,0.006901,,
2012-03-08,14.500000,14.620000,14.460000,14.610000,10.294690,5385700,0.014583,,,0.009818,,
2012-03-09,14.650000,14.670000,14.510000,14.600000,10.287645,5586600,-0.000684,,,0.003631,,
2012-03-12,14.600000,14.600000,14.340000,14.400000,10.146718,7423400,-0.013699,0.014306,0.227099,0.000160,1.064603,
2012-03-13,14.600000,14.870000,14.550000,14.870000,10.477897,6853900,0.032639,0.016688,0.264915,0.018132,1.367837,
2012-03-14,14.930000,15.110000,14.800000,14.810000,10.435616,6642900,-0.004035,0.015139,0.240321,-0.001196,1.462116,
2012-03-15,14.930000,15.020000,14.800000,14.940000,10.527220,7049200,0.008778,0.014778,0.234593,0.005967,1.459097,
2012-03-16,14.890000,14.930000,14.760000,14.790000,10.421524,5240700,-0.010040,0.015177,0.240930,0.001119,1.469408,
2012-03-19,15.000000,15.270000,14.860000,15.160000,10.682240,7112900,0.025017,0.015609,0.247781,0.003974,1.488504,
2012-03-20,15.070000,15.080000,14.840000,14.940000,10.527220,5302400,-0.014512,0.015829,0.251276,-0.003001,1.516250,
2012-03-21,15.310000,15.430000,15.140000,15.210000,10.717469,7137700,0.018072,0.016329,0.259219,-0.001871,1.429441,
2012-03-22,15.040000,15.170000,14.980000,15.030000,10.590636,6137600,-0.011834,0.016728,0.265550,-0.007207,1.446588,
2012-03-23,15.170000,15.170000,14.960000,14.990000,10.562451,6650100,-0.002661,0.015793,0.250711,0.003109,1.356174,
2012-03-26,14.990000,15.400000,14.980000,15.380000,10.837256,9689000,0.026017,0.016228,0.257609,0.013886,1.721025,
2012-03-27,15.430000,15.510000,15.350000,15.370000,10.830213,5885600,-0.000650,0.015998,0.253960,-0.002817,1.643202,
