Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß
2012-02-21,33.630001,33.630001,33.200001,33.279999,24.072838,6831500,,,,,,
2012-02-22,33.180000,33.410000,32.900002,32.959999,23.841372,6498700,-0.009615,,,-0.003340,,1.183777
2012-02-23,32.840000,33.500000,32.540001,33.320000,24.101778,5775600,0.010922,,,0.004272,,
2012-02-24,33.480000,33.599998,33.290001,33.320000,24.101778,3609200,0.000000,,,0.001672,,
2012-02-27,33.060001,33.400002,32.799999,33.110001,23.949875,5986000,-0.006303,,,0.001355,,
2012-02-28,33.189999,33.840000,33.139999,33.720001,24.391115,6378700,0.018423,,,0.003356,,
2012-02-29,33.730000,33.730000,33.290001,33.349998,24.123470,7069700,-0.010973,,,-0.004737,,
2012-03-01,33.490002,33.560001,33.000000,33.169998,23.993275,6630800,-0.005397,,,0.006158,,
2012-03-02,33.130001,33.349998,32.779999,32.820000,23.740105,4721800,-0.010552,,,-0.003246,,
2012-03-05,32.709999,32.779999,32.119999,32.189999,23.284397,7860800,-0.019196,,,-0.003870,,
2012-03-06,31.860001,32.180000,31.660000,32.119999,23.233767,8830100,-0.002174,,,-0.015370,,
2012-03-07,32.119999,32.759998,32.060001,32.650002,23.617140,7537300,0.016501,,,0.006901,,
2012-03-08,32.950001,32.980000,32.560001,32.599998,23.580969,7189900,-0.001532,,,0.009818,,
2012-03-09,32.200001,32.490002,32.020000,32.270000,23.342266,12369800,-0.010123,,,0.003631,,
2012-03-12,32.310001,32.439999,31.900000,31.910000,23.081865,7050900,-0.011156,0.011113,0.176410,0.000160,0.664195,
2012-03-13,32.070000,32.299999,31.940001,32.290001,23.356737,10321000,0.011909,0.011597,0.184094,0.018132,0.681658,
2012-03-14,32.209999,32.639999,31.920000,32.009998,23.154207,8657900,-0.008671,0.011169,0.177307,-0.001196,0.664722,
2012-03-15,32.099998,32.820000,32.040001,32.779999,23.711178,8428200,0.024055,0.013284,0.210873,0.005967,0.775949,
2012-03-16,32.779999,33.299999,32.689999,33.020000,23.884775,11965600,0.007321,0.013371,0.212256,0.001119,0.764550,
2012-03-19,33.000000,33.930000,32.959999,33.840000,24.477915,10684400,0.024833,0.014142,0.224495,0.003974,0.790517,
2012-03-20,33.650002,33.709999,33.259998,33.580002,24.289845,7977800,-0.007683,0.013966,0.221696,-0.003001,0.768165,
2012-03-21,33.570000,33.759998,33.230000,33.610001,24.311548,8250000,0.000894,0.013859,0.220008,-0.001871,0.805341,
2012-03-22,33.310001,33.509998,33.169998,33.430000,24.181351,5536800,-0.005355,0.013592,0.215769,-0.007207,0.757197,
2012-03-23,33.490002,33.560001,33.009998,33.349998,24.123470,6339900,-0.002394,0.012315,0.195500,0.003109,0.643094,
2012-03-26,33.570000,34.000000,33.450001,33.990002,24.586420,5712600,0.019191,0.012984,0.206109,0.013886,0.978378,
2012-03-27,34.020000,34.240002,33.869999,33.869999,24.499611,5476200,-0.003531,0.012614,0.200236,-0.002817,0.933492,
2012-03-28,33.730000,33.830002,33.060001,33.330002,24.109011,6509900,-0.015943,0.013539,0.214931,-0.004942,1.165501,
2012-03-29,33.160000,33.349998,32.990002,33.189999,24.007742,7208600,-0.004200,0.013232,0.210046,-0.001608,1.209856,
2012-03-30,33.320000,33.900002,33.259998,33.610001,24.311548,7785300,0.012655,0.012925,0.205174,0.003698,1.200998,
2012-04-02,33.139999,33.410000,32.950001,33.259998,24.058376,7410300,-0.010414,0.013220,0.209859,0.007505,1.388456,
2012-04-03,33.200001,33.200001,32.529999,32.599998,23.580969,7874900,-0.019844,0.014225,0.225822,-0.003989,1.508600,
2012-04-04,32.310001,32.320000,31.900000,32.160000,23.262699,10254000,-0.013497,0.013122,0.208313,-0.010203,1.285256,
2012-04-05,32.090000,32.650002,32.000000,32.459999,23.479702,6112500,0.009328,0.013234,0.210086,-0.000629,1.260677,
2012-04-09,31.950001,32.290001,31.850000,32.139999,23.248232,5092200,-0.009858,0.011067,0.175688,-0.011358,0.993410,
2012-04-10,32.020000,32.380001,31.620001,31.690001,22.922731,11486600,-0.014001,0.011370,0.180501,-0.017081,0.885758,
2012-04-11,31.930000,32.180000,31.910000,31.990000,23.139730,5891500,0.009467,0.011878,0.188555,0.007449,0.925066,
2012-04-12,32.009998,32.560001,31.910000,32.509998,23.515869,5873200,0.016255,0.012966,0.205837,0.013779,0.996900,
2012-04-13,32.410000,32.799999,32.180000,32.180000,23.277168,8947700,-0.010151,0.013153,0.208797,-0.012475,0.968942,
