DATE,DGS10
21/2/2012,2.05
22/2/2012,2.01
23/2/2012,1.99
24/2/2012,1.98
27/2/2012,1.92
28/2/2012,1.94
29/2/2012,1.98
1/3/2012,2.03
2/3/2012,1.99
5/3/2012,2
6/3/2012,1.96
7/3/2012,1.98
8/3/2012,2.03
9/3/2012,2.04
12/3/2012,2.04
13/3/2012,2.14
14/3/2012,2.29
15/3/2012,2.29
16/3/2012,2.31
19/3/2012,2.39
20/3/2012,2.38
21/3/2012,2.31
22/3/2012,2.29
23/3/2012,2.25
26/3/2012,2.26
27/3/2012,2.2
28/3/2012,2.21
29/3/2012,2.18
30/3/2012,2.23
2/4/2012,2.22
3/4/2012,2.3
4/4/2012,2.25
5/4/2012,2.19
9/4/2012,2.06
10/4/2012,2.01
11/4/2012,2.05
12/4/2012,2.08
13/4/2012,2.02
16/4/2012,2
17/4/2012,2.03
18/4/2012,2
19/4/2012,1.98
20/4/2012,1.99
23/4/2012,1.96
24/4/2012,2
25/4/2012,2.01
26/4/2012,1.98
27/4/2012,1.96
30/4/2012,1.95
1/5/2012,1.98
2/5/2012,1.96
3/5/2012,1.96
4/5/2012,1.91
7/5/2012,1.92
8/5/2012,1.88
9/5/2012,1.87
10/5/2012,1.89
11/5/2012,1.84
14/5/2012,1.78
15/5/2012,1.76
16/5/2012,1.76
17/5/2012,1.7
18/5/2012,1.71
21/5/2012,1.75
22/5/2012,1.79
23/5/2012,1.73
24/5/2012,1.77
25/5/2012,1.75
29/5/2012,1.74
30/5/2012,1.63
31/5/2012,1.59
1/6/2012,1.47
4/6/2012,1.53
5/6/2012,1.57
6/6/2012,1.66
7/6/2012,1.66
8/6/2012,1.65
11/6/2012,1.6
12/6/2012,1.67
13/6/2012,1.61
14/6/2012,1.64
15/6/2012,1.6
18/6/2012,1.59
19/6/2012,1.64
20/6/2012,1.65
21/6/2012,1.63
22/6/2012,1.69
25/6/2012,1.63
26/6/2012,1.66
27/6/2012,1.65
28/6/2012,1.6
29/6/2012,1.67
2/7/2012,1.61
3/7/2012,1.65
5/7/2012,1.62
6/7/2012,1.57
9/7/2012,1.53
10/7/2012,1.53
11/7/2012,1.54
12/7/2012,1.5
13/7/2012,1.52
16/7/2012,1.5
17/7/2012,1.53
18/7/2012,1.52
19/7/2012,1.54
20/7/2012,1.49
23/7/2012,1.47
24/7/2012,1.44
25/7/2012,1.43
26/7/2012,1.45
27/7/2012,1.58
30/7/2012,1.53
31/7/2012,1.51
1/8/2012,1.56
2/8/2012,1.51
3/8/2012,1.6
6/8/2012,1.59
7/8/2012,1.66
8/8/2012,1.68
9/8/2012,1.69
10/8/2012,1.65
13/8/2012,1.65
14/8/2012,1.73
15/8/2012,1.8
16/8/2012,1.83
17/8/2012,1.81
20/8/2012,1.82
21/8/2012,1.8
22/8/2012,1.71
23/8/2012,1.68
24/8/2012,1.68
27/8/2012,1.65
28/8/2012,1.64
29/8/2012,1.66
30/8/2012,1.63
31/8/2012,1.57
4/9/2012,1.59
5/9/2012,1.6
6/9/2012,1.68
7/9/2012,1.67
10/9/2012,1.68
11/9/2012,1.7
12/9/2012,1.77
13/9/2012,1.75
14/9/2012,1.88
17/9/2012,1.85
18/9/2012,1.82
19/9/2012,1.79
20/9/2012,1.8
21/9/2012,1.77
24/9/2012,1.74
25/9/2012,1.7
26/9/2012,1.64
27/9/2012,1.66
28/9/2012,1.65
1/10/2012,1.64
2/10/2012,1.64
3/10/2012,1.64
4/10/2012,1.7
5/10/2012,1.75
9/10/2012,1.74
10/10/2012,1.72
11/10/2012,1.7
12/10/2012,1.69
15/10/2012,1.7
16/10/2012,1.75
17/10/2012,1.83
18/10/2012,1.86
19/10/2012,1.79
22/10/2012,1.83
23/10/2012,1.79
24/10/2012,1.8
25/10/2012,1.86
26/10/2012,1.78
29/10/2012,1.74
31/10/2012,1.72
1/11/2012,1.75
2/11/2012,1.75
5/11/2012,1.72
6/11/2012,1.78
7/11/2012,1.68
8/11/2012,1.62
9/11/2012,1.61
12/11/2012,1.61
13/11/2012,1.59
14/11/2012,1.59
15/11/2012,1.58
16/11/2012,1.58
19/11/2012,1.61
20/11/2012,1.66
21/11/2012,1.69
23/11/2012,1.7
26/11/2012,1.66
27/11/2012,1.64
28/11/2012,1.63
29/11/2012,1.62
30/11/2012,1.62
3/12/2012,1.63
4/12/2012,1.62
5/12/2012,1.6
6/12/2012,1.59
7/12/2012,1.64
10/12/2012,1.63
11/12/2012,1.66
12/12/2012,1.72
13/12/2012,1.74
14/12/2012,1.72
17/12/2012,1.78
18/12/2012,1.84
19/12/2012,1.82
20/12/2012,1.81
21/12/2012,1.77
24/12/2012,1.79
26/12/2012,1.77
27/12/2012,1.74
28/12/2012,1.73
31/12/2012,1.78
2/1/2013,1.86
3/1/2013,1.92
4/1/2013,1.93
7/1/2013,1.92
8/1/2013,1.89
9/1/2013,1.88
10/1/2013,1.91
11/1/2013,1.89
14/1/2013,1.89
15/1/2013,1.86
16/1/2013,1.84
17/1/2013,1.89
18/1/2013,1.87
22/1/2013,1.86
23/1/2013,1.86
24/1/2013,1.88
25/1/2013,1.98
28/1/2013,2
29/1/2013,2.03
30/1/2013,2.03
31/1/2013,2.02
1/2/2013,2.04
4/2/2013,2
5/2/2013,2.04
6/2/2013,2
7/2/2013,1.99
8/2/2013,1.99
11/2/2013,1.99
12/2/2013,2.02
13/2/2013,2.05
14/2/2013,2
15/2/2013,2.01
19/2/2013,2.03
20/2/2013,2.02
21/2/2013,1.99
22/2/2013,1.97
25/2/2013,1.88
26/2/2013,1.88
27/2/2013,1.91
28/2/2013,1.89
1/3/2013,1.86
4/3/2013,1.88
5/3/2013,1.9
6/3/2013,1.95
7/3/2013,2
8/3/2013,2.06
11/3/2013,2.07
12/3/2013,2.03
13/3/2013,2.04
14/3/2013,2.04
15/3/2013,2.01
18/3/2013,1.96
19/3/2013,1.92
20/3/2013,1.96
21/3/2013,1.95
22/3/2013,1.93
25/3/2013,1.93
26/3/2013,1.92
27/3/2013,1.87
28/3/2013,1.87
1/4/2013,1.86
2/4/2013,1.88
3/4/2013,1.83
4/4/2013,1.78
5/4/2013,1.72
8/4/2013,1.76
9/4/2013,1.78
10/4/2013,1.84
11/4/2013,1.82
12/4/2013,1.75
15/4/2013,1.72
16/4/2013,1.75
17/4/2013,1.73
18/4/2013,1.72
19/4/2013,1.73
22/4/2013,1.72
23/4/2013,1.74
24/4/2013,1.73
25/4/2013,1.74
26/4/2013,1.7
29/4/2013,1.7
30/4/2013,1.7
1/5/2013,1.66
2/5/2013,1.66
3/5/2013,1.78
