DATE,PCE
2012-02-01,10987.2
2012-03-01,10993.9
2012-04-01,11018.5
2012-05-01,11006.8
2012-06-01,10989.8
2012-07-01,11016.8
2012-08-01,11056.0
2012-09-01,11105.3
2012-10-01,11137.4
2012-11-01,11178.4
2012-12-01,11181.2
2013-01-01,11252.4
2013-02-01,11290.5
2013-03-01,11290.1
2013-04-01,11281.1
2013-05-01,11321.6
2013-06-01,11344.4
2013-07-01,11372.6
2013-08-01,11406.6
2013-09-01,11445.9
2013-10-01,11498.0
2013-11-01,11562.5
2013-12-01,11593.2
2014-01-01,11578.8
2014-02-01,11636.9
2014-03-01,11722.3
2014-04-01,11762.3
2014-05-01,11807.3
2014-06-01,11861.7
2014-07-01,11904.4
2014-08-01,11983.7
2014-09-01,11991.4
2014-10-01,12064.7
2014-11-01,12083.9
2014-12-01,12096.1
2015-01-01,12066.7
2015-02-01,12116.6
2015-03-01,12176.1
2015-04-01,12209.1
2015-05-01,12275.4
2015-06-01,12307.9
2015-07-01,12364.9
2015-08-01,12396.2
2015-09-01,12386.4
2015-10-01,12394.9
2015-11-01,12423.2
2015-12-01,12452.0
2016-01-01,12478.0
2016-02-01,12554.5
2016-03-01,12537.0
2016-04-01,12611.5
2016-05-01,12652.7
2016-06-01,12731.2
2016-07-01,12756.7
2016-08-01,12788.1
2016-09-01,12846.6
2016-10-01,12867.0
2016-11-01,12893.0
2016-12-01,13005.9
2017-01-01,13063.7
2017-02-01,13088.4
2017-03-01,13139.9
2017-04-01,13169.2
2017-05-01,13171.9
2017-06-01,13225.2
2017-07-01,13263.3
2017-08-01,13294.6
2017-09-01,13417.3
2017-10-01,13447.5
2017-11-01,13540.6
2017-12-01,13666.1
2018-01-01,13703.3
2018-02-01,13738.7
2018-03-01,13793.2
2018-04-01,13838.4
2018-05-01,13905.0
2018-06-01,13930.4
2018-07-01,13974.8
2018-08-01,14014.0
2018-09-01,14017.8
2018-10-01,14083.1
2018-11-01,14162.9
2018-12-01,14051.6
2019-01-01,14088.4
2019-02-01,14115.5
2019-03-01,14240.1
2019-04-01,14278.3
2019-05-01,14340.8
2019-06-01,14391.2
2019-07-01,14471.8
2019-08-01,14525.7
2019-09-01,14555.6
2019-10-01,14584.0
2019-11-01,14678.6
2019-12-01,14741.3
2020-01-01,14815.7
2020-02-01,14810.7
2020-03-01,13793.0
2020-04-01,12228.3
2020-05-01,13251.4
2020-06-01,14027.1
2020-07-01,14285.1
2020-08-01,14428.4
2020-09-01,14655.0
2020-10-01,14702.5
2020-11-01,14675.8
2020-12-01,14801.8
2021-01-01,15047.3
2021-02-01,14948.2
2021-03-01,15657.6
2021-04-01,15854.1
2021-05-01,15890.0
2021-06-01,16108.5
2021-07-01,16150.8
2021-08-01,16305.6
2021-09-01,16398.9
2021-10-01,16613.8
2021-11-01,16741.6
2021-12-01,16799.2
2022-01-01,16888.6
2022-02-01,16999.7
2022-03-01,17203.6
2022-04-01,17310.5
2022-05-01,17384.8
2022-06-01,17550.0
2022-07-01,17556.4
2022-08-01,17692.2
2022-09-01,17804.0
2022-10-01,17915.1
2022-11-01,17892.5
2022-12-01,17943.6
2023-01-01,18229.6
2023-02-01,18296.5
2023-03-01,18282.6
2023-04-01,18363.8
2023-05-01,18407.8
2023-06-01,18485.4
2023-07-01,18595.4
2023-08-01,18651.6
2023-09-01,18791.5
2023-10-01,18794.7
2023-11-01,18867.8
2023-12-01,19001.7
